date,adjClose,adjHigh,adjLow,adjVolume
2015-10-09,22.52,23.47,22.16,1324014
2015-10-16,22.5,23.04,21.97,261137
2015-10-23,22.17,22.55,22.05,293385
2015-10-30,23.18,24.7,22.06,267819
2015-11-06,23.82,24.48,22.63,238142
2015-11-13,23.755,24.16,23.0,186502
2015-11-20,22.6,23.8925,22.25,228940
2015-11-27,24.22,24.62,22.33,108563
2015-12-04,24.1403,24.5,23.56,155382
2015-12-11,24.15,27.6,23.61,253812
2015-12-18,22.78,28.282,22.78,891096
2015-12-25,23.42,24.13,22.6601,118180
2016-01-01,23.65,24.02,22.8,95519
2016-01-08,22.26,23.49,21.83,162905
2016-01-15,20.74,22.49,20.14,284308
2016-01-22,17.75,20.89,14.38,257651
2016-01-29,18.55,18.6,16.11,345679
2016-02-05,18.99,20.17,18.25,164824
2016-02-12,17.2,19.14,15.7975,155121
2016-02-19,17.37,18.5,16.5,127962
2016-02-26,17.61,18.36,16.77,104654
2016-03-04,17.74,18.08,17.26,93514
2016-03-11,18.3,18.467,17.4,82493
2016-03-18,18.43,18.43,17.61,73970
2016-03-25,18.09,19.4,17.78,55658
2016-04-01,19.02,19.11,17.79,73500
2016-04-08,19.04,19.52,18.43,61123
2016-04-15,20.22,20.93,18.51,63644
2016-04-22,20.12,20.34,17.99,71741
2016-04-29,21.05,21.52,19.4,101050
2016-05-06,22.15,22.78,20.99,327143
2016-05-13,21.86,23.8,20.69,118007
2016-05-20,23.44,23.76,18.04,133041
2016-05-27,24.13,24.49,22.07,157082
2016-06-03,24.66,24.99,22.556,163607
2016-06-10,24.67,25.23,24.03,253162
2016-06-17,24.55,25.4,22.57,468563
2016-06-24,24.45,25.49,23.68,1076719
2016-07-01,24.02,25.0,22.035,298335
2016-07-08,25.13,25.35,23.15,117301
2016-07-15,24.82,25.45,24.52,294957
2016-07-22,25.28,25.5,24.53,145286
2016-07-29,25.26,26.31,24.33,242129
2016-08-05,25.37,25.89,23.1,218938
2016-08-12,25.31,25.4,24.2705,89345
2016-08-19,26.0,26.395,25.13,143684
2016-08-26,26.28,26.46,25.76,77751
2016-09-02,26.25,26.46,25.251,91366
2016-09-09,27.44,27.97,25.84,267602
2016-09-16,27.9,28.0,27.35,411792
2016-09-23,26.17,28.975,26.02,184312
2016-09-30,27.0,27.4,26.0,163892
2016-10-07,27.26,27.8,26.395,121502
2016-10-14,26.81,28.0,26.67,78908
2016-10-21,27.5,28.0,26.95,70507
2016-10-28,26.2,28.0,26.05,60894
2016-11-04,26.15,26.775,25.155,67057
