date,adjClose,adjHigh,adjLow,adjVolume
2016-01-08,7.28,9.365,7.17,1434832
2016-01-15,6.07,7.32,5.72,2286647
2016-01-22,6.42,6.62,5.41,1552510
2016-01-29,6.0,6.6,5.7105,1536472
2016-02-05,4.44,6.0,4.42,2682311
2016-02-12,4.8,4.9,4.0,3771483
2016-02-19,5.5,5.55,4.67,1810513
2016-02-26,5.53,5.69,5.02,1735863
2016-03-04,5.36,5.85,4.96,2186561
2016-03-11,5.18,5.81,4.98,1854047
2016-03-18,5.21,5.35,4.66,1463335
2016-03-25,5.09,5.58,4.77,1135178
2016-04-01,5.2,5.39,4.84,1696402
2016-04-08,5.2,5.65,5.12,1636186
2016-04-15,5.36,5.47,5.0,1272106
2016-04-22,6.24,6.27,5.27,1450938
2016-04-29,5.64,6.31,5.58,1361345
2016-05-06,4.14,5.76,4.1,1520347
2016-05-13,3.64,4.8,3.62,1376475
2016-05-20,4.09,4.2,3.65,1096135
2016-05-27,4.5,4.59,4.09,1123054
2016-06-03,4.46,4.7,4.344,535436
2016-06-10,3.89,4.66,3.76,861361
2016-06-17,3.31,3.95,3.3,1069784
2016-06-24,3.23,3.56,3.2,1326839
2016-07-01,3.33,3.3799,3.0,969472
2016-07-08,3.38,3.47,3.06,588923
2016-07-15,3.19,3.4783,3.0,695025
2016-07-22,3.23,3.24,2.99,1122568
2016-07-29,3.62,3.78,3.13,3823071
2016-08-05,4.25,4.86,3.31,4733651
2016-08-12,4.65,4.73,4.31,933620
2016-08-19,4.21,4.79,4.02,874610
2016-08-26,3.79,4.52,3.515,803343
2016-09-02,3.74,3.96,3.43,691386
2016-09-09,3.86,3.968,3.45,712622
2016-09-16,3.79,4.06,3.5,934000
2016-09-23,4.2,4.4,3.64,914869
2016-09-30,4.11,4.39,3.87,784299
2016-10-07,4.04,4.55,4.0,785593
2016-10-14,3.57,4.22,3.52,657056
2016-10-21,3.15,3.74,2.975,790129
2016-10-28,2.97,3.21,2.86,830190
2016-11-04,2.85,3.1,2.74,607431
2016-11-11,3.65,3.7,2.8,988912
2016-11-18,3.55,3.8,3.16,632570
2016-11-25,2.95,3.55,2.75,1518114
2016-12-02,2.85,3.05,2.8,847132
2016-12-09,3.2,3.3,2.85,1076606
2016-12-16,3.1,3.2,2.85,2491934
2016-12-23,3.3,3.475,3.1,916498
2016-12-30,2.9,3.4,2.85,1407219
2017-01-06,3.0,3.35,2.9,961322
2017-01-13,3.15,3.2,2.9,1032695
2017-01-20,2.95,3.15,2.875,515882
2017-01-27,2.85,2.95,2.85,753796
2017-02-03,2.9,2.975,2.85,774570
2017-02-10,3.0,3.0,2.7,1804634
2017-02-17,2.8,3.1,2.7,1440028
2017-02-24,2.65,2.85,2.65,521423
2017-03-03,2.85,2.9,2.65,820886
2017-03-10,2.75,3.0,2.7,796176
2017-03-17,2.75,2.8,2.6,1073727
2017-03-24,2.65,2.75,2.525,1426223
2017-03-31,2.7,2.85,2.6,1331214
2017-04-07,2.55,2.75,2.5,799659
2017-04-14,2.65,2.8,2.5,708237
2017-04-21,2.7,2.8,2.5,1419944
2017-04-28,2.85,2.95,2.6,1572104
2017-05-05,2.85,3.2,2.75,1776276
2017-05-12,3.05,3.1,2.7,1288802
2017-05-19,2.725,3.15,2.7,834033
2017-05-26,2.7,2.8,2.625,716233
2017-06-02,2.75,2.75,2.55,713229
2017-06-09,2.7,2.75,2.6,751776
2017-06-16,2.75,2.85,2.65,1110821
2017-06-23,2.75,3.1,2.75,5584802
2017-06-30,2.5,2.95,2.45,1945451
2017-07-07,2.55,2.6,2.45,796245
2017-07-14,2.6,2.845,2.475,1580502
2017-07-21,2.65,2.8,2.6,586058
2017-07-28,2.55,2.8,2.5,636371
2017-08-04,2.5,2.6,2.45,615350
2017-08-11,2.55,2.575,2.45,765972
2017-08-18,2.45,2.55,2.4,462514
2017-08-25,2.6,2.95,2.45,1433933
2017-09-01,2.8,2.85,2.645,779102
2017-09-08,2.8,2.99,2.5,1380849
2017-09-15,3.5,3.7,2.85,2494408
2017-09-22,3.4,3.625,3.25,1070699
2017-09-29,3.65,3.85,3.11,1079766
2017-10-06,3.55,4.0,3.455,1024385
2017-10-13,3.8,4.2,3.5,3186499
2017-10-20,3.475,3.9,3.25,1399322
2017-10-27,3.2,3.5,3.0,892671
2017-11-03,3.25,3.55,3.05,1303116
2017-11-10,2.85,3.35,2.85,1023337
2017-11-17,3.15,3.2,2.9,1418998
2017-11-24,3.05,3.25,2.9,697201
2017-12-01,3.05,3.2,2.95,3411717
2017-12-08,3.45,3.5,2.975,3203021
2017-12-15,3.0,3.5,2.95,2530907
2017-12-22,3.45,3.5,3.04,2266229
2017-12-29,3.5,3.65,3.4,3438147
2018-01-05,4.45,4.45,3.5,5696103
2018-01-12,3.95,4.5,3.85,4265390
2018-01-19,4.9,4.95,3.975,4825449
2018-01-26,7.0,7.35,4.85,12060512
2018-02-02,7.3,8.59,6.95,11348752
2018-02-09,7.05,7.85,6.305,12366308
2018-02-16,6.4,7.3,6.0,8193709
2018-02-23,6.95,7.15,5.95,5233313
2018-03-02,7.05,7.325,6.3,7568319
2018-03-09,6.7,7.85,6.45,6581006
2018-03-16,7.2,8.05,6.3727,8084975
2018-03-23,6.4,7.2,6.0,5294735
2018-03-30,5.8,6.55,5.35,2750302
2018-04-06,5.45,6.0,5.375,2753197
2018-04-13,6.45,6.7,5.7,3684759
2018-04-20,6.3,6.85,6.2,1975599
2018-04-27,6.5,6.55,5.7,2524123
2018-05-04,5.325,6.6,4.925,5084352
2018-05-11,5.85,6.05,5.2998,3979050
2018-05-18,6.1,6.35,5.7,3073419
2018-05-25,6.15,6.2,5.75,2132831
2018-06-01,6.35,6.45,5.9,1953142
2018-06-08,6.25,6.95,6.1,2586971
2018-06-15,5.55,6.4,5.4,3447442
2018-06-22,6.05,6.15,5.4,8551091
2018-06-29,5.3,6.25,5.2,3843176
2018-07-06,5.95,5.95,5.3,2321748
2018-07-13,5.15,6.35,5.1,4185704
2018-07-20,5.05,5.4,4.8,2793335
2018-07-27,4.725,5.375,4.65,2804850
2018-08-03,4.55,4.85,4.4,2099917
2018-08-10,5.25,5.45,4.35,2306901
2018-08-17,5.2,5.35,4.85,1673255
2018-08-24,5.95,6.0,5.1,2143430
2018-08-31,7.6,7.725,5.425,3836683
2018-09-07,6.7,7.6,6.45,2428943
2018-09-14,6.15,6.75,5.9,1942416
2018-09-21,5.9,6.5,5.624,3456676
2018-09-28,6.05,6.175,5.65,2206164
2018-10-05,5.58,6.2,5.48,1906879
2018-10-12,5.15,5.78,4.915,2686761
2018-10-19,4.49,5.59,4.4,3110575
2018-10-26,4.27,4.66,4.0,3239778
2018-11-02,3.34,4.66,2.62,10772520
2018-11-09,3.76,3.96,3.06,4933041
2018-11-16,3.82,3.95,3.4624,4737838
2018-11-23,3.84,3.97,3.48,1797135
2018-11-30,3.59,3.93,3.49,1747562
2018-12-07,3.64,3.86,3.56,1087841
2018-12-14,3.59,4.0,3.55,1300942
2018-12-21,2.87,3.7,2.84,4127328
2018-12-28,3.2,3.27,2.81,826065
2019-01-04,3.56,3.61,3.07,1063658
2019-01-11,3.59,3.67,3.32,850781
2019-01-18,3.24,3.56,3.08,959180
2019-01-25,3.21,3.28,3.03,499624
2019-02-01,3.26,3.38,2.9,978940
2019-02-08,3.33,3.58,3.2607,992075
2019-02-15,3.81,3.9,3.31,1403545
2019-02-22,3.7,3.88,3.52,1481210
2019-03-01,4.39,4.49,3.91,4046522
2019-03-08,4.4,5.086,4.25,2950209
2019-03-15,5.38,5.45,4.32,2597644
2019-03-22,5.51,6.22,5.26,4334902
2019-03-29,5.24,5.54,4.97,1353287
2019-04-05,5.76,5.96,5.16,2175489
2019-04-12,5.1,5.77,5.05,792493
2019-04-19,5.98,6.17,4.2,2991397
2019-04-26,6.73,6.82,5.92,2546612
2019-05-03,6.63,6.9,6.28,1336916
2019-05-10,6.61,7.19,6.08,1952154
2019-05-17,9.05,9.17,6.23,5543082
2019-05-24,9.22,9.45,8.71,4910294
2019-05-31,10.05,10.15,9.16,5113150
2019-06-07,11.15,11.46,9.88,4652789
2019-06-14,10.82,11.63,10.68,3248209
2019-06-21,11.4,12.1,10.91,3690946
2019-06-28,11.89,11.98,10.71,5451215
2019-07-05,12.16,12.5,10.89,2843869
2019-07-12,14.97,16.2,11.9548,10426714
2019-07-19,13.97,16.3834,12.51,7603959
2019-07-26,13.78,14.67,13.39,4607722
2019-08-02,11.16,14.08,11.075,4615499
2019-08-09,11.56,12.5,10.86,5429513
2019-08-16,13.4,13.42,10.5543,7614426
2019-08-23,10.56,13.87,10.44,5104001
2019-08-30,10.33,11.02,10.16,3337532
2019-09-06,12.12,12.97,10.05,7178503
2019-09-13,5.78,12.53,5.01,42396311
2019-09-20,6.44,6.67,5.4147,18553754
2019-09-27,5.43,6.69,5.16,8184299
2019-10-04,5.57,5.93,5.03,5985810
2019-10-11,5.29,5.76,4.96,5373152
2019-10-18,6.92,7.16,5.49,10668650
2019-10-25,7.5,7.55,6.81,5470558
2019-11-01,7.91,8.06,6.58,5246349
2019-11-08,8.715,9.2,7.15,4257250
2019-11-15,9.37,9.38,8.54,5473875
2019-11-22,9.86,9.9619,8.91,4625581
2019-11-29,10.91,11.11,9.825,4553215
2019-12-06,11.43,11.6,10.28,6256530
2019-12-13,10.54,11.68,10.02,5493210
2019-12-20,10.65,11.43,10.44,8031070
2019-12-27,11.21,12.46,10.295,3813725
2020-01-03,11.61,11.92,10.88,2768382
2020-01-10,10.985,11.58,10.776,4556448
2020-01-17,11.72,12.18,10.38,7543040
