date,adjClose,adjHigh,adjLow,adjVolume
2018-11-30,5.4,5.75,1.13,2122252
2018-12-07,5.16,5.95,4.8105,1698028
2018-12-14,3.55,5.05,3.0,612126
2018-12-21,2.75,4.58,2.45,1498147
2018-12-28,2.89,2.99,2.51,737230
2019-01-04,3.54,3.65,2.83,405373
2019-01-11,4.76,5.1,3.41,511443
2019-01-18,4.23,4.83,3.66,328774
2019-01-25,4.16,4.5,3.72,192785
2019-02-01,4.03,4.1603,3.7,282514
2019-02-08,3.81,4.67,3.81,349535
2019-02-15,4.19,4.43,3.9,175453
2019-02-22,4.71,4.8594,4.19,320701
2019-03-01,4.48,4.99,4.25,325108
2019-03-08,4.22,4.58,4.1,328527
2019-03-15,4.35,4.47,4.13,364013
2019-03-22,4.11,4.35,3.97,313390
2019-03-29,4.05,4.3,3.9601,201979
2019-04-05,4.76,4.81,3.84,568985
2019-04-12,4.5,4.9899,4.27,451167
2019-04-19,4.57,4.7,4.4,146050
2019-04-26,4.79,4.85,4.27,206795
2019-05-03,4.61,4.825,4.425,352826
2019-05-10,4.92,4.92,4.4,230369
2019-05-17,3.07,4.93,3.07,781400
2019-05-24,2.89,3.38,2.56,661158
2019-05-31,2.81,3.11,2.55,385123
2019-06-07,2.72,2.83,2.62,415336
2019-06-14,2.94,3.0375,2.55,254445
2019-06-21,3.83,4.0,2.91,373414
2019-06-28,3.67,3.98,3.28,1614974
2019-07-05,3.27,3.59,3.2,133240
2019-07-12,3.01,3.37,2.93,239190
2019-07-19,2.81,3.19,2.6,356018
2019-07-26,2.55,2.88,2.09,699465
2019-08-02,2.52,3.04,2.49,332469
2019-08-09,2.63,2.87,2.33,360715
2019-08-16,2.88,3.05,2.51,417245
2019-08-23,2.66,3.14,2.62,667981
2019-08-30,2.72,2.83,2.46,266662
2019-09-06,2.6,2.91,2.55,295589
2019-09-13,2.56,2.8,2.54,343124
2019-09-20,2.39,2.56,2.3,355742
2019-09-27,2.11,2.4284,2.05,233263
2019-10-04,1.38,2.135,1.38,580598
2019-10-11,1.7,1.96,1.38,589625
2019-10-18,1.59,1.82,1.5522,346822
2019-10-25,1.57,1.75,1.57,242143
2019-11-01,1.59,1.7,1.41,320491
2019-11-08,1.45,1.65,1.44,279744
2019-11-15,1.37,1.5,1.29,269480
2019-11-22,1.5,1.7413,1.36,279290
2019-11-29,1.42,1.652,1.37,313577
2019-12-06,1.26,1.41,1.16,425343
2019-12-13,1.45,1.6,1.26,603191
2019-12-20,1.55,1.62,1.28,596966
2019-12-27,1.74,1.9,1.4,426806
2020-01-03,1.9,2.24,1.6,584876
2020-01-10,1.84,1.9805,1.64,260967
2020-01-17,1.85,1.95,1.61,374772
