date,adjClose,adjHigh,adjLow,adjVolume
2017-05-05,9.7,9.75,9.7,401302
2017-05-12,9.7,9.7,9.7,0
2017-05-19,9.7,9.7,9.7,273200
2017-05-26,9.707,9.745,9.7,115000
2017-06-02,9.75,9.75,9.7,269450
2017-06-09,9.75,9.76,9.73,76050
2017-06-16,9.74,9.761,9.74,32544
2017-06-23,9.7,9.74,9.7,354410
2017-06-30,9.74,9.74,9.7,4702
2017-07-07,9.71,9.74,9.71,13300
2017-07-14,9.7,9.71,9.7,8645
2017-07-21,9.72,9.73,9.7,11704
2017-07-28,9.71,9.75,9.7,37957
2017-08-04,9.7,9.71,9.7,12310
2017-08-11,9.7171,9.7171,9.7,86800
2017-08-18,9.7,9.7399,9.7,22442
2017-08-25,9.75,9.75,9.74,100574
2017-09-01,9.7,9.71,9.7,300
2017-09-08,9.74,9.79,9.7,561314
2017-09-15,9.75,9.75,9.74,3858
2017-09-22,9.71,9.75,9.71,314449
2017-09-29,9.75,9.75,9.71,11968
2017-10-06,9.75,9.75,9.7,608087
2017-10-13,9.75,9.75,9.7,12557
2017-10-20,9.78,9.78,9.72,880926
2017-10-27,9.71,9.78,9.7,309150
2017-11-03,9.72,9.72,9.69,505001
2017-11-10,9.71,9.72,9.68,402050
2017-11-17,9.68,9.71,9.68,1037895
2017-11-24,9.69,9.69,9.67,61104
2017-12-01,9.66,9.695,9.65,139240
2017-12-08,9.68,9.69,9.65,1073919
2017-12-15,9.71,9.72,9.68,47024
2017-12-22,9.72,9.721,9.64,109739
2017-12-29,9.71,10.005,9.64,105424
2018-01-05,9.72,9.73,9.69,39090
2018-01-12,9.71,10.06,9.69,506624
2018-01-19,9.7199,9.72,9.7,23008
2018-01-26,9.72,9.75,9.7,8200
2018-02-02,9.71,9.73,9.69,511300
2018-02-09,9.69,9.71,9.6762,42098
2018-02-16,9.71,9.75,9.7,28515
2018-02-23,9.74,9.74,9.71,26821
2018-03-02,9.74,9.74,9.71,1663951
2018-03-09,9.75,10.08,9.72,42614
2018-03-16,9.72,9.8,9.72,1747
2018-03-23,9.75,9.775,9.7,61480
2018-03-30,9.79,9.8,9.75,2438
2018-04-06,9.79,9.79,9.79,0
2018-04-13,9.77,9.8,9.68,512334
2018-04-20,9.85,9.85,9.76,1285977
2018-04-27,9.87,9.87,9.85,1364
2018-05-04,9.75,9.8799,9.75,1034653
2018-05-11,9.89,9.89,9.7,410499
2018-05-18,9.87,9.89,9.78,85344
2018-05-25,9.85,9.87,9.83,46399
2018-06-01,9.84,9.85,9.84,50200
2018-06-08,9.83,9.85,9.82,75654
2018-06-15,9.82,9.88,9.8,175224
2018-06-22,9.8931,9.9,9.86,390475
2018-06-29,9.9,9.9,9.88,103702
2018-07-06,9.91,9.93,9.9,25724
2018-07-13,9.91,9.91,9.91,97000
2018-07-20,9.91,9.95,9.9,118992
2018-07-27,9.93,9.95,9.91,316996
2018-08-03,9.95,9.951,9.93,169212
2018-08-10,10.2,10.25,9.95,9640413
2018-08-17,10.28,10.3,10.2123,4209684
2018-08-24,10.27,10.28,10.15,1813913
2018-08-31,10.27,10.34,10.21,2146720
2018-09-07,10.23,10.3064,10.21,1976731
2018-09-14,10.21,10.3,10.16,355525
2018-09-21,10.15,10.2,10.1,223043
2018-09-28,10.16,10.2,10.1,347368
2018-10-05,10.18,10.3,10.14,389237
2018-10-12,10.1,10.22,10.07,1890390
