date,adjClose,adjHigh,adjLow,adjVolume
2011-06-17,35.05,35.5,31.0,2263500
2011-06-24,35.55,38.45,34.75,3849600
2011-07-01,39.85,44.21,35.6,16477100
2011-07-08,38.54,40.23,37.77,7519900
2011-07-15,37.09,37.895,36.62,7048400
2011-07-22,37.51,39.14,36.08,7834100
2011-07-29,37.19,39.12,36.52,1424000
2011-08-05,35.22,38.98,32.35,3529600
2011-08-12,33.67,36.06,29.66,4076100
2011-08-19,33.05,35.04,32.32,1794900
2011-08-26,34.3,34.87,31.29,1178600
2011-09-02,34.02,38.9,33.99,2044900
2011-09-09,32.98,36.68,32.07,1697000
2011-09-16,36.35,36.96,31.41,1631900
2011-09-23,34.1,36.92,33.4,1459800
2011-09-30,31.95,35.87,31.46,1289300
2011-10-07,32.63,33.89,30.51,2177400
2011-10-14,32.55,34.36,31.07,1625200
2011-10-21,33.84,34.85,31.84,1403900
2011-10-28,33.49,34.92,32.14,938200
2011-11-04,33.25,33.81,30.72,1280200
2011-11-11,36.8,37.55,31.72,1331700
2011-11-18,37.37,37.99,36.1,1174900
2011-11-25,33.6,37.43,33.59,1160800
2011-12-02,34.66,36.93,33.75,1151700
2011-12-09,36.25,36.59,34.46,1032000
2011-12-16,36.49,36.59,34.84,2905800
2011-12-23,37.04,37.87,35.928,1642900
2011-12-30,37.58,37.68,36.51,875700
2012-01-06,38.3,38.75,36.98,2439800
2012-01-13,39.68,39.94,38.16,958200
2012-01-20,41.82,44.34,38.52,1536400
2012-01-27,42.21,42.98,40.28,1379500
2012-02-03,42.255,43.47,40.82,2711200
2012-02-10,42.19,43.1,41.26,1608800
2012-02-17,45.31,45.69,42.28,2183900
2012-02-24,45.28,45.76,43.13,828400
2012-03-02,45.3,46.45,43.68,1799400
2012-03-09,45.69,45.98,43.38,2586400
2012-03-16,43.8,46.69,42.19,2921400
2012-03-23,44.66,45.39,43.02,1872600
2012-03-30,44.63,45.29,43.76,1207500
2012-04-06,43.53,45.47,42.63,1477100
2012-04-13,42.72,43.59,40.99,3469100
2012-04-20,42.89,43.73,41.98,1241700
2012-04-27,42.91,43.4,42.18,1200600
2012-05-04,43.12,45.29,42.24,1851900
2012-05-11,41.7,46.0,39.3,5170200
2012-05-18,39.64,43.23,39.54,1290000
2012-05-25,39.04,39.98,38.13,1704900
2012-06-01,37.08,39.57,36.61,1833400
2012-06-08,38.27,39.675,36.91,2009300
2012-06-15,38.47,38.97,37.3,1797200
2012-06-22,37.64,40.1082,37.41,1975800
2012-06-29,35.55,38.5224,34.78,1950400
2012-07-06,38.62,39.84,35.3,2283600
2012-07-13,42.59,42.69,38.11,3037000
2012-07-20,43.27,43.5499,41.74,2015000
2012-07-27,43.14,44.56,42.0,2156700
2012-08-03,43.29,44.0,41.99,1416100
2012-08-10,43.49,45.09,42.05,3386100
2012-08-17,40.62,43.4799,39.72,3078100
2012-08-24,39.05,40.73,37.47,2320000
2012-08-31,39.34,39.8199,38.284,1467000
2012-09-07,40.5,40.975,38.75,1611700
2012-09-14,41.81,42.0995,40.42,1757100
2012-09-21,42.62,43.53,40.0,2057300
2012-09-28,43.52,43.61,41.64,1647300
2012-10-05,43.13,44.08,42.81,1721700
