date,adjClose,adjHigh,adjLow,adjVolume
1996-10-04,25.0,30.0,25.0,164900
1996-10-11,25.95,28.15,25.0,28200
1996-10-18,26.9,27.5,25.0,9400
1996-10-25,23.75,26.9,23.75,12400
1996-11-01,21.25,26.25,21.25,11100
1996-11-08,25.65,26.25,21.25,28000
1996-11-15,26.25,30.0,24.4,43800
1996-11-22,25.65,26.9,23.75,3900
1996-11-29,25.65,27.5,23.75,7600
1996-12-06,22.5,26.25,21.25,2200
1996-12-13,25.0,25.0,18.75,14400
1996-12-20,19.7,25.0,17.5,17200
1996-12-27,17.5,20.0,16.25,5800
1997-01-03,18.15,18.75,15.65,6600
1997-01-10,23.75,23.75,18.15,18200
1997-01-17,25.65,27.5,22.5,20200
1997-01-24,28.75,31.9,25.0,41100
1997-01-31,26.9,29.4,26.25,11300
1997-02-07,22.5,28.15,21.25,14900
1997-02-14,26.9,26.9,22.5,15800
1997-02-21,26.9,27.5,25.0,4800
1997-02-28,27.5,29.4,26.9,32400
1997-03-07,28.15,28.75,26.55,28400
1997-03-14,26.9,28.75,26.25,4100
1997-03-21,20.0,27.5,19.4,14300
1997-03-28,22.5,25.0,21.9,13800
1997-04-04,16.55,25.0,14.7,70800
1997-04-11,18.15,20.0,16.55,53600
1997-04-18,17.5,19.4,17.5,32500
1997-04-25,17.5,18.15,15.65,22300
1997-05-02,16.25,17.5,16.25,3300
1997-05-09,17.2,18.15,16.25,19100
1997-05-16,15.65,18.15,15.65,16000
1997-05-23,18.15,18.15,15.65,11300
1997-05-30,16.9,17.5,15.3,17300
1997-06-06,16.55,16.9,15.0,17500
1997-06-13,15.95,16.9,15.65,26100
1997-06-20,16.9,16.9,15.0,28800
1997-06-27,16.25,19.4,16.25,4900
1997-07-04,15.1,16.9,15.0,11900
1997-07-11,17.2,17.5,15.0,17800
1997-07-18,16.9,17.5,16.25,14400
1997-07-25,15.65,17.5,15.65,1700
1997-08-01,14.4,15.65,13.15,7700
1997-08-08,13.75,15.0,13.75,5100
1997-08-15,13.75,15.0,13.15,6100
1997-08-22,12.2,15.0,11.25,16800
1997-08-29,17.5,19.05,10.0,127100
1997-09-05,15.65,18.15,14.7,31600
1997-09-12,14.7,15.65,14.7,13600
1997-09-19,15.0,15.65,14.7,5600
1997-09-26,15.65,17.2,15.0,16400
1997-10-03,16.25,16.25,13.75,9500
1997-10-10,15.0,16.25,14.05,25900
1997-10-17,17.05,17.2,15.0,84300
1997-10-24,18.75,19.7,16.9,68900
1997-10-31,18.15,19.05,16.25,30800
1997-11-07,15.65,19.4,15.0,42400
1997-11-14,15.95,17.5,15.65,15400
1997-11-21,15.65,17.5,15.65,8800
1997-11-28,15.0,16.25,13.75,24600
1997-12-05,11.9,15.0,11.25,13400
1997-12-12,11.55,12.5,11.25,34100
1997-12-19,10.65,11.9,10.15,28700
1997-12-26,10.0,10.65,10.0,11500
1998-01-02,10.0,10.3,8.75,28400
1998-01-09,10.0,10.3,9.7,33300
1998-01-16,8.75,10.3,8.75,36200
1998-01-23,9.4,9.7,8.9,12400
1998-01-30,7.8,10.0,7.5,76700
1998-02-06,9.4,9.4,7.5,22400
1998-02-13,9.05,9.4,8.15,13600
1998-02-20,8.15,9.05,8.15,20800
1998-02-27,8.15,8.45,7.5,68200
1998-03-06,7.5,8.15,7.5,33400
1998-03-13,8.45,8.45,7.5,133600
1998-03-20,11.9,14.4,8.15,485400
1998-03-27,9.7,12.5,9.4,90000
1998-04-03,8.3,10.0,8.15,50400
1998-04-10,7.95,8.6,7.95,33400
1998-04-17,7.8,8.15,7.8,59200
1998-04-24,8.45,8.6,7.5,81300
1998-05-01,7.8,8.45,7.2,72600
1998-05-08,8.75,9.85,6.5,550200
1998-05-15,9.4,11.25,8.75,77600
1998-05-22,10.0,10.0,9.4,30000
1998-05-29,8.45,10.0,8.15,12600
1998-06-05,9.05,9.7,8.15,22000
1998-06-12,8.45,9.7,8.15,44500
1998-06-19,8.15,9.05,8.15,13600
1998-06-26,7.5,8.45,6.9,22400
1998-07-03,7.8,7.95,6.9,9600
1998-07-10,6.55,8.15,6.25,19900
1998-07-17,6.9,6.9,5.65,17200
1998-07-24,7.5,8.15,6.25,15800
1998-07-31,7.5,8.15,6.9,18100
1998-08-07,7.2,7.5,6.55,20200
1998-08-14,7.5,7.5,6.55,12900
1998-08-21,6.25,7.5,6.25,14900
1998-08-28,8.15,9.7,7.2,107100
1998-09-04,6.9,8.75,6.25,21600
1998-09-11,7.35,7.5,6.55,19500
1998-09-18,6.55,7.2,6.25,7800
1998-09-25,6.4,7.2,6.25,5600
1998-10-02,3.6,6.55,3.15,53900
1998-10-09,2.65,3.6,2.65,54800
1998-10-16,2.8,3.15,2.5,22900
1998-10-23,3.45,3.45,2.8,17100
1998-10-30,3.15,3.45,2.65,18900
1998-11-06,3.6,3.6,2.5,27800
1998-11-13,3.75,3.75,2.8,37300
1998-11-20,3.3,3.75,3.3,4700
1998-11-27,2.8,3.45,2.8,28000
1998-12-04,3.15,3.45,2.95,21300
1998-12-11,2.65,3.15,2.5,32000
1998-12-18,1.9,2.5,1.55,79300
1998-12-25,1.9,2.5,1.7,49800
1999-01-01,1.9,2.35,1.7,71300
1999-01-08,2.2,2.8,1.9,32600
1999-01-15,2.5,2.5,1.9,31900
1999-01-22,2.8,3.15,2.2,34500
1999-01-29,2.0,3.3,1.75,199600
1999-02-05,3.25,3.38,1.75,110200
1999-02-12,2.25,3.25,2.25,53500
1999-02-19,3.31,5.38,2.5,678900
1999-02-26,2.69,3.38,2.62,87200
1999-03-05,2.69,3.0,2.69,21700
1999-03-12,2.12,2.75,2.0,47600
1999-03-19,1.75,2.0,1.75,31600
1999-03-26,1.62,2.0,1.62,36100
1999-04-02,1.81,1.81,1.62,20900
1999-04-09,1.5,1.75,1.28,29100
1999-04-16,1.38,1.56,1.28,44000
1999-04-23,1.44,1.44,1.31,12500
