date,adjClose,adjHigh,adjLow,adjVolume
2015-11-20,9.07,9.4399,8.32,563128
2015-11-27,9.19,9.7,8.09,161374
2015-12-04,8.6,9.2999,8.0,477550
2015-12-11,8.45,8.9,8.18,355662
2015-12-18,9.11,9.21,8.0,151635
2015-12-25,8.67,9.15,8.4,90953
2016-01-01,9.27,9.54,8.25,304042
2016-01-08,11.86,15.74,9.5,345031
2016-01-15,13.0,13.59,9.7,191824
2016-01-22,12.47,13.71,11.02,113570
2016-01-29,7.83,13.1,7.8015,181864
2016-02-05,7.21,8.15,6.68,113946
2016-02-12,8.0,8.34,5.37,54167
2016-02-19,8.65,8.7,7.359,58675
2016-02-26,8.4,8.75,7.22,142105
2016-03-04,7.1,8.5,6.55,95019
2016-03-11,7.14,7.8299,6.75,94093
2016-03-18,8.54,12.09,7.04,495632
2016-03-25,8.5001,9.54,8.31,97034
2016-04-01,8.95,9.2995,6.935,138275
2016-04-08,10.16,10.68,8.57,95382
2016-04-15,9.84,10.8,8.8343,102398
2016-04-22,9.96,10.48,9.6,69856
2016-04-29,11.45,12.69,9.7001,64472
2016-05-06,11.37,11.95,10.33,85554
2016-05-13,10.65,11.68,10.65,115495
2016-05-20,10.3,11.0,9.59,65141
2016-05-27,8.02,10.85,7.03,280594
2016-06-03,7.66,8.4,7.25,204959
2016-06-10,8.2,8.66,7.53,166052
2016-06-17,6.34,8.335,6.06,385989
2016-06-24,7.1,7.62,6.065,1239474
2016-07-01,7.47,8.04,7.1,189694
2016-07-08,7.67,7.7799,6.85,128565
2016-07-15,8.05,8.346,7.59,153034
2016-07-22,7.76,8.33,7.56,126100
2016-07-29,7.82,8.0,7.521,119115
2016-08-05,7.69,7.93,7.3,108734
2016-08-12,7.44,7.75,7.12,81341
2016-08-19,7.54,7.6292,6.95,160323
2016-08-26,7.31,7.7,7.13,106168
2016-09-02,7.27,7.45,6.901,94124
2016-09-09,7.27,7.7399,7.05,114814
2016-09-16,7.35,7.7,7.13,134221
2016-09-23,7.61,8.0,7.1221,261421
2016-09-30,7.88,7.975,7.37,190546
2016-10-07,8.22,9.11,7.85,274271
2016-10-14,7.29,8.68,7.26,143948
2016-10-21,7.4,8.6387,7.03,188531
2016-10-28,6.87,7.664,6.66,167097
2016-11-04,6.35,7.35,6.05,164831
2016-11-11,7.3,7.4,6.05,281305
2016-11-18,7.6,7.75,7.05,98252
2016-11-25,7.3,7.6,6.85,63498
2016-12-02,6.15,7.2,5.25,106293
2016-12-09,6.7,7.1,6.0,136102
2016-12-16,6.1,6.7,5.95,148857
2016-12-23,6.85,7.2,6.205,144746
2016-12-30,6.75,7.05,6.55,99250
2017-01-06,6.05,7.1,6.0,125340
2017-01-13,5.55,6.15,5.3,358978
2017-01-20,4.95,5.6025,4.8,299204
2017-01-27,4.8,5.0,4.55,102895
2017-02-03,4.7,4.95,4.5,169464
2017-02-10,4.55,4.85,4.25,283763
2017-02-17,4.175,5.35,4.1,501611
2017-02-24,4.3,4.45,4.0,364391
2017-03-03,5.05,5.3,4.323,323689
2017-03-10,5.2,5.3,4.4,487354
2017-03-17,4.55,5.3,4.5,295910
2017-03-24,3.65,4.66,3.55,2107166
2017-03-31,3.9,4.25,3.6,1425280
2017-04-07,3.7,4.0,3.55,984499
2017-04-14,3.9,4.15,3.65,1510468
2017-04-21,3.85,4.0,3.525,1130437
2017-04-28,4.1,4.2,3.7,1003159
2017-05-05,3.9,4.15,3.75,579693
2017-05-12,4.15,4.682,3.85,3461556
2017-05-19,4.1,4.4,3.75,1657889
2017-05-26,3.95,4.45,3.9,1183402
2017-06-02,4.1,4.2,3.75,773338
2017-06-09,4.05,4.25,3.95,810800
2017-06-16,4.1,4.1,3.85,852848
2017-06-23,5.25,5.6,4.05,3663958
2017-06-30,5.5,6.09,5.05,1354186
2017-07-07,5.5,5.5,5.05,875716
2017-07-14,5.95,6.15,5.4,936779
2017-07-21,5.6,6.05,5.45,915832
2017-07-28,6.15,6.4,5.55,920567
2017-08-04,5.9,6.381,5.25,879215
2017-08-11,5.4,6.4,5.2,892067
2017-08-18,5.0,5.45,4.755,714835
2017-08-25,4.8,5.2,4.7,431260
2017-09-01,5.0,5.3,4.7,497140
2017-09-08,4.8,5.15,4.45,926468
2017-09-15,4.95,4.95,4.5,464046
2017-09-22,5.55,5.65,4.86,558231
2017-09-29,5.55,5.75,5.25,421209
2017-10-06,6.2,6.45,5.5,691477
2017-10-13,5.1,6.45,4.85,592566
2017-10-20,5.0,5.25,4.75,489353
2017-10-27,5.0,5.214,4.8,460193
2017-11-03,4.9,5.0,4.4,738485
