date,adjClose,adjHigh,adjLow,adjVolume
2005-08-05,12.254,15.121,6.0,226811000
2005-08-12,9.5,15.398,8.83,394401000
2005-08-19,7.955,9.798,7.939,98389000
2005-08-26,7.888,8.5,7.154,231044000
2005-09-02,7.802,8.417,7.65,80394000
2005-09-09,9.63,9.785,7.701,131619000
2005-09-16,7.835,12.25,7.768,637285000
2005-09-23,7.915,8.296,7.773,111183000
2005-09-30,6.402,8.089,6.335,147308000
2005-10-07,6.72,7.437,6.38,112235000
2005-10-14,6.727,6.78,6.008,45436000
2005-10-21,7.0,7.295,6.4644,62698000
2005-10-28,6.809,8.97,6.75,202997000
2005-11-04,6.83,7.098,6.75,36213000
2005-11-11,7.0051,7.47,6.83,48534000
2005-11-18,7.092,7.375,6.833,26743000
2005-11-25,8.377,8.515,6.975,61686000
2005-12-02,7.89,8.548,7.568,51340000
2005-12-09,7.584,8.03,7.529,17096000
2005-12-16,6.571,7.738,6.57092,34070000
2005-12-23,6.675,6.866,6.4,39955000
2005-12-30,6.292,6.708,6.27,20378000
2006-01-06,6.5839,6.75,6.266,32497000
2006-01-13,6.553,6.99,6.399,46437000
2006-01-20,6.086,6.7,6.078,24645000
2006-01-27,5.172,6.153,5.149,39247000
2006-02-03,4.612,5.451,4.606,38766000
2006-02-10,4.85,5.2,4.444,36648000
2006-02-17,5.006,5.136,4.705,20471000
2006-02-24,5.286,6.15,5.025,98452000
2006-03-03,5.221,5.485,5.045,42541000
2006-03-10,4.91,5.409,4.6,37916000
2006-03-17,4.902,5.079,4.8146,26612000
2006-03-24,5.02,5.2,4.851,32261000
2006-03-31,5.607,5.845,5.03,57425000
2006-04-07,5.74,5.937,5.425,40465000
2006-04-14,5.746,6.018,5.486,47673000
2006-04-21,6.05,6.3,5.643,51969000
2006-04-28,5.796,6.125,5.7,27997000
2006-05-05,6.289,6.395,5.796,31722000
2006-05-12,7.851,9.125,6.125,353776000
2006-05-19,8.2,8.745,7.58101,180289000
2006-05-26,7.945,8.58,7.702,127952000
2006-06-02,8.283,8.513,7.633,84398000
2006-06-09,8.7056,9.403,8.051,219338000
2006-06-16,8.27,8.839,7.629,144977000
2006-06-23,8.09993,8.6,7.705,138830000
2006-06-30,8.253,8.424,7.77,76131000
2006-07-07,8.718,9.179,8.306,93526000
2006-07-14,8.77,8.875,8.102,158235000
2006-07-21,8.865,9.667,8.625,191996000
2006-07-28,7.262,9.3,7.027,235061000
2006-08-04,7.474,7.496,6.792,103370000
2006-08-11,7.2,7.481,6.93,48826000
2006-08-18,8.02,8.2,7.07001,105911000
2006-08-25,7.68,8.024,7.535,48652000
2006-09-01,7.807,7.893,7.49,34991000
2006-09-08,7.994,8.049,7.63,44402000
2006-09-15,8.775,8.875,7.781,113327000
2006-09-22,8.698,9.186,8.365,95680000
2006-09-29,8.754,9.21,8.683,58858000
2006-10-06,8.408,8.807,8.224,53289000
2006-10-13,8.445,8.838,8.366,41961000
2006-10-20,8.659,8.925,8.299,40620000
2006-10-27,8.9,9.1,8.406,59020000
2006-11-03,8.687,9.908,8.365,311395000
