date,adjClose,adjHigh,adjLow,adjVolume
2015-01-23,23.23,24.73,20.16,42593223
2015-01-30,18.81,24.39,18.22,22682961
2015-02-06,18.12,19.3,16.41,13182178
2015-02-13,20.18,21.0,18.45,9811695
2015-02-20,18.85,20.1,17.91,6256302
2015-02-27,18.66,19.48,18.11,3423412
2015-03-06,18.91,19.21,18.32,3063516
2015-03-13,17.88,20.65,16.76,12657540
2015-03-20,17.21,18.0,16.6,4980282
2015-03-27,18.3,18.3,16.82,3627769
2015-04-03,17.9,20.58,17.85,5017610
2015-04-10,17.05,17.94,17.0,3146323
2015-04-17,17.79,18.0,16.81,3062839
2015-04-24,17.75,18.61,17.5203,2666772
2015-05-01,17.5,18.05,16.85,2111634
2015-05-08,17.1,17.85,16.91,1515672
2015-05-15,16.95,17.44,16.95,1417391
2015-05-22,17.0,17.08,16.6,1566712
2015-05-29,17.64,17.99,16.86,1874007
2015-06-05,17.53,17.74,17.13,1276081
2015-06-12,17.25,20.6,16.76,11794883
2015-06-19,17.42,18.4199,16.83,4036813
2015-06-26,19.1,19.93,17.08,5862988
2015-07-03,18.56,19.33,18.07,2420644
2015-07-10,16.71,18.4999,16.55,4085580
2015-07-17,18.74,19.0904,16.4,7095447
2015-07-24,16.29,18.6174,16.15,7622371
2015-07-31,16.33,16.93,16.2,4355572
2015-08-07,15.53,16.3499,13.8,6755055
2015-08-14,14.55,15.6,13.94,3312537
2015-08-21,14.07,15.0,13.7,4076350
2015-08-28,13.68,14.0,11.69,5133602
2015-09-04,13.31,13.68,12.8,3227559
2015-09-11,13.71,14.8,13.24,7026078
2015-09-18,12.83,13.5,12.55,5050200
2015-09-25,12.8,13.68,12.5201,4181575
2015-10-02,11.67,12.9,11.6,5066703
2015-10-09,12.22,12.47,10.93,6057201
2015-10-16,13.62,13.7499,12.0,4848558
2015-10-23,12.96,13.87,12.56,3563977
2015-10-30,12.48,13.05,12.12,2947179
2015-11-06,13.01,13.29,12.4,3314504
2015-11-13,12.51,14.13,12.26,4570140
2015-11-20,12.9,13.6,12.21,3494920
2015-11-27,13.97,14.14,12.66,3541422
2015-12-04,13.9,14.25,12.2,14452589
2015-12-11,13.13,13.92,12.9,5394223
2015-12-18,14.0,14.28,12.63,5595188
2015-12-25,14.26,14.52,13.95,2579023
2016-01-01,13.96,14.49,13.75,2472085
2016-01-08,11.61,14.36,11.56,5076152
2016-01-15,10.18,12.0,9.91,4654179
2016-01-22,10.59,11.04,8.82,6359971
2016-01-29,10.76,10.92,9.29,5108528
2016-02-05,10.45,11.59,10.0101,4869618
2016-02-12,9.9,10.2,8.96,4810704
2016-02-19,10.71,10.85,9.82,2910844
2016-02-26,11.89,12.3,10.68,2979294
2016-03-04,12.39,12.79,11.3701,3745658
2016-03-11,12.16,14.4,11.66,16362003
2016-03-18,12.73,12.898,11.75,6376899
2016-03-25,12.18,12.79,11.87,2011721
2016-04-01,12.35,12.8,12.0,4310793
2016-04-08,12.04,12.7801,11.92,4960864
2016-04-15,12.52,12.68,11.82,4257002
2016-04-22,13.37,13.45,12.3871,4268289
2016-04-29,12.93,13.4818,12.87,3510842
2016-05-06,11.76,13.16,11.57,3079484
2016-05-13,11.55,12.05,11.41,1980992
2016-05-20,11.7,11.94,11.51,2667828
2016-05-27,12.35,12.36,11.66,2862315
2016-06-03,11.65,12.93,11.25,12827837
2016-06-10,11.24,12.23,11.19,5270082
2016-06-17,11.28,11.57,11.1289,3481551
2016-06-24,11.11,11.65,10.98,8193167
2016-07-01,10.33,11.1,9.96,5516981
2016-07-08,10.15,10.31,9.86,3066674
2016-07-15,10.72,10.85,10.18,3663480
2016-07-22,10.71,10.965,10.51,2840861
2016-07-29,11.65,11.78,10.545,3552270
2016-08-05,12.19,12.24,11.46,2935291
2016-08-12,12.48,12.54,12.15,2548912
2016-08-19,12.89,12.94,12.26,2336112
2016-08-26,13.05,13.49,12.6101,3839475
2016-09-02,14.14,14.31,13.0,11326039
2016-09-09,13.67,14.89,13.6545,7962564
2016-09-16,14.75,14.93,13.5,12758490
2016-09-23,14.51,14.937,14.46,3676268
2016-09-30,15.76,15.85,14.41,6535071
2016-10-07,15.74,16.59,15.31,6373040
2016-10-14,14.61,15.96,14.47,3386045
2016-10-21,15.16,15.23,14.39,3841252
2016-10-28,14.52,15.51,14.44,2384747
2016-11-04,14.05,14.5658,13.62,3372681
2016-11-11,15.04,15.14,14.04,3225421
2016-11-18,15.32,15.35,14.72,3285696
2016-11-25,15.34,15.88,15.05,2109074
2016-12-02,15.48,16.12,14.62,8467550
2016-12-09,14.78,15.47,14.65,5006923
2016-12-16,14.34,14.9,13.91,4604611
2016-12-23,13.77,14.5,13.56,3362739
2016-12-30,13.86,14.05,13.67,3519056
2017-01-06,15.05,15.21,13.904,7449931
2017-01-13,16.92,17.39,14.9,8708052
2017-01-20,16.97,17.22,16.18,3913602
2017-01-27,17.31,17.48,16.67,5357967
2017-02-03,17.67,17.73,16.82,5048565
2017-02-10,18.02,18.25,17.45,5356381
2017-02-17,18.13,18.36,17.93,4619290
2017-02-24,17.93,18.21,17.32,4263773
2017-03-03,16.95,18.31,16.44,13067710
2017-03-10,16.6,17.091,16.4,4420907
2017-03-17,16.55,16.88,16.45,4091563
2017-03-24,16.37,16.85,15.73,4265159
2017-03-31,16.31,16.65,15.97,4186796
2017-04-07,16.68,17.605,16.26,9787694
2017-04-14,16.98,17.22,16.44,3358560
2017-04-21,16.8,17.135,16.77,4072078
2017-04-28,17.24,17.28,16.82,4895962
2017-05-05,18.37,18.39,17.21,5128374
2017-05-12,18.29,18.3,17.34,5618941
2017-05-19,17.43,18.7,16.76,6544908
2017-05-26,18.83,19.08,17.55,6565716
2017-06-02,19.97,20.91,18.04,17201427
2017-06-09,18.46,19.44,18.14,21671092
2017-06-16,18.59,18.94,17.4,12227058
2017-06-23,19.19,19.371,18.53,12388376
2017-06-30,18.24,19.93,17.86,14871218
2017-07-07,18.19,18.42,17.73,4601899
2017-07-14,18.87,18.99,17.98,5197684
2017-07-21,19.68,20.0,18.79,8629104
2017-07-28,19.24,20.2,19.04,5826448
2017-08-04,18.69,19.35,18.34,5800187
2017-08-11,18.23,18.965,17.76,5242933
2017-08-18,18.75,18.954,18.36,3982579
2017-08-25,19.58,20.06,18.66,4678429
2017-09-01,19.06,19.91,18.75,13052098
2017-09-08,17.89,19.003,17.84,7938058
2017-09-15,18.46,18.805,18.01,6993159
2017-09-22,18.17,18.56,17.25,12666528
2017-09-29,19.32,19.445,17.895,11198269
2017-10-06,19.23,19.41,18.74,8394674
2017-10-13,20.21,20.24,18.85,12033232
2017-10-20,21.53,21.76,19.55,14362670
2017-10-27,21.62,21.83,20.595,8738693
2017-11-03,21.91,22.27,21.32,6858832
2017-11-10,22.03,22.16,21.38,4834423
2017-11-17,22.12,22.34,21.22,5803147
2017-11-24,23.82,23.93,21.95,8243620
2017-12-01,20.89,24.1,20.08,18387947
2017-12-08,20.8,21.74,19.5501,15178086
2017-12-15,21.19,21.36,20.52,9546860
2017-12-22,20.64,21.62,20.405,8395793
2017-12-29,21.12,21.52,20.38,4917015
2018-01-05,21.45,22.39,21.08,7758604
2018-01-12,22.25,22.37,20.65,8901168
2018-01-19,22.68,22.74,21.63,8195579
2018-01-26,22.41,23.3193,22.2,6449364
2018-02-02,21.81,22.56,21.64,4510036
2018-02-09,20.23,21.84,19.25,6374019
2018-02-16,22.12,22.55,20.11,5914859
2018-02-23,23.32,23.32,21.751,5989507
2018-03-02,18.82,24.5,17.53,30078609
2018-03-09,20.93,21.1,18.22,15692253
2018-03-16,21.31,21.43,20.14,10487353
2018-03-23,20.89,23.3,20.72,15861550
2018-03-30,20.55,21.48,19.82,7693741
2018-04-06,20.14,21.09,19.59,7047617
2018-04-13,20.73,21.07,19.95,6888529
2018-04-20,20.65,21.495,20.54,4533834
2018-04-27,22.6,23.95,20.43,54332918
2018-05-04,24.26,24.59,22.5601,20470574
2018-05-11,27.35,28.68,24.34,36419724
2018-05-18,28.12,28.4375,26.45,22557473
2018-05-25,27.41,28.57,26.02,24290270
2018-06-01,26.29,27.99,24.49,41528400
2018-06-08,25.83,26.77,25.16,21869023
2018-06-15,26.78,27.25,25.74,20812396
2018-06-22,26.84,29.79,26.199,51978072
2018-06-29,24.99,26.58,24.145,24581944
2018-07-06,26.14,26.2699,24.26,8028557
2018-07-13,26.28,26.9267,25.75,11792185
2018-07-20,26.13,27.5599,26.01,11830778
2018-07-27,24.86,26.99,24.47,11347143
2018-08-03,24.48,24.8799,23.35,14351097
2018-08-10,25.81,26.41,24.4,9125227
2018-08-17,24.57,26.08,24.36,7407413
2018-08-24,26.63,26.7,24.47,11415964
2018-08-31,24.56,27.19,23.53,43226895
2018-09-07,24.55,25.0845,23.02,15728362
2018-09-14,24.74,25.4,24.1612,10045361
2018-09-21,23.64,24.869,23.25,14207993
2018-09-28,23.91,24.43,23.05,15107007
2018-10-05,20.89,24.1,20.41,17900537
2018-10-12,19.21,20.61,18.69,20619698
2018-10-19,18.02,20.135,18.0,11276164
2018-10-26,17.67,18.955,17.31,13023014
