date,adjClose,adjHigh,adjLow,adjVolume
2018-03-16,12.86,13.33,12.6,3170777
2018-03-23,12.86,13.35,12.7401,388950
2018-03-30,13.07,13.66,12.8,745556
2018-04-06,12.95,13.325,12.87,547197
2018-04-13,13.28,13.87,12.97,345658
2018-04-20,13.25,13.5,13.12,421445
2018-04-27,12.98,13.3,12.75,579582
2018-05-04,13.47,13.53,12.99,399661
2018-05-11,12.99,13.56,12.83,548800
2018-05-18,13.0,13.15,12.76,268634
2018-05-25,12.91,13.18,12.79,291398
2018-06-01,12.7,12.97,12.65,203900
2018-06-08,12.76,13.05,12.7119,637485
2018-06-15,12.8,13.14,12.64,1006054
2018-06-22,12.86,13.05,12.75,1031892
2018-06-29,12.72,12.91,12.67,218359
2018-07-06,12.94,12.99,12.7,233325
2018-07-13,12.84,13.0,12.69,144956
2018-07-20,12.98,13.0,12.73,146687
2018-07-27,12.95,13.0,12.58,269126
2018-08-03,12.54,13.19,12.54,269455
2018-08-10,12.55,12.73,12.4669,186337
2018-08-17,12.36,12.59,12.31,292054
2018-08-24,12.76,12.8784,12.29,122761
2018-08-31,12.86,12.95,12.61,117227
2018-09-07,13.27,13.36,12.74,266846
2018-09-14,12.85,13.4,12.75,88103
2018-09-21,13.35,13.5,12.54,445250
2018-09-28,13.02,13.4,12.9029,136133
2018-10-05,12.98,13.19,12.74,277080
2018-10-12,12.54,13.2,12.52,394373
2018-10-19,12.45,12.95,12.4,236975
2018-10-26,10.9,12.69,10.04,312811
2018-11-02,11.3,12.655,10.78,139395
2018-11-09,11.56,12.0558,11.11,212859
2018-11-16,11.32,11.9399,11.11,156606
2018-11-23,11.13,11.5,11.0,96444
2018-11-30,12.09,12.7,11.21,631650
2018-12-07,11.33,12.26,11.11,370432
2018-12-14,10.98,11.76,10.96,759166
2018-12-21,10.34,11.0,9.8,3080539
2018-12-28,10.22,10.6,9.2975,580763
2019-01-04,10.74,10.94,9.87,415800
2019-01-11,10.5,10.83,10.3,229185
2019-01-18,10.85,10.89,9.69,387341
2019-01-25,11.15,11.15,10.2501,487905
2019-02-01,11.29,11.5,11.01,389721
2019-02-08,11.3,11.4433,11.12,212011
2019-02-15,11.33,11.59,11.14,259796
2019-02-22,11.36,11.5,11.28,248686
2019-03-01,11.15,11.49,11.06,257735
2019-03-08,10.79,11.2,10.34,306230
2019-03-15,11.3,11.32,10.78,304586
2019-03-22,10.16,11.34,10.15,298364
2019-03-29,10.31,10.68,10.21,357631
2019-04-05,10.38,10.615,10.25,447157
2019-04-12,10.34,10.4,10.21,265568
2019-04-19,10.68,10.875,10.25,116928
2019-04-26,10.62,10.81,10.32,186851
2019-05-03,11.16,11.17,10.42,441379
2019-05-10,11.03,11.27,10.6376,214266
2019-05-17,11.02,11.2,10.82,221149
2019-05-24,11.0,11.26,10.77,1005776
2019-05-31,10.98,11.21,10.9,210237
2019-06-07,11.12,11.23,10.72,213753
2019-06-14,11.32,11.35,10.92,268031
2019-06-21,11.5,11.5,10.36,711221
2019-06-28,11.54,11.72,10.56,646889
2019-07-05,11.67,11.8,11.4,197777
2019-07-12,11.67,11.8,11.42,186751
2019-07-19,11.5,11.78,11.23,125401
2019-07-26,11.95,12.21,11.2333,184831
2019-08-02,11.6,12.08,11.56,394519
2019-08-09,11.39,11.85,11.27,281862
2019-08-16,11.39,11.6,11.16,150430
2019-08-23,11.2,11.85,11.15,175123
2019-08-30,11.13,11.55,10.95,335604
2019-09-06,11.19,11.5,10.86,183990
2019-09-13,11.83,11.97,11.235,780211
2019-09-20,12.14,12.56,11.5,2393677
2019-09-27,11.87,12.47,11.59,583204
2019-10-04,11.645,12.07,11.33,477651
2019-10-11,12.13,12.25,11.55,896637
2019-10-18,12.13,12.33,12.02,375536
2019-10-25,12.36,12.58,12.18,368439
2019-11-01,12.51,12.7,12.36,488417
2019-11-08,12.77,12.85,12.49,418179
2019-11-15,12.62,12.8,12.04,301645
2019-11-22,12.85,12.96,12.51,443948
2019-11-29,12.78,13.0,12.66,270275
2019-12-06,12.915,13.0,12.64,248839
2019-12-13,13.1,13.27,12.72,328077
2019-12-20,13.7,13.89,13.03,683004
2019-12-27,13.83,13.9,13.6494,289111
2020-01-03,13.46,13.89,13.31,180089
2020-01-10,13.21,13.61,12.4703,242528
2020-01-17,13.17,13.5,12.98,234720
