date,adjClose,adjHigh,adjLow,adjVolume
1984-09-07,3.94,4.125,3.94,10000
1984-09-14,3.94,4.125,3.875,135600
1984-09-21,3.69,4.0,3.69,116200
1984-09-28,2.375,3.69,2.125,653800
1984-10-05,2.75,2.81,2.625,337000
1984-10-12,3.06,3.125,2.75,144600
1984-10-19,2.75,3.125,2.75,133800
1984-10-26,2.625,2.81,2.625,70200
1984-11-02,2.44,2.685,2.375,101000
1984-11-09,2.125,2.5,2.0,133800
1984-11-16,2.06,2.19,1.935,88000
1984-11-23,2.06,2.125,1.935,118800
1984-11-30,2.0,2.06,1.935,67000
1984-12-07,1.75,2.0,1.5,230600
1984-12-14,1.625,1.935,1.625,125000
1984-12-21,1.56,1.75,1.56,167800
1984-12-28,1.875,2.0,1.75,118400
1985-01-04,1.815,1.935,1.815,88800
1985-01-11,1.875,1.935,1.625,172000
1985-01-18,2.125,2.19,1.815,222800
1985-01-25,2.31,2.5,2.25,285000
1985-02-01,2.19,2.31,2.0,147800
1985-02-08,2.19,2.19,2.06,89200
1985-02-15,2.0,2.25,2.0,122400
1985-02-22,1.875,2.125,1.875,144000
1985-03-01,1.815,1.935,1.75,90800
1985-03-08,1.69,1.815,1.69,52800
1985-03-15,1.69,1.75,1.625,39400
1985-03-22,1.625,1.69,1.5,101400
1985-03-29,1.56,1.56,1.5,42600
1985-04-05,1.56,1.56,1.5,35400
1985-04-12,1.125,1.56,1.065,166200
1985-04-19,1.25,1.25,1.125,130400
1985-04-26,1.25,1.25,1.125,64400
1985-05-03,1.185,1.25,1.125,39000
1985-05-10,1.065,1.185,1.0,117000
1985-05-17,1.185,1.44,1.185,106600
1985-05-24,1.31,1.375,1.25,123400
1985-05-31,1.31,1.44,1.31,91000
1985-06-07,1.31,1.44,1.28,124800
1985-06-14,1.31,1.31,1.185,31000
1985-06-21,1.28,1.31,1.125,95000
1985-06-28,1.185,1.25,1.185,108400
1985-07-05,1.31,1.31,1.25,56200
1985-07-12,1.25,1.31,1.25,55400
1985-07-19,1.44,1.44,1.25,67800
1985-07-26,1.31,1.44,1.31,33600
1985-08-02,1.44,1.5,1.31,30200
1985-08-09,1.375,1.5,1.375,76200
1985-08-16,1.375,1.44,1.31,67600
1985-08-23,1.31,1.375,1.25,43400
1985-08-30,1.25,1.31,1.185,39200
1985-09-06,1.125,1.25,1.125,20600
1985-09-13,1.31,1.31,1.25,96600
1985-09-20,1.5,1.5,1.25,44800
1985-09-27,1.375,1.56,1.375,56400
1985-10-04,1.44,1.5,1.375,20200
1985-10-11,1.31,1.375,1.25,44800
1985-10-18,1.5,1.56,1.375,186200
1985-10-25,1.25,1.5,1.25,99800
1985-11-01,1.375,1.375,1.25,55400
1985-11-08,1.31,1.31,1.185,121600
1985-11-15,1.185,1.31,1.185,31400
1985-11-22,1.065,1.25,1.0,75800
1985-11-29,1.125,1.125,1.0,53800
1985-12-06,0.875,1.125,0.875,132400
1985-12-13,0.81,0.875,0.69,275200
1985-12-20,0.75,0.81,0.56,494400
1985-12-27,0.75,0.81,0.625,68200
1986-01-03,0.875,0.875,0.69,141600
1986-01-10,0.81,0.875,0.75,54400
1986-01-17,0.625,0.75,0.56,253600
1986-01-24,0.69,0.69,0.5,115000
1986-01-31,0.69,0.75,0.625,65200
1986-02-07,0.625,0.75,0.625,34000
1986-02-14,0.56,0.69,0.5,100600
1986-02-21,0.375,0.56,0.375,64800
1986-02-28,0.435,0.5,0.375,238200
1986-03-07,0.375,0.5,0.375,57400
1986-03-14,0.375,0.435,0.315,164200
1986-03-21,0.5,0.5,0.315,381400
1986-03-28,0.5,0.56,0.435,166200
1986-04-04,0.56,0.56,0.25,92000
1986-04-11,0.56,0.56,0.435,14800
1986-04-18,0.56,0.56,0.435,27200
1986-04-25,0.435,0.56,0.435,85800
1986-05-02,0.5,0.5,0.25,41600
1986-05-09,0.47,0.5,0.315,38400
1986-05-16,0.375,0.5,0.375,33400
1986-05-23,0.435,0.56,0.375,55200
1986-05-30,0.375,0.56,0.375,47400
1986-06-06,0.5,0.5,0.375,14400
1986-06-13,0.5,0.5,0.435,42200
1986-06-20,0.5,0.5,0.315,88400
1986-06-27,0.375,0.5,0.375,23000
1986-07-04,0.5,0.5,0.375,9000
1986-07-11,0.375,0.5,0.375,4400
1986-07-18,0.435,0.5,0.375,50800
1986-07-25,0.435,0.435,0.315,26600
1986-08-01,0.28,0.435,0.28,25600
1986-08-08,0.435,0.435,0.28,6200
1986-08-15,0.375,0.435,0.315,24000
1986-08-22,0.25,0.375,0.25,35000
1986-08-29,0.435,0.435,0.25,33400
1986-09-05,0.625,0.625,0.315,41800
1986-09-12,0.5,0.625,0.435,22200
1986-09-19,0.56,0.625,0.435,42800
1986-09-26,0.56,0.56,0.435,75800
1986-10-03,0.56,0.56,0.435,7200
1986-10-10,0.5,0.625,0.435,63200
1986-10-17,0.56,0.625,0.5,65200
1986-10-24,0.625,0.75,0.56,90000
1986-10-31,0.56,0.75,0.56,33600
1986-11-07,0.625,0.69,0.435,38800
1986-11-14,0.5,0.5,0.5,12600
1986-11-21,0.5,0.625,0.5,46400
1986-11-28,0.56,0.625,0.435,68000
1986-12-05,0.435,0.56,0.435,97000
1986-12-12,0.5,0.5,0.435,14600
1986-12-19,0.435,0.5,0.435,30200
1986-12-26,0.375,0.5,0.375,84600
1987-01-02,0.5,0.5,0.315,68800
1987-01-09,0.375,0.5,0.315,24200
1987-01-16,0.5,0.5,0.375,99000
1987-01-23,0.375,0.5,0.375,49800
1987-01-30,0.5,0.5,0.375,16000
1987-02-06,0.375,0.5,0.375,21000
1987-02-13,0.435,0.5,0.375,63000
1987-02-20,0.56,0.56,0.435,30000
1987-02-27,0.75,0.75,0.435,141400
1987-03-06,1.0,1.065,0.625,254000
1987-03-13,1.185,1.25,0.875,199600
1987-03-20,0.94,1.125,0.94,54400
1987-03-27,0.625,1.0,0.625,263600
1987-04-03,0.75,0.94,0.69,122000
1987-04-10,0.875,0.875,0.69,150000
1987-04-17,0.81,0.875,0.69,83000
1987-04-24,0.875,0.875,0.69,60600
1987-05-01,0.94,1.0,0.81,66200
1987-05-08,0.94,1.0,0.875,67000
1987-05-15,1.375,1.5,0.94,470600
1987-05-22,1.065,1.375,1.065,256200
1987-05-29,1.0,1.185,0.94,176200
1987-06-05,1.0,1.0,0.875,51400
1987-06-12,1.25,1.25,0.94,66400
1987-06-19,1.185,1.31,1.065,116600
1987-06-26,1.125,1.25,1.0,64400
1987-07-03,1.0,1.125,1.0,17000
1987-07-10,1.0,1.065,1.0,9800
1987-07-17,1.065,1.185,1.0,84000
1987-07-24,1.065,1.185,1.065,27000
1987-07-31,1.065,1.125,1.065,19600
1987-08-07,1.065,1.125,1.0,97400
1987-08-14,0.94,1.0,0.94,38600
1987-08-21,1.065,1.065,0.94,25200
1987-08-28,0.94,1.065,0.94,34200
1987-09-04,0.94,1.0,0.875,34400
1987-09-11,0.875,1.0,0.875,7000
1987-09-18,0.75,1.0,0.75,38600
1987-09-25,0.94,1.0,0.75,58000
1987-10-02,0.94,0.94,0.94,12400
1987-10-09,0.81,1.0,0.81,28400
1987-10-16,0.75,0.94,0.75,25800
1987-10-23,0.69,0.875,0.69,51800
1987-10-30,0.56,0.875,0.5,83800
1987-11-06,0.69,0.69,0.56,27200
1987-11-13,0.56,0.69,0.56,49000
1987-11-20,0.56,0.625,0.56,12800
1987-11-27,0.625,0.625,0.56,13800
1987-12-04,0.5,0.625,0.5,66400
1987-12-11,0.625,0.625,0.5,66600
1987-12-18,0.5,0.69,0.5,75000
1987-12-25,0.5,0.625,0.5,13400
1988-01-01,0.56,0.56,0.5,36400
1988-01-08,0.56,0.625,0.56,45000
1988-01-15,0.56,0.625,0.56,11200
1988-01-22,0.595,0.625,0.5,97600
1988-01-29,0.625,0.625,0.56,111000
1988-02-05,0.625,0.625,0.56,26200
1988-02-12,0.625,0.69,0.625,159600
1988-02-19,0.69,0.69,0.625,27600
1988-02-26,0.69,0.69,0.625,56800
1988-03-04,0.69,0.69,0.56,30400
1988-03-11,0.56,0.69,0.56,21000
1988-03-18,0.625,0.69,0.56,45200
1988-03-25,0.56,0.625,0.5,53000
1988-04-01,0.56,0.56,0.53,11000
1988-04-08,0.53,0.56,0.5,54800
1988-04-15,0.56,0.69,0.5,55400
1988-04-22,0.69,0.69,0.56,33200
1988-04-29,0.625,0.69,0.625,25600
1988-05-06,0.5,0.625,0.5,86400
1988-05-13,0.625,0.625,0.5,17200
1988-05-20,0.625,0.625,0.5,7800
1988-05-27,0.53,0.625,0.5,51600
1988-06-03,0.56,0.625,0.5,15200
1988-06-10,0.595,0.625,0.5,93200
1988-06-17,0.625,0.625,0.5,1400
1988-06-24,0.625,0.625,0.5,8800
1988-07-01,0.5,0.625,0.435,45400
1988-07-08,0.56,0.56,0.435,78000
1988-07-15,0.5,0.5,0.435,5400
1988-07-22,0.56,0.56,0.5,23400
1988-07-29,0.56,0.56,0.5,12800
1988-08-05,0.56,0.56,0.435,27800
1988-08-12,0.5,0.56,0.435,59600
1988-08-19,0.5,0.5,0.375,42200
1988-08-26,0.435,0.5,0.375,27200
1988-09-02,0.56,0.56,0.435,16000
1988-09-09,0.435,0.56,0.435,26000
1988-09-16,0.5,0.5,0.435,12600
1988-09-23,0.435,0.5,0.435,13400
1988-09-30,0.435,0.47,0.435,33400
1988-10-07,0.47,0.47,0.435,13600
1988-10-14,0.435,0.47,0.375,15600
1988-10-21,0.375,0.47,0.315,71200
1988-10-28,0.375,0.375,0.315,26600
1988-11-04,0.375,0.435,0.315,51000
1988-11-11,0.315,0.375,0.315,12200
1988-11-18,0.315,0.375,0.25,47200
1988-11-25,0.315,0.375,0.315,43200
1988-12-02,0.375,0.435,0.315,40600
1988-12-09,0.56,0.56,0.375,50200
1988-12-16,0.5,0.56,0.47,72400
1988-12-23,0.5,0.53,0.375,121800
1988-12-30,0.375,0.435,0.375,101800
1989-01-06,0.375,0.375,0.375,0
1989-01-13,0.375,0.435,0.375,56400
1989-01-20,0.435,0.47,0.405,146000
1989-01-27,0.47,0.47,0.435,6200
1989-02-03,0.435,0.47,0.435,19200
1989-02-10,0.375,0.47,0.375,75200
1989-02-17,0.405,0.56,0.375,144200
1989-02-24,0.405,0.405,0.345,30600
1989-03-03,0.375,0.375,0.345,49800
1989-03-10,0.375,0.405,0.345,3400
1989-03-17,0.345,0.405,0.345,39600
1989-03-24,0.405,0.405,0.345,35400
1989-03-31,0.315,0.345,0.315,44200
1989-04-07,0.435,0.435,0.315,57200
1989-04-14,0.405,0.435,0.345,83600
