date,adjClose,adjHigh,adjLow,adjVolume
2018-07-20,15.78,16.75,15.7738,1571045
2018-07-27,16.48,16.55,15.501,178899
2018-08-03,16.17,16.5,15.9,171317
2018-08-10,16.13,16.4,15.915,47434
2018-08-17,16.14,16.25,15.928,73801
2018-08-24,16.07,16.2499,15.9,70849
2018-08-31,16.22,16.5,15.95,97195
2018-09-07,17.67,18.8999,16.18,225003
2018-09-14,17.5,18.25,16.63,275713
2018-09-21,16.55,17.93,16.25,841528
2018-09-28,17.0,17.84,16.4217,130878
2018-10-05,17.33,17.99,17.06,86026
2018-10-12,17.0,17.45,16.0,129083
2018-10-19,15.79,17.239,15.54,54451
2018-10-26,15.85,16.3,14.6,51271
2018-11-02,15.69,16.66,15.125,51742
2018-11-09,16.04,16.64,15.505,40920
2018-11-16,15.36,16.2446,15.0,113127
2018-11-23,16.0,16.025,15.155,22996
2018-11-30,15.95,16.25,15.185,63957
2018-12-07,14.92,16.405,14.6,118456
2018-12-14,12.62,14.87,12.3,28413
2018-12-21,13.14,14.274,11.85,204117
2018-12-28,15.41,16.49,12.64,64978
2019-01-04,15.0,15.69,14.36,108006
2019-01-11,15.13,15.68,12.54,32688
2019-01-18,14.94,15.38,14.73,36019
2019-01-25,15.01,15.34,13.8515,38603
2019-02-01,15.07,15.35,14.76,28698
2019-02-08,15.4,15.68,15.04,51280
2019-02-15,16.23,16.71,15.27,96052
2019-02-22,16.75,16.75,15.9622,42591
2019-03-01,17.0,17.0,16.27,76504
2019-03-08,16.87,17.265,16.75,89060
2019-03-15,15.59,17.25,14.92,136869
2019-03-22,15.41,17.24,15.25,76844
2019-03-29,16.99,17.24,15.24,52976
2019-04-05,17.0,17.5,16.87,86427
2019-04-12,16.39,17.0,16.0401,24261
2019-04-19,16.19,16.24,15.86,16032
2019-04-26,16.28,16.5,15.39,49041
2019-05-03,16.49,16.5,15.3801,24538
2019-05-10,16.98,17.0,15.7292,102257
2019-05-17,16.57,17.0,16.43,53373
2019-05-24,16.0,16.9899,15.5,53312
2019-05-31,16.06,16.35,15.738,37991
2019-06-07,16.13,16.81,15.66,51746
2019-06-14,15.54,17.0,15.4,63627
2019-06-21,15.4,15.97,15.27,64007
2019-06-28,15.47,15.5,15.07,310295
2019-07-05,15.35,15.7088,14.9574,101982
2019-07-12,15.86,15.98,14.8,77736
2019-07-19,15.11,15.76,14.86,227238
2019-07-26,15.87,16.0,15.03,58433
2019-08-02,15.6,16.25,15.43,62175
2019-08-09,15.2,15.59,14.63,90120
2019-08-16,14.9,15.6355,14.6,58031
2019-08-23,14.83,15.5523,14.61,188460
2019-08-30,14.77,14.91,14.5701,112221
2019-09-06,14.67,15.1,14.21,92844
2019-09-13,16.0,16.25,14.55,227847
2019-09-20,15.7,16.105,15.51,380915
2019-09-27,15.34,16.0,15.01,110097
2019-10-04,15.17,15.49,14.77,60322
2019-10-11,15.78,15.97,14.99,45621
2019-10-18,15.9,16.35,15.6115,120658
2019-10-25,15.08,16.1,14.86,60239
2019-11-01,15.07,15.7367,15.04,85922
2019-11-08,15.86,16.2,15.07,131880
2019-11-15,16.6,17.0,15.634,118217
2019-11-22,16.81,18.585,16.6508,93421
2019-11-29,16.99,17.5,16.16,37621
2019-12-06,16.91,17.38,16.4402,58004
2019-12-13,16.87,17.37,16.65,51491
2019-12-20,16.7,17.1,16.39,165315
2019-12-27,16.7,16.88,16.5,25048
2020-01-03,16.21,16.86,16.0,110818
2020-01-10,16.71,16.98,15.75,505428
2020-01-17,17.33,17.85,16.65,101657
