date,adjClose,adjHigh,adjLow,adjVolume
1990-03-30,62.5,67.25,61.0,700
1990-04-06,65.75,72.0,61.0,200
1990-04-13,68.75,68.75,64.0,100
1990-04-20,65.75,73.5,65.75,0
1990-04-27,62.5,65.75,62.5,0
1990-05-04,64.0,65.75,56.25,400
1990-05-11,65.75,68.75,59.5,300
1990-05-18,67.25,67.25,61.0,400
1990-05-25,65.75,67.25,62.5,100
1990-06-01,68.75,70.25,65.75,0
1990-06-08,72.0,73.5,65.75,700
1990-06-15,75.0,76.5,72.0,1200
1990-06-22,72.0,76.5,70.25,400
1990-06-29,75.0,75.0,70.25,600
1990-07-06,75.0,75.0,72.0,600
1990-07-13,73.5,78.25,73.5,2600
1990-07-20,75.0,75.0,73.5,800
1990-07-27,76.5,76.5,68.75,700
1990-08-03,70.25,76.5,70.25,0
1990-08-10,62.5,72.0,50.0,1400
1990-08-17,59.5,59.5,59.5,0
1990-08-24,53.25,59.5,50.0,700
1990-08-31,56.25,56.25,56.25,0
1990-09-07,56.25,56.25,56.25,0
1990-09-14,50.0,56.25,50.0,100
1990-09-21,53.25,53.25,43.75,0
1990-09-28,36.0,43.75,34.5,100
1990-10-05,39.0,39.0,31.25,0
1990-10-12,32.75,39.0,32.75,0
1990-10-19,26.5,30.5,15.625,1400
1990-10-26,22.0,26.5,22.0,1100
1990-11-02,22.75,23.5,21.0,1700
1990-11-09,21.0,22.75,20.25,1200
1990-11-16,22.0,22.0,18.75,900
1990-11-23,23.5,25.0,18.75,2800
1990-11-30,23.5,24.25,22.0,900
1990-12-07,25.0,25.0,23.5,0
1990-12-14,25.75,31.25,25.0,100
1990-12-21,28.25,34.5,28.25,0
1990-12-28,29.75,29.75,26.5,0
1991-01-04,26.5,28.25,23.5,0
1991-01-11,25.0,26.5,23.5,900
1991-01-18,23.5,24.25,22.0,900
1991-01-25,22.0,23.5,20.25,300
1991-02-01,20.25,22.0,20.25,800
1991-02-08,25.0,31.25,18.75,1100
1991-02-15,36.0,37.5,24.25,100
1991-02-22,40.75,42.25,36.0,0
1991-03-01,40.75,47.0,40.75,100
1991-03-08,40.75,43.75,28.25,3500
1991-03-15,42.25,43.0,37.5,1300
1991-03-22,45.25,45.25,36.0,500
1991-03-29,37.5,45.25,37.5,200
1991-04-05,22.0,40.75,20.25,400
1991-04-12,25.0,26.5,22.0,100
1991-04-19,23.5,25.0,22.0,300
1991-04-26,17.25,20.25,15.75,1500
1991-05-03,20.25,20.25,18.75,0
1991-05-10,14.0,18.75,12.5,400
1991-05-17,12.5,14.0,12.5,300
1991-05-24,14.0,14.0,12.5,200
1991-05-31,15.75,15.75,9.5,2300
1991-06-07,12.5,15.75,12.5,500
1991-06-14,12.5,12.5,12.5,0
1991-06-21,14.0,14.0,11.0,1100
1991-06-28,11.0,11.0,11.0,0
1991-07-05,13.25,13.25,11.0,700
1991-07-12,12.5,12.5,12.5,100
1991-07-19,11.0,12.5,11.0,0
1991-07-26,12.5,12.5,11.75,200
1991-08-02,9.5,12.5,9.5,0
1991-08-09,4.75,9.5,4.75,1000
1991-08-16,6.25,7.75,4.75,100
