date,adjClose,adjHigh,adjLow,adjVolume
2017-11-17,22.25,22.5,22.25,900
2017-11-24,21.88,21.88,21.88,0
2017-12-01,21.3,24.4,21.3,7955580
2017-12-08,25.37,26.67,19.51,4913613
2017-12-15,28.72,30.68,25.0,5553297
2017-12-22,35.98,36.41,29.14,2945073
2017-12-29,39.51,41.89,36.0,2673497
2018-01-05,35.0,39.36,34.79,2092546
2018-01-12,35.05,36.21,32.88,2249787
2018-01-19,35.08,36.12,31.5,1601249
2018-01-26,34.68,37.9,33.45,1416983
2018-02-02,30.98,35.28,30.7,1739290
2018-02-09,29.39,32.5,27.1008,2102486
2018-02-16,32.57,33.8,29.04,1580822
2018-02-23,32.98,34.3,31.48,1446611
2018-03-02,31.69,33.74,30.5,1556084
2018-03-09,28.69,33.41,28.6,2000326
2018-03-16,31.04,31.62,27.75,4089084
2018-03-23,29.47,31.31,29.08,2306273
2018-03-30,28.97,30.34,26.62,1458300
2018-04-06,29.35,30.3,28.25,1488366
2018-04-13,31.52,31.765,29.28,1352298
2018-04-20,33.91,36.17,29.16,3198638
2018-04-27,31.21,34.88,30.84,1341192
2018-05-04,39.08,39.3,30.27,3168779
2018-05-11,42.91,43.81,38.9889,3911921
2018-05-18,43.87,44.85,42.74,2561680
2018-05-25,41.45,45.68,40.94,1785641
2018-06-01,45.7,45.905,41.43,1434559
2018-06-08,44.14,48.12,43.71,2185719
2018-06-15,42.23,44.85,42.01,3039239
2018-06-22,41.83,42.59,40.045,4565825
2018-06-29,38.35,42.5,36.39,3018158
2018-07-06,38.31,40.0,37.54,1277906
2018-07-13,39.44,39.85,37.85,2249779
2018-07-20,42.25,42.76,39.64,2886361
2018-07-27,40.97,42.505,39.53,1605657
2018-08-03,44.76,47.35,40.15,2133792
2018-08-10,43.43,45.62,42.6824,2285099
2018-08-17,42.71,44.25,41.28,996979
2018-08-24,41.51,43.5,41.05,851894
2018-08-31,42.9,43.34,40.68,1125926
2018-09-07,43.99,44.8,42.2098,953477
2018-09-14,41.38,47.49,41.24,2111159
2018-09-21,41.68,42.84,40.6,2889464
2018-09-28,40.81,42.74,39.89,2169854
2018-10-05,39.74,41.86,38.55,2227911
2018-10-12,38.32,41.31,37.61,1528996
2018-10-19,39.36,41.31,38.32,1283177
2018-10-26,39.37,40.48,36.84,1499081
2018-11-02,38.22,40.64,35.89,2490284
2018-11-09,41.02,41.435,38.22,1841252
2018-11-16,38.21,41.98,37.26,1753203
2018-11-23,35.05,38.79,34.53,989995
2018-11-30,34.36,36.14,33.17,1455538
2018-12-07,32.67,35.51,32.46,1562105
2018-12-14,32.56,33.99,31.68,2380465
2018-12-21,29.78,33.87,29.52,2025314
2018-12-28,31.6,32.22,29.34,659187
2019-01-04,32.76,33.59,30.8,939156
2019-01-11,33.16,33.29,31.84,1563929
2019-01-18,34.09,34.38,31.365,1218147
2019-01-25,34.7,35.24,33.097,749198
2019-02-01,34.85,35.57,33.92,798242
2019-02-08,33.23,37.4,32.81,1058810
2019-02-15,36.05,36.26,33.285,1264386
2019-02-22,37.24,38.1072,35.97,834935
2019-03-01,38.37,38.48,36.4444,926398
2019-03-08,33.67,38.74,33.44,1342838
2019-03-15,37.38,37.5,33.775,1914151
2019-03-22,35.22,38.12,35.2,1239550
2019-03-29,34.22,35.22,33.0,1588381
2019-04-05,33.46,35.18,32.25,1795160
2019-04-12,34.1,34.38,33.17,1486529
2019-04-19,33.23,34.66,32.985,1305498
2019-04-26,34.08,34.61,33.05,966689
2019-05-03,32.92,34.31,31.5432,1302724
2019-05-10,31.62,33.9,30.05,1517545
2019-05-17,28.97,31.38,28.77,1366862
2019-05-24,27.24,29.48,26.71,1158993
2019-05-31,26.22,27.45,25.6,972891
2019-06-07,26.61,27.81,25.9,1189149
2019-06-14,25.1,27.41,24.78,1269053
2019-06-21,27.27,27.38,24.945,1953570
2019-06-28,26.61,27.3,24.925,1604358
2019-07-05,25.94,27.08,25.03,843363
2019-07-12,25.31,26.395,25.06,1139861
2019-07-19,23.62,25.7,22.66,1716794
2019-07-26,22.33,24.2,21.52,1909772
2019-08-02,20.17,22.39,19.94,1551837
2019-08-09,17.78,20.08,17.65,2335670
2019-08-16,17.25,18.32,16.35,2153854
2019-08-23,16.42,18.57,16.22,1757778
2019-08-30,16.76,17.21,15.92,1378296
2019-09-06,16.58,17.3,16.08,1144085
2019-09-13,17.25,19.2,16.33,1850188
2019-09-20,16.38,17.79,16.05,1924604
2019-09-27,15.49,16.74,15.42,1570144
2019-10-04,14.66,16.13,14.04,1816066
2019-10-11,15.44,15.92,13.81,1530267
2019-10-18,14.3,16.38,14.3,1376204
2019-10-25,14.5,15.24,14.195,1094746
2019-11-01,13.49,14.67,12.92,1954126
2019-11-08,13.25,14.3873,11.97,2373440
2019-11-15,12.26,13.095,11.735,2842957
2019-11-22,12.66,12.85,11.71,2217655
2019-11-29,12.76,13.485,12.5,1049045
2019-12-06,13.11,13.23,12.25,1478394
2019-12-13,13.6,14.33,13.13,1738675
2019-12-20,14.58,14.99,13.77,3223154
2019-12-27,14.84,15.15,14.37,862460
2020-01-03,14.48,15.12,13.76,2042103
2020-01-10,11.56,14.65,11.46,2193974
2020-01-17,11.1,12.22,11.0,1825912
