date,adjClose,adjHigh,adjLow,adjVolume
2019-06-28,9.59,10.5,8.5,5040531
2019-07-05,9.47,10.5,9.09,968156
2019-07-12,9.35,9.43,8.041,464224
2019-07-19,10.45,10.45,9.135,471237
2019-07-26,9.98,10.75,9.345,751209
2019-08-02,9.7,10.05,9.5,162980
2019-08-09,8.88,9.69,8.3,266265
2019-08-16,8.98,9.55,8.1,254286
2019-08-23,8.92,9.6328,8.54,286072
2019-08-30,8.99,9.63,8.75,119429
2019-09-06,9.5,9.78,8.75,137394
2019-09-13,10.88,11.75,8.98,517211
2019-09-20,9.81,11.385,9.8,684765
2019-09-27,9.52,10.25,9.29,265296
2019-10-04,9.24,9.98,9.04,254137
2019-10-11,8.36,9.45,8.2125,211026
2019-10-18,8.63,8.88,8.0,164408
2019-10-25,8.82,9.0,8.36,104375
2019-11-01,8.67,8.95,8.135,95707
2019-11-08,7.26,8.8499,7.08,174231
2019-11-15,7.17,8.29,6.8136,202140
2019-11-22,6.66,7.45,6.579,327260
2019-11-29,7.25,7.4,6.5,124369
2019-12-06,5.98,7.5,5.84,122879
2019-12-13,6.21,6.81,5.75,198547
2019-12-20,6.91,7.25,6.1007,202949
2019-12-27,7.85,8.27,6.79,180779
2020-01-03,8.81,9.155,7.71,146111
2020-01-10,9.16,9.5,8.21,171522
2020-01-17,8.54,9.3,8.54,160400
