date,adjClose,adjHigh,adjLow,adjVolume
2017-11-24,18.02,18.9,16.8,704897
2017-12-01,17.71,18.71,17.26,1609104
2017-12-08,17.12,17.75,16.16,2139638
2017-12-15,16.69,17.3,16.43,2404559
2017-12-22,17.02,17.14,16.45,626704
2017-12-29,17.03,17.3,16.95,586721
2018-01-05,16.94,17.235,16.77,695389
2018-01-12,17.1,17.25,16.8,1193457
2018-01-19,18.4,18.68,16.72,855637
2018-01-26,17.68,18.5,17.5639,582999
2018-02-02,17.23,18.05,17.12,714665
2018-02-09,16.92,17.25,16.25,1087211
2018-02-16,18.19,18.25,16.61,1164251
2018-02-23,17.87,18.21,17.57,370916
2018-03-02,18.65,19.29,17.84,824659
2018-03-09,19.0,19.28,18.5,598989
2018-03-16,18.6,19.01,18.31,1613931
2018-03-23,18.55,19.58,18.54,3718330
2018-03-30,18.86,19.23,18.55,2163447
2018-04-06,18.77,19.0,18.395,894793
2018-04-13,19.3,19.54,18.66,2741137
2018-04-20,20.1,20.2825,19.16,4479101
2018-04-27,20.65,20.95,20.1,6233092
2018-05-04,20.98,21.095,20.09,2578356
2018-05-11,20.77,21.34,20.55,2030666
2018-05-18,20.02,20.795,19.92,3056442
2018-05-25,20.25,20.49,19.72,1397560
2018-06-01,20.07,20.41,19.93,1288223
2018-06-08,20.56,20.83,19.89,4056541
2018-06-15,20.14,21.04,20.13,4419949
2018-06-22,19.41,20.63,19.17,2866529
2018-06-29,18.55,19.35,18.33,1623464
2018-07-06,18.66,18.82,18.2652,1164064
2018-07-13,19.52,19.92,18.62,1697550
2018-07-20,19.77,19.98,19.42,1389451
2018-07-27,18.94,19.97,18.9,1029415
2018-08-03,18.53,18.99,17.78,2415291
2018-08-10,18.85,19.7,18.5,1185405
2018-08-17,19.37,19.5,16.93,2190389
2018-08-24,19.67,19.85,19.0,1455303
2018-08-31,19.44,19.91,19.32,1078083
2018-09-07,19.72,19.9,19.28,926321
2018-09-14,20.88,20.97,19.61,1567794
2018-09-21,21.43,21.9,20.9,2210565
2018-09-28,20.95,21.49,20.86,948368
2018-10-05,20.76,21.13,20.53,1158864
2018-10-12,19.47,21.21,19.15,1278898
2018-10-19,18.77,19.84,18.7,1314748
2018-10-26,17.78,19.14,17.38,1151887
2018-11-02,17.83,18.66,17.2125,2120712
2018-11-09,18.07,18.99,16.49,2818630
2018-11-16,17.7,18.15,17.17,2373158
2018-11-23,17.23,17.82,17.01,1273262
2018-11-30,17.43,17.67,16.82,1761792
2018-12-07,16.75,17.59,16.53,1668140
2018-12-14,17.03,17.34,16.58,1942557
2018-12-21,16.18,17.1,16.08,3066665
2018-12-28,16.7,16.92,15.87,1446536
2019-01-04,17.56,17.58,16.61,1969050
2019-01-11,18.06,18.37,17.38,1651081
2019-01-18,18.28,18.39,17.64,1128519
2019-01-25,18.73,18.79,18.08,1118729
2019-02-01,19.74,19.76,18.45,1234240
2019-02-08,21.38,21.42,19.46,1633287
2019-02-15,21.61,21.99,21.2001,824323
2019-02-22,22.6,22.61,21.52,703499
2019-03-01,23.3,23.37,22.3778,901218
2019-03-08,22.39,23.43,22.08,766268
2019-03-15,23.79,24.28,22.42,1451695
2019-03-22,23.4,24.1,22.96,996970
2019-03-29,24.26,24.42,23.14,1394700
2019-04-05,25.0,25.09,24.4,847687
2019-04-12,25.45,25.48,24.66,894991
2019-04-19,24.96,26.0,24.96,710523
2019-04-26,25.58,25.73,24.721,863677
2019-05-03,25.86,26.0,24.72,1287456
2019-05-10,25.58,26.9,24.7,1148802
2019-05-17,26.05,26.44,24.82,945224
2019-05-24,26.33,26.58,25.67,667978
2019-05-31,25.43,26.47,25.42,916517
2019-06-07,26.8,26.9,25.04,1176776
2019-06-14,28.71,29.12,26.94,1297314
2019-06-21,29.66,30.38,28.6,1370284
2019-06-28,28.98,29.88,28.03,1740415
2019-07-05,29.16,29.57,28.64,611589
2019-07-12,29.03,29.37,28.64,574853
2019-07-19,28.19,29.0,27.67,760974
2019-07-26,27.83,28.51,27.42,794095
2019-08-02,29.12,29.76,27.03,1265987
2019-08-09,30.01,32.03,28.34,1373688
2019-08-16,29.12,30.12,28.78,661733
2019-08-23,28.52,29.79,28.4,662243
2019-08-30,27.82,28.99,27.55,1041719
2019-09-06,28.31,29.71,27.26,983051
2019-09-13,26.98,28.46,26.28,1074406
2019-09-20,28.12,28.24,26.4,1572642
2019-09-27,27.83,29.78,27.72,1263298
2019-10-04,27.58,27.83,26.66,969428
2019-10-11,27.9,28.5,26.86,1057761
2019-10-18,28.12,28.36,27.46,1252498
2019-10-25,28.45,28.65,27.335,861843
2019-11-01,29.96,30.16,28.22,745157
2019-11-08,28.85,30.65,28.46,1102754
2019-11-15,35.53,36.0,27.9009,3169189
2019-11-22,37.14,37.37,35.35,1981564
2019-11-29,37.49,38.635,37.38,983295
2019-12-06,36.05,37.72,34.59,5103076
2019-12-13,36.66,37.93,36.44,1637376
2019-12-20,38.27,38.44,36.8,2467708
2019-12-27,37.29,38.17,37.05,616924
2020-01-03,38.51,39.2569,36.82,1628430
2020-01-10,38.88,39.32,37.435,1922565
2020-01-17,39.04,39.58,38.0073,1375320
