date,adjClose,adjHigh,adjLow,adjVolume
2003-07-04,10.0,11.25,9.255,1236000
2003-07-11,8.98,10.25,8.855,1504600
2003-07-18,9.28,10.695,8.63,1302200
2003-07-25,9.575,10.175,9.125,745200
2003-08-01,9.3,9.955,9.025,677200
2003-08-08,9.825,10.125,9.075,313400
2003-08-15,9.85,10.65,9.75,303800
2003-08-22,9.525,10.25,9.45,150600
2003-08-29,9.53,9.8,9.45,283000
2003-09-05,9.775,9.9,9.5,154400
2003-09-12,9.55,10.18,9.5,1092200
2003-09-19,9.975,10.215,9.625,185600
2003-09-26,10.225,10.34,9.85,90600
2003-10-03,11.245,11.49,10.025,142400
2003-10-10,11.5,11.5,10.63,102600
2003-10-17,11.35,11.575,10.75,92200
2003-10-24,11.9,11.95,11.15,325600
2003-10-31,12.1,12.175,11.825,101400
2003-11-07,12.0,12.25,11.685,105000
2003-11-14,11.5,12.025,11.385,104200
2003-11-21,11.7,11.75,11.03,165400
2003-11-28,11.75,11.7895,11.475,30600
2003-12-05,11.525,11.625,11.475,110800
2003-12-12,11.55,11.75,11.49,33200
2003-12-19,11.5,11.8995,11.25,123600
2003-12-26,11.7,11.955,11.55,49000
2004-01-02,11.8,12.085,11.625,172800
2004-01-09,12.75,13.0,11.75,63000
2004-01-16,15.0,15.0,13.8,255200
2004-01-23,15.6,16.17,14.125,152400
2004-01-30,15.75,16.77,15.23,175600
2004-02-06,17.7,18.015,15.05,58400
2004-02-13,18.6505,20.3,17.5,378200
2004-02-20,19.355,20.475,18.135,79000
2004-02-27,18.88,20.395,18.695,123000
2004-03-05,18.54,19.5,18.115,157200
2004-03-12,19.095,19.12,18.275,95400
2004-03-19,18.94,19.175,18.85,53000
2004-03-26,18.275,18.95,18.275,146800
2004-04-02,18.5,18.8,17.6,312200
2004-04-09,19.1,19.25,17.9,62200
2004-04-16,19.995,19.995,18.5755,39000
2004-04-23,20.0,20.0326,19.715,560200
2004-04-30,19.775,20.6,19.51,266600
2004-05-07,19.525,20.05,19.4955,92200
2004-05-14,18.49,19.94,18.335,245400
2004-05-21,18.5,18.5,17.5,254000
2004-05-28,18.9695,19.1,18.475,232600
2004-06-04,20.0,20.295,18.88,177000
2004-06-11,20.425,20.49,19.93,50800
2004-06-18,19.995,20.255,19.88,212800
2004-06-25,19.995,20.25,19.8725,91200
2004-07-02,19.75,20.125,19.695,67000
2004-07-09,18.475,19.79,18.305,95800
2004-07-16,18.79,18.8,17.97,114600
2004-07-23,20.005,20.45,18.675,129200
2004-07-30,19.795,20.47,19.0,434400
2004-08-06,19.54,20.1,19.5,233600
2004-08-13,18.71,19.75,18.71,89200
2004-08-20,19.605,19.955,18.66,131800
2004-08-27,19.71,19.925,19.675,16800
2004-09-03,19.7445,19.875,18.865,90600
2004-09-10,19.24,19.86,19.24,40400
2004-09-17,19.145,19.5,18.75,90000
2004-09-24,19.1455,19.5,18.885,52400
2004-10-01,19.025,19.4,18.88,61400
2004-10-08,19.24,19.625,19.1005,56200
2004-10-15,19.45,19.45,19.13,21200
2004-10-22,19.5,19.8595,19.25,43800
2004-10-29,19.955,20.225,19.235,104200
2004-11-05,20.05,20.3,19.735,154200
2004-11-12,22.5,22.6,20.12,154400
2004-11-19,21.395,23.465,21.095,119600
2004-11-26,20.34,21.045,20.0,47200
2004-12-03,20.55,20.765,19.7,457600
2004-12-10,20.69,20.69,20.05,30600
2004-12-17,22.0,22.75,20.55,65800
2004-12-24,22.5,22.5,22.2205,10600
2004-12-31,22.5,22.525,21.75,39200
2005-01-07,23.2,23.49,22.275,123600
2005-01-14,24.72,24.975,23.39,119200
2005-01-21,23.06,25.0,23.0425,142400
2005-01-28,23.425,23.7445,23.0,88000
2005-02-04,25.04,26.07,23.6245,201850
2005-02-11,25.3,25.684,25.0,83800
2005-02-18,25.0,25.7,24.5,93400
2005-02-25,24.65,25.29,23.75,49200
2005-03-04,27.38,29.74,25.6,301500
2005-03-11,27.0,28.5,27.0,81400
2005-03-18,27.44,28.1,25.02,112400
2005-03-25,25.55,28.0,25.51,86900
2005-04-01,23.49,26.19,22.5,92400
2005-04-08,23.5,27.0,23.0,121700
2005-04-15,23.05,25.0,23.0,58200
2005-04-22,24.24,24.77,23.0,76800
2005-04-29,26.5,27.15,24.0,98900
2005-05-06,26.85,27.49,26.0,112100
2005-05-13,26.79,28.4,26.24,105700
2005-05-20,26.2,27.97,26.2,40600
2005-05-27,26.84,28.25,26.0,41800
2005-06-03,28.01,28.302,26.22,59000
2005-06-10,28.42,28.7,26.61,53500
2005-06-17,28.18,28.7,27.85,56200
2005-06-24,28.15,28.65,27.63,59800
2005-07-01,28.25,28.5,27.8,64500
2005-07-08,28.42,28.7,26.14,29000
2005-07-15,28.81,29.0,27.52,34600
2005-07-22,33.0,33.89,29.0,87600
2005-07-29,30.5,33.69,30.2501,41600
2005-08-05,32.85,33.106,30.25,71100
2005-08-12,34.24,34.41,32.0,93600
2005-08-19,32.07,34.04,31.55,77900
2005-08-26,32.62,33.16,31.7601,28000
2005-09-02,36.08,37.15,31.86,428000
2005-09-09,35.51,36.9,35.1601,123500
2005-09-16,36.54,36.89,34.99,165100
2005-09-23,35.79,36.9,35.0,164900
2005-09-30,36.28,36.71,35.76,119900
2005-10-07,36.02,36.79,35.02,209300
2005-10-14,40.5,41.531,35.61,356500
2005-10-21,39.51,40.53,37.06,234100
2005-10-28,39.01,42.0,37.22,265700
2005-11-04,43.15,44.5,37.75,268500
2005-11-11,42.23,44.95,41.1,213000
2005-11-18,43.22,43.59,41.9,184900
2005-11-25,41.9,43.5,41.5,82200
2005-12-02,40.35,41.87,37.38,214400
2005-12-09,37.42,40.29,35.25,361400
2005-12-16,40.64,41.329,36.51,237800
2005-12-23,39.42,40.75,38.76,52200
2005-12-30,38.28,39.81,37.9,42100
2006-01-06,41.32,42.73,38.25,116500
2006-01-13,39.59,42.43,38.0,65200
2006-01-20,40.15,41.29,38.3,111800
2006-01-27,41.5,43.99,39.74,136200
2006-02-03,43.2,44.25,40.36,91800
2006-02-10,45.92,46.82,42.58,140800
2006-02-17,45.5399,48.0,41.5,227400
2006-02-24,45.96,46.1,45.05,90300
2006-03-03,45.9,46.86,45.1101,124400
2006-03-10,46.1,47.0,42.87,302900
2006-03-17,45.75,46.54,44.5,112300
2006-03-24,45.94,46.08,45.03,122500
2006-03-31,48.59,48.59,45.44,216500
2006-04-07,46.99,49.0,46.63,182000
2006-04-14,45.55,47.94,45.07,107500
2006-04-21,46.68,47.24,44.55,136000
2006-04-28,45.27,46.62,44.7,96000
2006-05-05,45.74,46.98,40.75,244900
2006-05-12,45.31,47.36,44.7,109900
2006-05-19,45.05,46.74,44.0,96100
2006-05-26,45.83,46.75,44.01,157300
2006-06-02,48.23,48.97,44.98,100100
2006-06-09,45.25,49.85,44.44,224100
2006-06-16,43.18,45.51,42.5,114000
2006-06-23,44.94,46.6,42.05,414900
2006-06-30,44.44,48.37,44.44,882500
2006-07-07,43.33,45.49,42.64,183200
2006-07-14,38.33,44.4,37.35,247800
2006-07-21,37.08,38.91,36.26,321700
2006-07-28,32.95,37.15,31.25,703600
2006-08-04,34.04,34.96,31.77,310300
2006-08-11,32.3,34.48,31.4,167900
2006-08-18,31.36,32.89,30.31,191300
2006-08-25,31.65,31.78,30.8,195200
2006-09-01,34.21,34.73,31.33,143200
2006-09-08,32.0,34.73,31.65,109200
2006-09-15,31.93,33.44,31.58,161600
2006-09-22,29.94,32.65,29.81,209200
2006-09-29,31.51,31.51,28.9,357700
2006-10-06,33.22,33.52,29.92,178800
2006-10-13,33.22,33.84,32.93,309000
2006-10-20,34.79,35.42,29.18,207400
2006-10-27,34.35,34.7,33.0,127600
2006-11-03,33.05,34.35,32.57,116100
2006-11-10,33.78,36.12,33.13,93100
2006-11-17,36.24,36.75,33.58,145800
2006-11-24,35.8,36.92,35.392,37600
2006-12-01,35.41,35.99,34.59,84900
2006-12-08,35.05,35.99,34.72,85400
2006-12-15,35.04,35.43,34.4,265000
2006-12-22,34.32,35.45,33.54,121000
2006-12-29,35.04,36.18,33.69,115600
2007-01-05,33.16,35.99,32.95,85400
2007-01-12,34.09,34.53,32.1,90900
2007-01-19,32.27,34.37,32.09,242300
2007-01-26,31.92,33.35,31.65,156700
2007-02-02,33.14,33.21,31.7,97900
2007-02-09,32.92,35.42,32.69,165400
2007-02-16,33.85,34.1,32.84,111800
2007-02-23,34.75,34.87,33.52,47000
2007-03-02,32.23,35.25,32.1,157000
2007-03-09,33.01,33.01,31.8801,106000
2007-03-16,33.7,34.57,31.93,212100
2007-03-23,35.41,36.11,33.57,133900
2007-03-30,34.95,35.4,33.99,86300
2007-04-06,37.38,38.74,34.63,142500
2007-04-13,37.7,37.83,35.69,120000
2007-04-20,35.88,38.12,34.8,104800
2007-04-27,37.89,38.13,35.7,116400
2007-05-04,37.18,38.19,35.33,213500
2007-05-11,36.35,37.45,35.26,234900
2007-05-18,36.52,36.79,36.15,216700
2007-05-25,36.62,38.21,36.47,154000
2007-06-01,38.16,39.36,36.47,95900
2007-06-08,35.76,39.45,35.05,186000
2007-06-15,34.17,36.22,33.52,290000
2007-06-22,36.9,37.03,33.79,879700
2007-06-29,37.52,38.08,36.7,256900
2007-07-06,34.8,37.73,34.32,199200
2007-07-13,36.69,36.79,34.2,283300
2007-07-20,37.85,38.11,34.972,193600
2007-07-27,33.41,37.7,32.04,268600
2007-08-03,34.53,35.52,33.67,212900
2007-08-10,35.72,43.15,34.3,516500
2007-08-17,35.25,36.76,34.0,277700
2007-08-24,34.54,35.2,33.87,150100
2007-08-31,35.12,36.0,33.99,139000
2007-09-07,34.25,35.6,34.09,69800
2007-09-14,35.0,35.26,33.72,231500
2007-09-21,33.9,36.2,32.81,212200
2007-09-28,33.5,34.84,32.64,123700
2007-10-05,36.84,37.16,33.3,137400
2007-10-12,36.16,37.16,36.16,92400
2007-10-19,33.96,36.95,33.54,87100
2007-10-26,38.33,39.33,33.57,105800
2007-11-02,38.51,39.88,37.0,95700
2007-11-09,37.8,38.45,36.05,74800
2007-11-16,37.71,37.98,35.25,64000
2007-11-23,36.47,37.77,35.4601,46200
2007-11-30,37.74,39.52,35.66,71900
2007-12-07,37.18,38.0,35.78,109000
2007-12-14,34.34,37.28,34.16,120800
