date,adjClose,adjHigh,adjLow,adjVolume
2006-09-22,17.0,17.14,14.74,8587700
2006-09-29,18.0,18.15,15.55,3051200
2006-10-06,17.64,18.25,17.16,768300
2006-10-13,18.59,19.39,17.58,1537700
2006-10-20,19.17,19.96,18.6,700100
2006-10-27,17.76,19.0,17.3,1055500
2006-11-03,18.75,19.22,16.25,1613700
2006-11-10,17.59,19.75,17.5,938100
2006-11-17,17.85,18.15,17.25,805800
2006-11-24,19.09,19.23,17.1,949800
2006-12-01,19.64,20.74,18.18,1052100
2006-12-08,20.16,20.47,19.16,570300
2006-12-15,19.65,20.48,19.02,1784800
2006-12-22,19.61,20.27,19.21,781000
2006-12-29,20.01,20.07,19.29,290100
2007-01-05,18.96,20.39,17.62,1031100
2007-01-12,19.84,19.87,18.43,791500
2007-01-19,18.99,19.95,18.85,755400
2007-01-26,19.8,19.95,18.89,763200
2007-02-02,17.98,20.85,17.67,2116600
2007-02-09,17.49,18.13,16.65,543300
2007-02-16,17.88,17.93,15.93,869100
2007-02-23,17.85,18.35,17.5001,324800
2007-03-02,16.85,17.92,15.0,1723600
2007-03-09,17.0,17.34,16.25,665100
2007-03-16,16.52,17.29,16.21,1487500
2007-03-23,16.07,17.5,15.57,8461600
2007-03-30,16.2,16.55,15.58,1244000
2007-04-06,16.98,16.99,15.81,1518900
2007-04-13,16.795,17.25,16.75,1335900
2007-04-20,17.29,17.83,16.64,1374500
2007-04-27,17.23,17.51,16.74,1373600
2007-05-04,16.12,17.4,15.8,1578500
2007-05-11,15.53,16.19,14.97,1565700
2007-05-18,16.94,18.23,15.47,5204300
2007-05-25,16.56,17.29,16.05,1435400
2007-06-01,16.81,17.0,16.27,1552600
2007-06-08,16.22,16.94,15.72,659300
2007-06-15,17.37,18.2699,16.17,6105300
2007-06-22,16.92,17.98,16.8,4445700
2007-06-29,17.27,17.57,16.43,1711500
2007-07-06,18.24,18.29,16.89,1626900
2007-07-13,17.92,18.57,17.26,1485700
2007-07-20,18.66,19.12,17.23,1716100
2007-07-27,17.2,18.96,16.99,1703600
2007-08-03,17.0,17.76,16.57,1828100
2007-08-10,17.93,18.35,16.86,2126900
2007-08-17,18.43,18.75,16.67,1594400
2007-08-24,18.92,19.04,17.81,678700
2007-08-31,19.05,19.7,18.1,1093700
2007-09-07,18.81,19.45,18.32,778900
2007-09-14,18.26,19.34,17.68,988800
2007-09-21,18.67,19.5,17.93,1361000
2007-09-28,18.52,19.0,17.8,1133300
2007-10-05,20.34,20.39,18.41,2037900
2007-10-12,19.55,21.0,18.82,1932200
