date,adjClose,adjHigh,adjLow,adjVolume
1994-10-28,19.5,20.5,18.75,4885200
1994-11-04,19.0,20.0,18.5,1692900
1994-11-11,18.5,19.25,18.25,552300
1994-11-18,19.75,20.5,18.5,426100
1994-11-25,17.75,19.88,17.75,395700
1994-12-02,17.25,18.13,17.25,316900
1994-12-09,16.25,18.0,16.0,147200
1994-12-16,16.75,17.25,16.13,206200
1994-12-23,19.25,19.75,16.75,145700
1994-12-30,19.5,20.5,19.5,141400
1995-01-06,19.0,19.88,19.0,133300
1995-01-13,18.5,19.5,18.5,118200
1995-01-20,18.63,19.25,18.0,124700
1995-01-27,17.75,18.75,17.5,50100
1995-02-03,18.5,18.5,17.75,123000
1995-02-10,19.25,19.75,18.0,123400
1995-02-17,19.0,19.75,19.0,48200
1995-02-24,19.5,19.75,19.0,290800
1995-03-03,19.06,19.5,19.0,84100
1995-03-10,16.0,19.13,16.0,134400
1995-03-17,15.0,16.25,14.75,605400
1995-03-24,14.75,15.5,14.0,377800
1995-03-31,16.25,16.5,15.0,330300
1995-04-07,16.25,16.75,16.25,24900
1995-04-14,15.75,16.75,15.5,113300
1995-04-21,15.5,15.75,15.5,140200
1995-04-28,15.25,15.75,14.38,741000
1995-05-05,14.25,15.0,14.25,24700
1995-05-12,15.0,15.25,14.25,110500
1995-05-19,15.0,15.75,15.0,52400
1995-05-26,15.0,15.25,14.75,135000
1995-06-02,14.5,15.25,14.5,9700
1995-06-09,13.0,15.0,10.63,562300
1995-06-16,12.38,13.25,11.25,247300
1995-06-23,11.75,13.0,11.0,798200
1995-06-30,13.0,13.0,11.75,177700
1995-07-07,13.0,13.38,12.5,126500
1995-07-14,14.0,15.0,13.0,114600
1995-07-21,14.0,14.5,14.0,51300
1995-07-28,14.13,14.5,13.75,14800
1995-08-04,13.5,14.25,13.5,39600
1995-08-11,13.5,14.0,13.5,138600
1995-08-18,13.0,14.0,13.0,50400
1995-08-25,13.5,14.0,13.0,180500
1995-09-01,16.0,16.75,13.5,58200
1995-09-08,16.75,17.25,16.0,183200
1995-09-15,15.75,17.25,15.75,177100
1995-09-22,16.25,16.25,15.75,3600
1995-09-29,14.69,16.0,14.5,32100
1995-10-06,14.88,14.88,14.25,1600
1995-10-13,14.25,14.25,13.56,137300
1995-10-20,13.5,14.88,13.0,19200
1995-10-27,13.0,13.5,12.75,117200
1995-11-03,13.0,13.25,12.75,71200
1995-11-10,13.75,13.75,12.75,89800
1995-11-17,11.88,13.75,11.5,427000
1995-11-24,13.5,13.75,12.0,80700
1995-12-01,13.0,13.25,12.5,163000
1995-12-08,12.25,13.0,12.25,59600
1995-12-15,12.25,12.5,12.0,345700
1995-12-22,11.5,12.25,11.25,89500
1995-12-29,12.0,12.0,11.25,30500
1996-01-05,11.75,11.75,11.25,37000
1996-01-12,11.75,12.5,11.5,162600
1996-01-19,12.0,12.0,11.5,33000
1996-01-26,12.25,12.25,11.25,35700
1996-02-02,13.5,13.5,12.0,40800
1996-02-09,14.5,14.75,13.75,36600
1996-02-16,13.75,14.25,13.0,165000
1996-02-23,14.625,15.0,13.25,523700
1996-03-01,15.0,15.0,14.5,215500
1996-03-08,16.0,16.25,14.5,341800
1996-03-15,17.0,17.0,15.75,457000
1996-03-22,16.375,16.75,16.25,660100
1996-03-29,16.625,17.25,16.25,244300
1996-04-05,16.25,17.0,16.25,78600
1996-04-12,16.0,16.5,16.0,76600
1996-04-19,17.5,18.0,16.0,141500
1996-04-26,17.75,17.88,17.0,75500
1996-05-03,17.0,17.5,17.0,33900
1996-05-10,17.0,17.25,16.62,103400
1996-05-17,17.0,17.0,16.75,183900
1996-05-24,17.0,17.0,16.25,13400
1996-05-31,15.0,16.5,15.0,379000
1996-06-07,15.5,16.25,15.0,179900
1996-06-14,16.25,16.25,15.75,25400
1996-06-21,15.75,16.25,15.5,20400
1996-06-28,17.0,17.375,15.5,97600
1996-07-05,18.125,18.5,17.0,42700
1996-07-12,16.125,18.0,16.0,294000
1996-07-19,15.25,15.5,15.0,137000
1996-07-26,18.0,18.75,17.75,103700
1996-08-02,18.75,19.5,18.75,28800
1996-08-09,20.875,20.875,18.75,54100
1996-08-16,20.5,21.0,20.25,78300
1996-08-23,18.25,18.75,18.25,10000
1996-08-30,18.125,18.625,17.5,256200
1996-09-06,18.5,19.0,18.0,21400
1996-09-13,19.0,19.0,18.25,7200
1996-09-20,18.5,19.25,18.25,35200
1996-09-27,19.25,19.25,18.5,85800
1996-10-04,19.25,19.25,18.5,65300
1996-10-11,19.25,19.25,18.5,14000
1996-10-18,17.75,18.0,17.5,256100
1996-10-25,16.25,16.75,15.0,75300
1996-11-01,16.0,16.5,16.0,301400
1996-11-08,15.75,16.25,15.75,18900
1996-11-15,15.75,16.25,15.75,15300
1996-11-22,15.25,15.75,14.81,23700
1996-11-29,15.25,15.75,15.25,6400
1996-12-06,14.25,15.75,14.0,27000
1996-12-13,14.25,15.0,14.0,37300
1996-12-20,14.12,15.0,13.0,54500
1996-12-27,14.25,14.62,13.88,17700
1997-01-03,15.0,15.0,13.75,26800
1997-01-10,15.75,15.88,14.75,98100
1997-01-17,15.0,16.0,14.63,65300
1997-01-24,11.88,15.0,11.25,269500
1997-01-31,13.75,14.0,11.75,529100
1997-02-07,13.5,13.75,13.25,75600
1997-02-14,15.5,15.75,13.25,174100
1997-02-21,14.38,16.25,14.25,74100
1997-02-28,14.13,14.75,13.5,57200
1997-03-07,14.13,14.25,13.75,293400
1997-03-14,13.75,14.25,13.5,73900
1997-03-21,13.5,13.75,13.25,39900
1997-03-28,14.38,14.5,13.25,29700
1997-04-04,14.0,14.25,14.0,19100
1997-04-11,15.25,15.75,14.0,80100
1997-04-18,15.0,16.5,15.0,85700
1997-04-25,14.75,15.5,14.25,41500
1997-05-02,14.5,14.5,13.75,69000
1997-05-09,14.75,15.25,14.25,85900
1997-05-16,14.5,15.25,14.5,20500
1997-05-23,14.75,15.0,14.5,18700
1997-05-30,15.13,15.25,14.5,33100
1997-06-06,18.13,19.13,14.88,109000
1997-06-13,17.06,18.25,16.75,217500
1997-06-20,17.38,18.13,17.0,65000
1997-06-27,16.25,17.5,15.25,166800
1997-07-04,18.5,19.13,15.88,131800
1997-07-11,18.5,19.13,18.25,53600
1997-07-18,17.75,20.0,17.0,132600
1997-07-25,19.38,20.25,17.0,85800
1997-08-01,18.75,20.25,18.5,72100
1997-08-08,18.0,19.0,18.0,16700
1997-08-15,17.75,18.75,17.75,73300
1997-08-22,17.0,18.0,17.0,21100
1997-08-29,17.0,17.0,16.25,111800
1997-09-05,16.63,17.0,16.5,35000
1997-09-12,16.88,17.13,16.5,114000
1997-09-19,17.0,17.5,16.5,130500
1997-09-26,17.5,18.25,16.88,138000
1997-10-03,18.5,18.5,17.34,144200
1997-10-10,19.25,19.75,17.75,179900
1997-10-17,18.25,20.13,16.0,325100
1997-10-24,17.38,18.5,17.25,221400
1997-10-31,16.5,17.13,15.25,61200
1997-11-07,16.69,17.13,16.13,26100
1997-11-14,16.0,17.0,15.69,2244300
1997-11-21,16.0,16.25,15.88,125900
1997-11-28,16.0,16.25,15.88,41300
1997-12-05,16.13,16.38,15.75,570000
1997-12-12,17.13,17.25,16.13,115500
1997-12-19,15.88,17.25,15.5,56500
1997-12-26,14.88,15.69,14.75,20800
1998-01-02,15.38,15.63,15.0,45700
1998-01-09,14.94,15.75,14.75,78100
1998-01-16,14.5,16.0,14.5,645400
1998-01-23,14.59,15.25,14.5,79100
1998-01-30,15.38,15.75,14.38,454700
1998-02-06,17.38,18.0,15.0,424000
1998-02-13,18.0,18.0,17.13,123800
1998-02-20,17.88,19.25,17.5,187800
1998-02-27,20.88,20.88,17.63,282800
1998-03-06,20.06,21.88,19.13,527200
1998-03-13,21.13,21.44,19.5,271300
1998-03-20,22.56,23.0,21.13,137700
1998-03-27,20.88,22.75,20.5,174400
1998-04-03,22.75,23.31,20.75,384800
1998-04-10,21.0,23.0,20.0,190200
1998-04-17,20.88,21.5,20.25,502600
1998-04-24,20.63,20.88,20.0,216500
1998-05-01,19.0,20.5,18.75,1779900
1998-05-08,17.69,19.19,17.63,725000
1998-05-15,17.06,18.0,17.0,479900
1998-05-22,17.25,18.13,16.75,310100
1998-05-29,16.38,17.38,15.88,196900
1998-06-05,17.56,17.88,16.75,377100
1998-06-12,18.0,18.25,17.5,431300
1998-06-19,15.75,18.0,15.38,247200
1998-06-26,17.0,18.38,15.0,500700
1998-07-03,18.25,19.75,17.63,345600
1998-07-10,20.0,20.5,18.0,345100
1998-07-17,18.75,20.25,18.38,141900
1998-07-24,16.75,19.0,16.0,74500
1998-07-31,16.5,17.88,16.13,233900
1998-08-07,14.38,17.0,13.25,470700
1998-08-14,16.13,16.69,14.5,210900
1998-08-21,15.5,16.38,14.88,230100
1998-08-28,12.63,15.81,12.0,153500
1998-09-04,11.06,13.0,10.75,374600
1998-09-11,10.75,11.75,10.44,336400
1998-09-18,10.13,11.13,9.188,613200
1998-09-25,11.56,12.0,9.688,193400
1998-10-02,10.75,12.0,10.75,269400
1998-10-09,9.875,11.13,9.25,161200
1998-10-16,11.56,11.63,9.75,576000
1998-10-23,14.44,15.44,11.56,285400
1998-10-30,15.13,15.75,14.25,202500
1998-11-06,15.84,17.0,14.88,123900
1998-11-13,16.0,16.13,14.38,179200
1998-11-20,17.5,17.75,15.81,265400
1998-11-27,17.25,18.56,17.25,140200
1998-12-04,17.88,18.38,16.5,189500
1998-12-11,18.38,19.5,18.0,480900
1998-12-18,17.69,18.13,16.25,104500
1998-12-25,18.5,19.25,17.75,162200
1999-01-01,17.88,18.63,17.63,112200
1999-01-08,19.88,20.0,17.13,217000
1999-01-15,20.0,20.63,19.0,129500
1999-01-22,19.75,20.38,19.5,48500
1999-01-29,19.0,20.38,18.75,70700
1999-02-05,17.06,19.44,17.0,42700
1999-02-12,17.0,18.0,14.88,106600
1999-02-19,16.5,17.63,16.0,54100
1999-02-26,18.13,18.13,16.38,49300
1999-03-05,17.56,20.0,17.0,47300
1999-03-12,16.94,17.75,16.63,135100
1999-03-19,14.63,16.88,14.5,189300
1999-03-26,14.94,15.13,12.38,175200
1999-04-02,13.56,15.13,13.56,104200
1999-04-09,12.41,14.25,12.25,67500
1999-04-16,13.69,14.0,12.0,588800
1999-04-23,15.13,15.13,13.88,76300
1999-04-30,13.75,15.13,13.5,275000
1999-05-07,13.5,13.94,12.38,378200
1999-05-14,13.06,13.88,12.75,518600
1999-05-21,12.94,13.38,12.75,138000
1999-05-28,12.0,13.0,11.75,537700
1999-06-04,12.0,12.5,11.13,723900
1999-06-11,12.63,12.75,11.75,267500
1999-06-18,14.06,14.5,12.25,392100
1999-06-25,15.06,15.38,14.0,249800
1999-07-02,16.97,17.13,15.06,263500
1999-07-09,18.25,18.5,16.94,299200
1999-07-16,17.38,18.94,17.06,274100
1999-07-23,16.88,17.31,15.5,206300
1999-07-30,17.63,18.38,16.38,115000
1999-08-06,17.88,18.0,17.5,503800
1999-08-13,17.5,17.88,17.38,151700
1999-08-20,16.88,17.38,16.0,85300
1999-08-27,16.88,17.13,16.75,101200
1999-09-03,17.13,17.13,16.63,217500
1999-09-10,16.88,17.25,16.13,85000
1999-09-17,17.0,17.13,16.38,162400
1999-09-24,16.0,17.06,15.5,206300
1999-10-01,15.63,16.25,15.0,288200
1999-10-08,15.44,16.13,15.25,103700
