date,adjClose,adjHigh,adjLow,adjVolume
2017-12-08,21.45,22.95,19.67,3907938
2017-12-15,19.04,21.61,18.5,2778930
2017-12-22,15.78,19.5011,15.75,2581391
2017-12-29,15.64,16.5,14.72,1331625
2018-01-05,16.8,17.63,15.9177,1877389
2018-01-12,17.16,17.25,14.96,1716178
2018-01-19,19.76,20.04,16.6515,1397871
2018-01-26,22.2,23.0,19.09,1510606
2018-02-02,20.39,24.02,19.58,1369211
2018-02-09,21.49,21.62,18.49,992010
2018-02-16,24.8,25.02,20.47,817149
2018-02-23,22.4,25.789,21.94,909761
2018-03-02,22.59,23.44,21.0,1367904
2018-03-09,20.37,22.99,20.15,1241015
2018-03-16,21.535,22.14,18.56,3648227
2018-03-23,21.34,22.48,20.45,1629260
2018-03-30,19.69,21.9445,19.57,1007746
2018-04-06,18.11,19.96,18.015,1085445
2018-04-13,19.2,19.84,18.11,636986
2018-04-20,19.77,20.0,18.28,605694
2018-04-27,18.73,19.834,18.22,501377
2018-05-04,18.98,19.19,18.11,693173
2018-05-11,19.44,20.79,18.2,1033915
2018-05-18,19.73,19.79,18.62,850766
2018-05-25,19.93,20.58,19.31,614197
2018-06-01,18.84,21.19,18.7,1133217
2018-06-08,17.96,22.99,17.57,3420939
2018-06-15,17.9,19.64,17.34,3588057
2018-06-22,17.94,18.18,16.86,2508370
2018-06-29,15.25,17.8754,15.19,1826898
2018-07-06,15.9,15.93,14.63,1283893
2018-07-13,14.49,16.2,14.45,1341305
2018-07-20,13.46,14.52,13.44,1185628
2018-07-27,12.63,14.41,12.35,3369940
2018-08-03,13.86,14.3,12.32,2397812
2018-08-10,15.08,16.11,13.681,1813360
2018-08-17,15.74,16.4,14.77,1463644
2018-08-24,16.43,16.68,15.355,1157113
2018-08-31,19.63,19.7731,16.58,2797936
2018-09-07,17.73,20.0,17.57,1732917
2018-09-14,19.5,19.89,17.72,3204705
2018-09-21,20.92,21.21,18.685,9217299
2018-09-28,21.74,21.89,20.3,2273927
2018-10-05,19.38,22.4,18.985,2405260
2018-10-12,16.94,19.55,16.49,2554979
2018-10-19,16.69,18.09,16.07,1660183
2018-10-26,14.15,16.905,13.78,2430481
2018-11-02,16.97,17.04,13.89,1521886
2018-11-09,16.68,17.749,16.27,937546
2018-11-16,19.23,19.25,16.0,1861814
2018-11-23,18.77,19.695,17.7721,823403
2018-11-30,19.17,19.92,18.3086,1685329
2018-12-07,19.57,19.93,17.21,1250819
2018-12-14,20.77,21.59,19.52,2255154
2018-12-21,18.41,21.5,18.25,5416249
2018-12-28,19.87,20.335,18.11,1616895
2019-01-04,20.31,20.77,18.52,1754251
2019-01-11,20.89,21.16,19.06,1926983
2019-01-18,21.55,21.84,20.15,1407527
2019-01-25,21.85,22.0,20.8,936386
2019-02-01,18.66,21.94,18.35,1932369
2019-02-08,18.13,19.3,17.73,1058444
2019-02-15,20.97,21.24,17.955,1379488
2019-02-22,21.48,21.88,20.3605,1360702
2019-03-01,22.88,23.1,21.11,2030694
2019-03-08,20.61,23.28,20.03,1384084
2019-03-15,24.42,25.05,20.62,3231909
2019-03-22,19.45,24.79,19.335,3357212
2019-03-29,23.22,23.43,19.2941,1876307
2019-04-05,27.09,27.46,23.22,2625696
2019-04-12,27.89,28.865,26.31,2309045
2019-04-19,25.17,28.06,24.76,1404925
2019-04-26,24.71,25.18,23.76,2077171
2019-05-03,24.63,24.945,23.62,1842386
2019-05-10,22.31,24.94,21.66,1507539
2019-05-17,20.72,22.28,20.12,2433634
2019-05-24,20.73,21.48,20.22,1637232
2019-05-31,19.07,20.99,19.02,1088045
2019-06-07,19.05,19.57,18.28,1380889
2019-06-14,18.71,19.48,18.49,1509840
2019-06-21,20.11,20.77,18.81,2332196
2019-06-28,20.76,21.37,19.57,2504015
2019-07-05,20.76,22.0,20.42,1029379
2019-07-12,20.01,21.15,19.75,1268871
2019-07-19,20.82,21.5,19.71,1377507
2019-07-26,21.18,21.61,19.42,1180642
2019-08-02,19.02,22.26,18.965,1506738
2019-08-09,19.76,20.09,18.11,1954888
2019-08-16,18.16,20.04,17.42,1485375
2019-08-23,17.79,19.71,17.7,1029757
2019-08-30,18.0,18.97,17.64,960589
2019-09-06,17.56,18.35,16.35,950717
2019-09-13,18.82,19.8,17.3688,1315440
2019-09-20,18.1,19.8,17.65,2487288
2019-09-27,15.84,18.16,15.7,1895213
2019-10-04,15.48,15.9,14.72,1604710
2019-10-11,15.38,15.86,14.627,1386730
2019-10-18,14.4,15.63,14.24,1266652
2019-10-25,16.2,16.435,14.4,3119063
2019-11-01,16.05,16.29,15.27,1147932
2019-11-08,14.82,17.14,14.6,1984257
2019-11-15,15.14,15.47,14.5142,1086490
2019-11-22,17.89,18.01,14.77,2138483
2019-11-29,17.79,18.22,17.11,1115404
2019-12-06,18.26,18.57,16.85,1511525
2019-12-13,18.9,19.27,17.88,1094455
2019-12-20,19.92,20.09,18.055,1782244
2019-12-27,18.28,20.17,18.14,1112666
2020-01-03,16.15,18.26,16.02,1077283
2020-01-10,18.69,19.61,16.03,1982527
2020-01-17,22.36,23.21,17.5,5426443
