date,adjClose,adjHigh,adjLow,adjVolume
2013-03-22,16.81,17.85,14.31,1838800
2013-03-29,18.2,18.5,16.58,142700
2013-04-05,20.34,21.809,18.26,375600
2013-04-12,19.68,22.17,19.05,341300
2013-04-19,20.13,21.8,19.5,543800
2013-04-26,20.62,22.4,18.0,742500
2013-05-03,19.37,21.29,18.771,327700
2013-05-10,19.9,20.4,19.32,98800
2013-05-17,20.88,21.86,19.426,169100
2013-05-24,20.0,21.5,19.7,92900
2013-05-31,19.48,20.19,19.15,171000
2013-06-07,18.8,19.95,17.0,96900
2013-06-14,16.87,19.0,16.61,94300
2013-06-21,17.6,18.4,16.18,333100
2013-06-28,17.71,18.615,17.16,728800
2013-07-05,17.38,18.24,17.05,309200
2013-07-12,17.8,19.23,17.46,581300
2013-07-19,17.65,19.02,17.34,390100
2013-07-26,17.37,18.09,17.01,448400
2013-08-02,18.93,19.47,16.85,639900
2013-08-09,17.67,19.22,17.52,237300
2013-08-16,18.58,19.7,18.0,332000
2013-08-23,18.5,19.44,18.211,246900
2013-08-30,18.58,19.19,18.25,170400
2013-09-06,18.61,19.23,18.51,276500
2013-09-13,19.09,19.78,18.55,309400
2013-09-20,25.0,26.39,18.25,1497900
2013-09-27,23.01,25.25,22.61,685700
2013-10-04,21.84,24.29,21.46,766600
2013-10-11,20.62,22.7,19.9,405800
2013-10-18,20.3,21.66,18.31,1273200
2013-10-25,20.0,21.2699,19.65,350300
2013-11-01,20.15,20.43,19.63,280600
2013-11-08,20.01,20.529,18.7925,481700
2013-11-15,20.25,20.79,19.68,230300
2013-11-22,23.4,23.799,20.5,1001000
2013-11-29,27.03,27.63,23.44,1148100
2013-12-06,27.72,28.7,27.07,940000
2013-12-13,37.16,38.48,27.7102,3098900
2013-12-20,27.45,37.15,27.35,1971400
2013-12-27,28.06,28.93,27.77,268500
2014-01-03,28.86,29.11,27.0,710400
2014-01-10,32.3,32.85,28.65,755200
2014-01-17,33.41,34.3483,31.3,837900
2014-01-24,30.03,33.75,29.76,615500
2014-01-31,36.58,38.218,27.6716,2387700
2014-02-07,36.61,39.76,34.41,1620500
2014-02-14,38.58,40.447,36.728,1285900
2014-02-21,39.95,41.1,37.95,1039000
2014-02-28,36.84,40.1395,36.0,1898600
2014-03-07,36.8,40.04,36.0,1875600
2014-03-14,40.85,41.24,36.86,1752000
2014-03-21,40.27,43.73,38.57,1608200
2014-03-28,38.52,40.95,37.0001,1769800
2014-04-04,34.47,40.865,34.46,1691400
2014-04-11,33.47,36.89,31.2197,1556800
2014-04-18,33.39,35.5,31.73,1248600
2014-04-25,35.62,37.8,33.3,1134900
2014-05-02,35.55,38.24,33.6775,572600
2014-05-09,34.7,36.69,33.5,651500
2014-05-16,36.45,37.9,34.0,716300
2014-05-23,39.47,40.5,35.7901,638800
2014-05-30,37.98,40.15,37.42,633700
2014-06-06,39.17,40.24,36.52,553600
2014-06-13,39.18,41.75,38.26,1121300
2014-06-20,46.12,46.443,39.0,1401000
2014-06-27,44.91,46.105,42.395,2163200
2014-07-04,42.75,45.37,41.52,863900
2014-07-11,40.58,42.9899,39.2,1061700
2014-07-18,38.32,40.88,37.38,735600
2014-07-25,39.24,39.87,37.18,531600
2014-08-01,38.82,39.77,37.07,674300
2014-08-08,37.4,39.55,36.5,685700
2014-08-15,39.79,40.6,37.63,1409700
2014-08-22,39.54,40.68,38.73,873200
2014-08-29,41.96,44.5,39.45,1494400
2014-09-05,41.85,42.77,39.86,1002000
2014-09-12,40.58,43.457,40.0,2016500
2014-09-19,39.44,40.72,39.0,1383500
2014-09-26,39.47,40.91,37.9401,940067
2014-10-03,41.795,43.85,38.84,1454835
2014-10-10,42.23,43.25,40.3,1263387
2014-10-17,43.58,44.35,40.96,1486399
2014-10-24,45.17,48.49,41.26,2351951
2014-10-31,43.0,46.4799,42.62,1750747
2014-11-07,43.33,45.45,41.61,1630341
2014-11-14,44.24,44.8018,42.75,1144177
2014-11-21,43.5,44.97,43.18,977787
2014-11-28,46.94,49.09,40.3,2183201
2014-12-05,47.4,47.63,44.4,1487514
2014-12-12,43.23,48.48,42.99,1658516
2014-12-19,46.62,47.17,40.56,3256455
2014-12-26,51.67,51.99,47.0701,2764007
2015-01-02,50.45,52.58,49.52,935155
2015-01-09,50.11,51.6,47.4201,1830391
2015-01-16,50.23,50.92,47.62,1665833
2015-01-23,44.92,50.5899,43.58,1320437
