date,adjClose,adjHigh,adjLow,adjVolume
2013-01-25,19.5,19.75,12.0,199100
2013-02-01,21.6,22.1,19.0,1273100
2013-02-08,21.25,23.8,20.67,1674300
2013-02-15,20.87,21.61,20.47,1415800
2013-02-22,21.0,21.36,20.42,507800
2013-03-01,19.79,21.36,19.38,645100
2013-03-08,20.36,20.37,18.55,914600
2013-03-15,20.39,20.62,19.24,728800
2013-03-22,20.96,21.0,20.05,509000
2013-03-29,21.0,21.11,20.51,1695300
2013-04-05,21.59,21.71,20.85,1742500
2013-04-12,24.91,25.22,21.66,790200
2013-04-19,23.08,25.09,22.69,368900
2013-04-26,22.79,23.4,22.45,596600
2013-05-03,24.24,24.815,22.66,407500
2013-05-10,25.02,25.07,23.971,205900
2013-05-17,24.92,27.722,24.38,334600
2013-05-24,25.01,26.4,24.4001,339700
2013-05-31,25.76,26.28,24.73,120000
2013-06-07,25.59,27.0,24.1,582700
2013-06-14,27.67,28.03,24.88,293400
2013-06-21,25.99,27.75,25.58,458200
2013-06-28,26.15,27.93,25.36,1865200
2013-07-05,24.91,26.13,24.39,975700
2013-07-12,26.13,26.44,24.68,582100
2013-07-19,25.24,26.26,25.0,336800
2013-07-26,24.61,25.74,24.22,224100
2013-08-02,24.5,24.75,24.17,352100
2013-08-09,26.17,26.3,24.3969,190700
2013-08-16,25.52,26.85,25.0,260300
2013-08-23,25.48,26.0,25.15,166600
2013-08-30,24.83,25.97,24.72,276100
2013-09-06,25.81,25.96,24.2,647800
2013-09-13,26.42,26.83,25.35,230300
2013-09-20,27.42,27.5,25.76,291700
2013-09-27,27.3,27.95,26.8,396400
2013-10-04,27.14,27.82,26.59,448800
2013-10-11,28.7,28.89,26.75,389200
2013-10-18,31.07,31.27,28.3125,1021800
2013-10-25,31.5,32.82,30.96,779600
2013-11-01,30.79,33.2,30.25,582600
2013-11-08,31.28,31.646,30.21,471900
2013-11-15,31.24,31.8,30.86,254400
2013-11-22,31.26,31.8,30.731,291300
2013-11-29,32.63,33.2599,31.07,358500
2013-12-06,34.06,34.637,32.17,744200
2013-12-13,31.9,34.4,31.48,942600
2013-12-20,31.53,32.21,30.95,554500
2013-12-27,30.85,32.56,30.03,270500
2014-01-03,31.65,31.79,30.255,243300
2014-01-10,31.34,31.99,30.37,542500
2014-01-17,30.56,31.56,30.01,349100
2014-01-24,30.14,31.12,29.965,478400
2014-01-31,29.29,30.38,28.0,517700
2014-02-07,28.01,29.6,27.53,459300
2014-02-14,27.67,28.4,27.54,478000
2014-02-21,28.31,28.55,27.152,250700
2014-02-28,28.25,28.9,27.58,405000
2014-03-07,29.47,30.0,26.865,946800
2014-03-14,29.6,29.96,28.71,416200
2014-03-21,30.03,30.2487,28.58,586600
2014-03-28,29.53,30.35,28.5,456800
2014-04-04,30.15,30.84,28.8,697200
2014-04-11,28.41,30.69,28.29,452300
2014-04-18,28.46,28.83,27.08,320300
2014-04-25,28.14,29.0,27.85,335700
2014-05-02,28.28,29.172,27.54,448500
2014-05-09,29.47,29.61,27.95,410900
2014-05-16,29.86,30.38,29.14,418100
2014-05-23,29.72,30.18,28.95,285100
2014-05-30,29.22,30.22,28.89,248600
2014-06-06,29.36,29.52,28.25,308400
2014-06-13,28.37,29.69,28.12,374300
2014-06-20,29.53,29.75,28.23,303400
2014-06-27,28.79,29.59,28.255,232400
2014-07-04,29.32,29.64,28.37,278400
2014-07-11,29.14,29.96,29.01,523200
2014-07-18,28.36,29.38,28.02,267400
2014-07-25,28.15,28.565,27.78,781200
2014-08-01,26.55,28.38,26.35,677600
2014-08-08,25.67,26.58,25.0101,989800
2014-08-15,26.44,27.27,25.44,595600
2014-08-22,25.81,26.92,25.69,397500
2014-08-29,25.61,26.22,25.33,354100
2014-09-05,25.26,26.09,24.74,520600
2014-09-12,24.73,25.7,24.31,369700
2014-09-19,23.42,24.68,23.27,413400
2014-09-26,22.83,23.38,22.18,481584
2014-10-03,21.99,22.81,21.08,636966
2014-10-10,20.88,22.3125,20.794,497568
2014-10-17,21.07,21.66,19.53,757498
2014-10-24,21.68,21.82,20.78,881021
2014-10-31,23.39,23.73,20.93,547910
2014-11-07,24.27,24.33,21.07,1212745
2014-11-14,25.04,25.39,24.13,995178
2014-11-21,23.9,25.03,23.374,541209
2014-11-28,21.05,24.415,21.05,479169
2014-12-05,21.52,21.86,19.96,650461
2014-12-12,20.1,21.3733,19.67,634517
2014-12-19,21.91,22.24,20.04,1314499
2014-12-26,21.29,22.03,20.77,350661
2015-01-02,21.48,21.7,20.79,272789
2015-01-09,20.37,21.49,19.78,754038
2015-01-16,21.9,21.95,19.585,460812
2015-01-23,23.55,23.77,21.067,717797
2015-01-30,22.52,24.15,22.22,469448
2015-02-06,23.09,24.35,22.42,417519
2015-02-13,23.1,23.15,21.73,639541
2015-02-20,22.55,23.07,21.9,248871
2015-02-27,22.06,22.88,21.86,350926
2015-03-06,22.0,23.04,21.55,415101
2015-03-13,20.72,22.47,19.34,1190785
2015-03-20,21.48,21.59,20.0,713284
2015-03-27,21.25,21.895,20.785,467741
2015-04-03,21.03,21.61,20.715,528612
2015-04-10,22.78,23.0,20.89,683164
2015-04-17,23.75,24.6,22.35,683275
2015-04-24,22.15,24.25,21.87,297669
2015-05-01,22.18,22.94,21.61,369217
2015-05-08,22.04,22.68,20.72,413951
2015-05-15,22.04,22.245,21.42,252587
2015-05-22,21.27,22.48,21.06,528516
2015-05-29,21.0,21.17,20.72,303598
2015-06-05,20.41,21.55,19.61,464874
2015-06-12,20.05,20.89,19.76,253173
2015-06-19,19.4,20.15,19.05,527830
2015-06-26,20.7,20.88,19.37,540067
2015-07-03,20.16,20.84,19.665,482381
2015-07-10,19.47,20.43,19.34,519664
2015-07-17,18.93,19.845,18.88,356568
2015-07-24,17.07,18.9,16.9875,465242
2015-07-31,16.93,17.94,16.74,590577
2015-08-07,17.83,19.13,15.49,954757
2015-08-14,18.2,18.64,17.77,323104
2015-08-21,16.19,18.51,16.11,559223
2015-08-28,16.15,16.38,14.27,806002
2015-09-04,15.93,17.03,15.8101,702930
2015-09-11,15.75,16.55,15.36,488591
2015-09-18,16.52,17.33,15.52,1567102
2015-09-25,16.24,17.41,15.76,1159299
2015-10-02,15.21,16.09,14.17,1302437
2015-10-09,18.14,18.345,15.23,879112
2015-10-16,18.26,18.49,17.36,700650
2015-10-23,14.81,18.24,14.24,1094417
2015-10-30,13.91,14.7,12.87,1009814
2015-11-06,11.61,14.11,11.25,973427
2015-11-13,11.43,12.045,10.94,848775
2015-11-20,11.22,11.67,10.98,712952
2015-11-27,11.46,11.71,11.16,300474
2015-12-04,11.05,12.39,11.02,535124
2015-12-11,10.0,11.01,9.83,620818
2015-12-18,9.82,10.0,9.09,1643567
2015-12-25,11.64,12.05,9.63,664685
2016-01-01,11.15,11.64,10.94,317898
2016-01-08,10.02,11.32,9.9,591654
2016-01-15,8.84,10.06,8.14,836922
2016-01-22,8.79,8.98,7.71,635270
