date,adjClose,adjHigh,adjLow,adjVolume
2013-11-15,11.01,11.4,10.75,4309400
2013-11-22,11.02,11.15,10.85,494500
2013-11-29,11.1,11.1,10.95,332600
2013-12-06,10.9,11.1,10.76,970100
2013-12-13,10.45,11.0,10.35,244500
2013-12-20,10.01,10.5,9.53,596800
2013-12-27,11.09,11.21,9.94,164900
2014-01-03,11.04,11.25,10.9,300100
2014-01-10,10.84,11.1,10.7,142300
2014-01-17,10.36,11.0,10.07,123800
2014-01-24,9.27,10.8,9.25,255000
2014-01-31,9.4,9.93,8.6,211900
2014-02-07,9.9,9.96,8.83,295100
2014-02-14,10.26,11.0,9.46,390400
2014-02-21,10.3,10.5,9.91,542800
2014-02-28,13.03,13.17,10.26,660700
2014-03-07,14.24,15.52,12.87,809900
2014-03-14,15.03,15.45,13.79,765900
2014-03-21,14.67,15.4,14.45,369900
2014-03-28,14.66,15.17,13.33,323600
2014-04-04,15.86,16.34,14.24,547400
2014-04-11,14.9,15.88,14.64,295500
2014-04-18,16.15,16.775,14.75,236500
2014-04-25,15.77,16.97,15.41,285300
2014-05-02,16.4,16.79,15.51,235900
2014-05-09,15.36,16.57,14.7,250900
2014-05-16,15.82,16.38,14.9,260600
2014-05-23,16.04,16.47,15.09,297800
2014-05-30,15.99,16.4,15.2701,270400
2014-06-06,16.02,16.2,15.75,248000
2014-06-13,15.71,16.98,15.15,332800
2014-06-20,15.91,16.64,15.5,608200
2014-06-27,15.16,15.97,15.01,2031600
2014-07-04,15.4,16.14,14.59,675000
2014-07-11,14.5,16.23,13.6,5298000
2014-07-18,15.23,15.5,14.5,1619300
2014-07-25,15.21,15.57,14.54,839800
2014-08-01,13.65,15.39,13.54,995000
2014-08-08,14.88,15.25,13.28,1229300
2014-08-15,15.19,15.32,14.542,451100
2014-08-22,16.22,16.305,15.03,1383900
2014-08-29,16.25,16.5,16.0,472300
2014-09-05,16.52,16.65,16.12,325900
2014-09-12,15.54,16.6,15.26,462400
