date,adjClose,adjHigh,adjLow,adjVolume
2012-07-20,27.27,29.43,25.0,11429300
2012-07-27,29.65,29.96,26.77,1524400
2012-08-03,29.79,30.72,28.7,1112900
2012-08-10,32.71,33.97,29.685,1573000
2012-08-17,31.26,33.49,30.56,1871500
2012-08-24,30.9,31.64,29.621,1442600
2012-08-31,32.14,32.74,30.87,897100
2012-09-07,35.38,35.98,31.72,1019700
2012-09-14,36.0,36.5,31.2,3984800
2012-09-21,35.9,36.64,33.79,1305400
2012-09-28,39.08,39.49,35.44,4668300
2012-10-05,36.8,40.0,36.5,1431500
2012-10-12,34.18,36.53,34.1,2052600
2012-10-19,35.04,36.5,34.15,1022500
2012-10-26,33.4,35.19,32.88,1254800
2012-11-02,32.86,33.845,32.76,389900
2012-11-09,28.55,33.28,28.37,1345500
2012-11-16,29.01,30.22,27.8,967400
2012-11-23,28.66,30.13,28.54,463600
2012-11-30,37.15,37.852,27.73,3392100
2012-12-07,34.49,37.56,33.64,1381000
2012-12-14,34.55,35.309,33.401,619600
2012-12-21,33.3,35.0999,32.53,812800
2012-12-28,31.98,33.31,31.86,361700
2013-01-04,33.09,34.22,31.67,789900
2013-01-11,32.0,33.9898,31.51,1300600
2013-01-18,34.99,36.36,30.822,3014400
2013-01-25,34.5,35.63,33.75,1538800
2013-02-01,37.1,37.37,33.91,9688400
2013-02-08,38.35,38.78,36.26,2128700
2013-02-15,37.16,38.42,36.88,1740800
2013-02-22,38.06,38.67,36.82,2076800
2013-03-01,41.0,41.15,37.81,3313400
2013-03-08,42.04,42.78,40.4045,2465700
2013-03-15,41.07,42.2,40.53,1545100
2013-03-22,41.57,42.67,40.39,1223000
2013-03-29,37.89,43.04,35.7501,4781500
2013-04-05,35.44,38.88,35.13,2834700
2013-04-12,36.94,37.38,34.62,2275200
2013-04-19,36.51,37.32,35.12,1920500
2013-04-26,37.21,37.83,35.84,1294000
2013-05-03,36.25,37.49,35.12,3147000
2013-05-10,38.42,38.64,36.15,1422000
2013-05-17,39.4,40.68,38.0201,1628700
2013-05-24,37.58,39.9,37.55,738100
2013-05-31,38.166,39.12,36.57,1203300
2013-06-07,36.24,38.85,35.99,1548100
2013-06-14,36.98,37.91,35.2,2931600
2013-06-21,37.74,40.36,37.045,2693900
2013-06-28,36.84,38.27,35.43,11221900
2013-07-05,36.63,37.63,35.9501,2474300
2013-07-12,39.22,39.43,35.8,2309900
2013-07-19,40.88,41.02,38.62,2125800
2013-07-26,39.97,42.37,39.43,1534300
2013-08-02,39.27,41.59,38.8,2824000
2013-08-09,37.36,39.56,36.72,1736700
2013-08-16,37.35,38.28,36.67,1734100
2013-08-23,37.75,38.12,36.91,1469100
2013-08-30,36.75,38.23,36.4,1949000
2013-09-06,39.49,40.19,36.71,2113000
2013-09-13,47.086,49.68,39.4,12388700
2013-09-20,43.66,49.2,43.58,9881900
2013-09-27,44.54,45.43,42.421,5070300
2013-10-04,47.36,48.95,43.42,5060600
2013-10-11,45.44,47.289,43.26,3080400
2013-10-18,49.4,49.938,44.37,3841700
2013-10-25,48.82,50.3899,47.2,2718300
2013-11-01,50.18,51.0,47.13,3119600
2013-11-08,50.85,53.65,50.0,4195900
2013-11-15,54.33,54.77,50.36,2773500
2013-11-22,52.67,55.2775,51.08,2929600
2013-11-29,53.16,54.69,52.43,2060300
2013-12-06,45.29,53.5799,45.0,11181500
2013-12-13,43.45,45.87,41.65,6441100
2013-12-20,42.725,44.0,41.9368,3862200
2013-12-27,42.65,44.8209,42.18,3720000
2014-01-03,43.63,43.81,42.22,2569200
2014-01-10,40.46,45.14,39.89,8773200
2014-01-17,38.04,40.47,37.77,7653700
2014-01-24,36.93,38.58,35.93,5316300
2014-01-31,36.65,37.765,35.58,5125700
2014-02-07,36.01,37.48,33.94,5258200
2014-02-14,36.39,37.5,35.17,4890100
2014-02-21,35.04,36.7,34.77,2536100
2014-02-28,38.54,39.7,35.01,4719500
2014-03-07,38.6,40.25,37.34,4311900
2014-03-14,36.79,39.0,36.61,2588700
2014-03-21,38.59,39.21,36.594,3709600
2014-03-28,42.95,44.35,37.53,12600600
2014-04-04,40.32,43.47,39.63,9723100
2014-04-11,38.34,40.6098,36.63,6507700
2014-04-18,38.27,39.37,37.27,3103000
2014-04-25,38.73,39.8,37.68,2836100
2014-05-02,39.82,41.05,38.16,3777200
2014-05-09,37.71,40.02,37.14,2722300
2014-05-16,37.64,39.08,36.0,3200900
2014-05-23,36.4,38.339,35.57,3261900
2014-05-30,36.21,36.97,34.62,3537200
2014-06-06,35.14,37.64,34.34,9040100
