date,adjClose,adjHigh,adjLow,adjVolume
2002-09-13,19.5,21.0,12.0,1300
2002-09-20,18.78,19.5,18.0,1000
2002-09-27,18.96,24.0,17.46,4700
2002-10-04,18.54,24.0,17.46,6400
2002-10-11,18.54,19.5,16.2,3200
2002-10-18,18.3,19.5,17.04,3600
2002-10-25,17.7,18.54,17.46,3700
2002-11-01,18.12,18.12,16.5,3000
2002-11-08,18.18,18.18,16.5,6500
2002-11-15,18.0,18.18,17.82,9700
2002-11-22,18.0,18.54,17.46,5400
2002-11-29,18.0,18.18,18.0,1000
2002-12-06,18.0,18.12,17.04,2300
2002-12-13,18.3,18.3,18.0,1500
2002-12-20,18.0,19.38,17.7,3700
2002-12-27,17.7,18.0,17.46,4900
2003-01-03,17.88,17.88,16.5,3100
2003-01-10,16.2,16.5,14.46,1800
2003-01-17,17.04,17.88,15.54,2900
2003-01-24,17.7,17.7,15.96,700
2003-01-31,16.5,17.7,15.96,2600
2003-02-07,16.2,16.68,16.2,8600
2003-02-14,17.64,17.88,15.54,7100
2003-02-21,17.04,17.64,16.8,6300
2003-02-28,17.7,18.3,16.5,20000
2003-03-07,18.3,18.84,17.46,13000
2003-03-14,17.82,18.84,17.46,11800
2003-03-21,18.18,18.18,17.46,3700
2003-03-28,18.3,18.3,17.7,7500
2003-04-04,18.3,19.2,16.5,13600
2003-04-11,17.28,18.3,16.86,6900
2003-04-18,16.2,17.28,16.2,9000
2003-04-25,15.54,16.5,15.0,18600
2003-05-02,15.3,16.8,15.0,10100
2003-05-09,16.8,17.04,15.54,6100
2003-05-16,16.2,17.04,15.96,5100
2003-05-23,15.66,16.14,15.0,2900
2003-05-30,15.54,15.78,13.8,7500
2003-06-06,15.96,16.8,15.0,13500
2003-06-13,24.0,29.9999999999999,15.96,28300
2003-06-20,23.46,27.9599999999999,21.54,26000
2003-06-27,26.6999999999999,27.2999999999999,24.0,16400
2003-07-04,27.8999999999999,28.7999999999999,26.0999999999999,19100
2003-07-11,25.7999999999999,28.4399999999999,25.7999999999999,4600
2003-07-18,25.5,26.4,24.0,9700
2003-07-25,25.5,26.4,24.6,18400
2003-08-01,26.0399999999999,26.0399999999999,24.0,16600
2003-08-08,24.6,26.0399999999999,22.8,18200
2003-08-15,25.5,26.0399999999999,23.7,3300
2003-08-22,24.0,25.7999999999999,23.7,8900
2003-08-29,24.6,25.5,24.0,2400
2003-09-05,24.6,25.2,21.6,13200
2003-09-12,32.9999999999999,38.2799999999999,24.6,45100
2003-09-19,32.9999999999999,35.3399999999999,31.4399999999999,17400
2003-09-26,35.9999999999999,37.1999999999999,34.1999999999999,17300
2003-10-03,27.3599999999999,37.7999999999999,26.16,40700
2003-10-10,26.9999999999999,27.3599999999999,26.4,12100
2003-10-17,26.4,27.2399999999999,26.4,7800
2003-10-24,22.5,26.9999999999999,21.18,24100
2003-10-31,22.32,23.7,21.6,6200
2003-11-07,22.8,22.8,20.28,14700
2003-11-14,21.0,24.0,20.94,61000
2003-11-21,21.3,21.96,18.6,59200
2003-11-28,22.2,22.8,21.48,9900
2003-12-05,21.9,22.5,21.0,20800
2003-12-12,22.74,23.34,21.6,57500
2003-12-19,23.04,25.0199999999999,22.14,26400
2003-12-26,23.4,24.42,22.98,5900
2004-01-02,23.4,25.2,23.1,22300
2004-01-09,23.1,24.3599999999999,22.5,28000
2004-01-16,24.9,26.9999999999999,23.58,29300
2004-01-23,25.5599999999999,26.3399999999999,25.44,17100
2004-01-30,24.54,26.4,23.7,19700
2004-02-06,24.0,25.2,23.7,21600
2004-02-13,26.2199999999999,26.2199999999999,23.7,13500
2004-02-20,31.0199999999999,35.6399999999999,26.8199999999999,69700
2004-02-27,26.9999999999999,32.8799999999999,24.12,40100
2004-03-05,29.9999999999999,31.4999999999999,26.9999999999999,38200
