date,adjClose,adjHigh,adjLow,adjVolume
2006-07-07,7.3,7.3,7.25,6000
2006-07-14,7.28,7.28,7.28,52400
2006-07-21,7.22,7.27,7.22,1200
2006-07-28,7.22,7.22,7.22,200
2006-08-04,7.22,7.24,7.22,45000
2006-08-11,7.25,7.25,7.22,38300
2006-08-18,7.26,7.3,7.25,12000
2006-08-25,7.25,7.26,7.25,4000
2006-09-01,7.25,7.27,7.25,181100
2006-09-08,7.3,7.3,7.2399,16000
2006-09-15,7.36,7.45,7.3,234400
2006-09-22,7.34,7.36,7.32,309300
2006-09-29,7.35,7.35,7.32,14700
2006-10-06,7.31,7.35,7.31,217900
2006-10-13,7.25,7.33,7.25,28700
2006-10-20,7.27,7.28,7.24,108400
2006-10-27,7.25,7.2999,7.25,1000
2006-11-03,7.34,7.35,7.25,12000
2006-11-10,7.34,7.35,7.34,8600
2006-11-17,7.35,7.36,7.35,3700
2006-11-24,7.31,7.35,7.25,59400
2006-12-01,7.3,7.35,7.22,51000
2006-12-08,7.3,7.33,7.29,33000
2006-12-15,7.32,7.46,7.3,128800
2006-12-22,7.6,7.6,7.33,153800
2006-12-29,7.7,7.72,7.7,64100
2007-01-05,7.55,7.6,7.55,1800
2007-01-12,7.6,7.6001,7.46,12000
2007-01-19,7.6899,7.7177,7.6,7100
2007-01-26,7.73,7.73,7.61,19000
2007-02-02,7.64,7.7,7.61,178700
2007-02-09,7.75,7.75,7.64,512700
2007-02-16,7.75,7.95,7.7,1829200
2007-02-23,7.9,7.9,7.7,78500
2007-03-02,7.9,7.9,7.8,229400
2007-03-09,7.7,7.85,7.6,63200
2007-03-16,7.68,7.7,7.6,90400
2007-03-23,7.63,7.65,7.53,19500
2007-03-30,7.58,7.68,7.499,23300
2007-04-06,7.84,7.94,7.6,317300
2007-04-13,7.92,7.95,7.79,393300
2007-04-20,7.89,7.95,7.84,109700
2007-04-27,7.85,7.89,7.75,39600
2007-05-04,7.85,7.89,7.78,20200
2007-05-11,7.8,7.8,7.65,65400
2007-05-18,7.62,7.78,7.62,17000
2007-05-25,7.78,7.85,7.56,19600
2007-06-01,7.76,7.85,7.76,78900
2007-06-08,7.86,7.97,7.72,1181400
2007-06-15,7.89,8.02,7.85,266000
2007-06-22,7.9,7.9,7.85,29300
2007-06-29,7.87,7.9,7.82,80100
2007-07-06,7.86,7.9,7.86,900
2007-07-13,7.82,7.9,7.8,44500
2007-07-20,7.8,7.9,7.8,309800
2007-07-27,7.65,7.85,7.5,4900
2007-08-03,7.5,7.7,7.31,29900
2007-08-10,7.85,7.9,7.4,337900
2007-08-17,7.75,7.9,7.6,15300
2007-08-24,7.8,7.8,7.6499,29100
2007-08-31,7.8,7.85,7.6,86900
2007-09-07,7.75,7.9,7.6001,26300
2007-09-14,7.94,8.05,7.75,1411200
2007-09-21,7.93,7.98,7.85,123700
2007-09-28,8.0,8.2,7.78,146700
2007-10-05,7.96,8.0,7.87,100900
2007-10-12,8.2,8.2,7.9,38000
2007-10-19,9.5,9.7,8.05,51700
2007-10-26,9.25,9.8,9.001,18000
2007-11-02,9.5,9.5,9.15,12600
2007-11-09,9.65,10.15,9.45,97300
2007-11-16,9.24,9.69,9.2,11400
2007-11-23,8.85,9.1,8.75,6500
2007-11-30,9.0,9.1,8.35,73900
2007-12-07,8.9,9.1,8.7,78500
2007-12-14,9.05,9.15,8.76,36800
2007-12-21,9.03,9.05,8.8,64100
2007-12-28,9.08,9.1,8.95,20100
2008-01-04,9.0,9.08,8.9,53100
2008-01-11,9.05,9.05,8.95,29800
2008-01-18,8.95,9.05,8.83,25900
2008-01-25,8.85,8.85,8.25,22500
2008-02-01,8.8,8.8,8.5,5500
2008-02-08,8.45,8.8,8.45,7500
2008-02-15,8.34,8.6,8.34,12300
2008-02-22,8.5,8.5,8.35,3600
2008-02-29,8.6,9.04,8.22,5100
2008-03-07,8.3,8.7,8.2,80300
2008-03-14,7.6,8.46,7.15,44100
2008-03-21,7.4,7.45,7.1,54800
2008-03-28,7.0,7.4,6.94,23900
2008-04-04,7.29,7.35,7.0,101700
2008-04-11,7.15,7.25,7.05,5200
2008-04-18,7.1,7.15,7.0,6700
2008-04-25,7.25,7.25,6.95,164800
2008-05-02,6.58,7.54,6.54,40800
2008-05-09,6.35,6.7,6.3,50800
2008-05-16,6.35,6.35,6.2,27500
2008-05-23,6.45,6.6,6.25,45800
2008-05-30,6.6,6.65,6.4,19800
2008-06-06,6.2,6.55,6.2,26400
2008-06-13,5.59,6.15,5.5,55000
2008-06-20,5.81,6.25,5.3,86200
2008-06-27,5.75,5.95,5.65,27000
2008-07-04,5.22,5.7,5.1,91400
2008-07-11,5.4,5.6,5.25,18600
2008-07-18,5.2,5.5,5.2,36100
2008-07-25,5.8,5.8,4.6,41100
2008-08-01,6.4,6.5,5.7,79100
2008-08-08,6.39,6.4,6.06,54600
2008-08-15,6.35,6.42,6.15,13500
