date,adjClose,adjHigh,adjLow,adjVolume
2018-03-16,53.05,55.47,52.1,6524852
2018-03-23,50.96,53.94,50.7,2577306
2018-03-30,52.86,53.36,50.38,2225147
2018-04-06,51.67,53.42,50.46,1854980
2018-04-13,51.08,52.52,50.805,1262208
2018-04-20,51.47,53.35,50.685,839706
2018-04-27,44.36,52.0,43.46,5233022
2018-05-04,44.82,46.71,42.75,5117374
2018-05-11,42.65,45.48,42.51,2069129
2018-05-18,43.84,43.96,42.431,2018035
2018-05-25,42.8,43.98,42.4027,1515888
2018-06-01,41.55,43.06,41.33,1789562
2018-06-08,43.1,43.44,41.39,2837998
2018-06-15,44.95,45.25,42.73,3150299
2018-06-22,45.94,46.23,44.39,3420230
2018-06-29,45.08,46.47,44.11,3150198
2018-07-06,47.06,47.09,44.48,2027983
2018-07-13,47.78,47.98,47.05,1843028
2018-07-20,46.67,48.18,46.22,2040154
2018-07-27,46.35,46.96,44.59,2529136
2018-08-03,47.49,49.055,46.08,1837752
2018-08-10,48.16,48.61,46.66,1547408
2018-08-17,47.58,48.72,46.6,1596849
2018-08-24,48.14,49.09,47.33,1740925
2018-08-31,49.08,49.9,48.35,1786872
2018-09-07,47.6,49.29,47.19,900049
2018-09-14,49.56,49.8,47.53,1513402
2018-09-21,50.82,51.24,49.22,1494210
2018-09-28,51.0,51.02,49.87,1356135
2018-10-05,49.49,51.31,48.81,1750553
2018-10-12,47.14,50.255,46.16,1691481
2018-10-19,47.67,49.57,46.78,2290221
2018-10-26,44.41,48.045,42.47,3919164
2018-11-02,48.04,49.01,43.87,2712180
2018-11-09,46.61,49.47,46.05,1913536
2018-11-16,48.04,48.26,45.6,2053591
2018-11-23,44.98,48.18,43.55,2675203
2018-11-30,47.87,48.57,44.95,2471984
2018-12-07,45.89,48.75,45.44,1664487
2018-12-14,45.5,47.99,44.55,2697390
2018-12-21,40.88,45.6499,40.6,6181898
2018-12-28,41.11,41.38,38.72,3246318
2019-01-04,44.02,44.53,40.3,2224321
2019-01-11,43.35,44.74,40.7649,3162728
2019-01-18,43.64,44.95,42.71,3394048
2019-01-25,44.26,44.2773,42.15,1405523
2019-02-01,52.88,52.94,43.655,3917156
2019-02-08,52.97,53.82,51.51,2739572
2019-02-15,52.69,53.19,50.69,3497846
2019-02-22,53.56,53.57,51.98,1455544
2019-03-01,53.98,54.17,52.1596,1883843
2019-03-08,53.22,54.74,53.04,2587113
2019-03-15,56.2,56.58,52.1965,3304805
2019-03-22,55.49,56.72,55.37,2304067
2019-03-29,55.61,56.49,55.03,1659062
2019-04-05,57.28,57.53,55.48,1823622
2019-04-12,57.83,58.21,57.0,1308673
2019-04-19,58.53,58.79,57.43,925333
2019-04-26,59.64,59.72,55.51,1341357
2019-05-03,60.23,60.6,58.54,1849148
2019-05-10,59.6,60.28,58.38,1118870
2019-05-17,60.55,61.04,57.045,2203343
2019-05-24,59.97,60.56,58.925,1899489
2019-05-31,58.09,60.47,58.05,1396260
2019-06-07,60.96,61.28,57.43,1737701
2019-06-14,60.37,61.87,59.815,1395087
2019-06-21,61.77,62.34,60.37,2371587
2019-06-28,61.46,61.99,59.4,2281251
2019-07-05,63.14,63.45,61.58,1014085
2019-07-12,64.6,64.82,62.18,1311223
2019-07-19,63.49,64.85,63.42,1440566
2019-07-26,60.35,63.89,58.49,1715859
2019-08-02,59.05,61.18,58.19,2197114
2019-08-09,59.41,59.76,57.13,1778312
2019-08-16,59.15,59.39,57.42,1708520
2019-08-23,59.4,61.05,59.25,1541774
2019-08-30,62.24,63.06,60.05,1641782
2019-09-06,63.91,64.965,61.8,1046097
2019-09-13,64.1,64.85,63.289,1611525
2019-09-20,63.38,64.91,62.53,1765596
2019-09-27,61.06,64.11,60.44,1121118
2019-10-04,65.15,65.4,61.04,4252783
2019-10-11,64.49,65.59,63.9404,1412059
2019-10-18,66.41,66.41,63.82,1209512
2019-10-25,69.78,70.71,65.51,1467724
2019-11-01,70.23,70.78,69.11,2276445
2019-11-08,68.31,70.74,67.82,2087308
2019-11-15,72.71,74.0,67.9,3205607
2019-11-22,72.17,74.31,71.9,1960099
2019-11-29,70.99,72.83,70.26,1752174
2019-12-06,69.88,70.89,69.05,1951606
2019-12-13,68.65,70.25,67.51,2908052
2019-12-20,70.15,70.65,67.725,2785162
2019-12-27,70.74,70.99,68.28,909291
2020-01-03,71.97,72.03,68.6179,1458373
2020-01-10,73.2,74.11,71.54,1968958
2020-01-17,72.79,73.9,72.69,1712194
