date,adjClose,adjHigh,adjLow,adjVolume
2018-06-22,17.25,19.5,16.36,5765476
2018-06-29,15.22,17.25,13.7863,2201857
2018-07-06,15.6,15.7588,14.421,324232
2018-07-13,16.63,17.45,15.601,465040
2018-07-20,16.68,17.22,15.84,371581
2018-07-27,15.72,16.79,15.01,359643
2018-08-03,15.07,16.21,14.501,466367
2018-08-10,15.25,16.86,14.5,708996
2018-08-17,15.82,16.3,15.1475,778982
2018-08-24,18.77,19.5,15.54,1375525
2018-08-31,18.62,19.48,17.65,581796
2018-09-07,19.76,20.6291,17.69,1452625
2018-09-14,22.73,23.32,18.99,1351485
2018-09-21,22.36,23.99,21.15,1999512
2018-09-28,22.98,23.31,21.805,694215
2018-10-05,21.06,25.5,19.58,1322950
2018-10-12,20.44,22.2656,19.06,721706
2018-10-19,20.7,21.1619,19.32,499684
2018-10-26,21.05,22.0,20.31,843409
2018-11-02,21.24,22.0,19.5,478815
2018-11-09,20.01,21.64,19.2301,458072
2018-11-16,19.0,20.25,17.53,414383
2018-11-23,18.13,18.92,17.65,197550
2018-11-30,22.53,22.895,17.14,413189
2018-12-07,20.94,23.1,20.5215,401928
2018-12-14,21.5,22.67,20.385,288946
2018-12-21,20.96,24.01,20.76,639454
2018-12-28,22.95,23.078,20.501,259904
2019-01-04,23.55,25.0,22.1344,423616
2019-01-11,24.36,27.09,23.14,813463
2019-01-18,24.0,25.75,23.36,375340
2019-01-25,24.33,24.49,22.53,158401
2019-02-01,25.21,25.45,23.13,326769
2019-02-08,24.76,25.8,22.88,495000
2019-02-15,23.67,25.97,23.2,902741
2019-02-22,22.04,24.37,20.41,834425
2019-03-01,21.08,22.77,20.9,573329
2019-03-08,22.37,22.499,20.52,467939
2019-03-15,22.0,22.71,21.56,443885
2019-03-22,22.45,23.22,21.73,354992
2019-03-29,24.02,24.03,21.25,349893
2019-04-05,24.04,24.13,22.15,336684
2019-04-12,24.39,24.98,23.175,214864
2019-04-19,23.69,24.6829,23.07,181882
2019-04-26,24.51,25.0185,23.21,227726
2019-05-03,24.31,24.81,23.39,194639
2019-05-10,24.16,24.89,23.8,157361
2019-05-17,24.3,24.7099,23.01,356154
2019-05-24,26.01,27.0398,23.81,624791
2019-05-31,25.57,27.883,24.01,401211
2019-06-07,23.21,26.75,22.22,3696162
2019-06-14,24.77,25.04,22.65,1251724
2019-06-21,26.96,27.08,24.1742,1080502
2019-06-28,29.45,29.85,25.6971,1366278
2019-07-05,29.16,31.445,28.86,754361
2019-07-12,28.27,29.94,28.01,929797
2019-07-19,27.72,29.155,27.605,865880
2019-07-26,28.51,29.18,27.0,615189
2019-08-02,27.99,29.2395,27.3,510448
2019-08-09,23.77,28.94,23.02,1275830
2019-08-16,22.81,24.0,20.29,2131665
2019-08-23,22.19,24.28,22.06,1247772
2019-08-30,22.62,23.2,21.46,929339
2019-09-06,22.19,23.4499,21.18,762764
2019-09-13,20.45,23.3822,19.34,978307
2019-09-20,20.63,21.17,20.13,1469476
2019-09-27,19.71,21.4,19.29,798094
2019-10-04,19.82,20.5,18.65,858520
2019-10-11,20.3,20.86,19.13,568562
2019-10-18,19.63,20.5,19.55,612721
2019-10-25,19.76,20.95,19.5791,520656
2019-11-01,20.64,21.19,19.87,525041
2019-11-08,20.82,21.39,19.83,502506
2019-11-15,22.08,22.79,20.47,531624
2019-11-22,26.13,26.33,21.34,1051224
2019-11-29,27.32,27.82,26.02,868883
2019-12-06,28.24,28.58,26.51,695415
2019-12-13,28.49,28.75,27.27,552783
2019-12-20,29.36,29.48,28.13,895021
2019-12-27,28.3,29.33,27.46,326268
2020-01-03,28.98,29.68,27.0,670629
2020-01-10,30.09,30.7,28.46,583693
2020-01-17,31.8,31.91,30.13,654934
