date,adjClose,adjHigh,adjLow,adjVolume
2000-11-24,120.006,130.31901,119.068455,67100
2000-12-01,144.382215,230.402145,119.068455,143600
2000-12-08,182.821635,211.88559,136.88184,106100
2000-12-15,196.88484,243.762195,155.632785,205600
2000-12-22,179.071455,219.385965,137.819385,115700
2000-12-29,185.634285,202.510125,164.070705,40100
2001-01-05,164.070705,195.00975,159.382965,48100
2001-01-12,174.383715,181.88409,151.88259,63300
2001-01-19,220.32351,220.32351,167.820885,87800
2001-01-26,158.44542,217.510875,152.820135,111800
2001-02-02,210.0105,217.510875,160.32051,97600
2001-02-09,121.88109,236.26182,116.25582,435200
2001-02-16,110.630535,133.13166,101.25507,176300
2001-02-23,83.44167,115.31826,57.190365,191100
2001-03-02,67.503375,95.629785,60.003,133500
2001-03-09,86.25432,111.56808,60.003,266800
2001-03-16,75.23814,96.56733,71.25357,92900
2001-03-23,77.34762,88.12941,66.09705,157700
2001-03-30,30.939045,84.379215,26.25132,407600
2001-04-06,47.814885,52.502625,32.814135,99300
2001-04-13,52.80264,67.503375,46.502325,46200
2001-04-20,74.25372,75.00375,52.952655,38500
2001-04-27,81.00405,82.35411,66.753345,50900
2001-05-04,78.153915,87.454365,69.753495,41400
2001-05-11,60.003,78.753945,60.003,36400
2001-05-18,51.60258,63.00315,47.702385,101700
2001-05-25,50.55252,61.35306,49.952505,48900
2001-06-01,46.502325,49.65249,40.502025,78600
2001-06-08,44.55222,48.752445,42.752145,41100
2001-06-15,42.0021,50.25252,40.502025,78100
2001-06-22,35.851785,45.45228,28.051395,65300
2001-06-29,30.45153,36.301815,28.501425,122800
2001-07-06,29.8515,48.0024,28.501425,150000
2001-07-13,21.00105,30.45153,17.25087,301000
2001-07-20,15.60078,23.25117,15.00075,182400
2001-07-27,14.100705,16.500825,12.750645,340700
2001-08-03,15.00075,17.25087,13.95069,166800
2001-08-10,12.300615,15.300765,10.05051,126200
2001-08-17,11.100555,12.900645,9.750495,27300
2001-08-24,6.900345,10.95054,6.450315,63900
2001-08-31,5.40027,9.15045,4.80024,347700
2001-09-07,6.300315,7.65039,5.700285,60500
2001-09-14,6.900345,7.05036,6.300315,6400
2001-09-21,6.300315,7.20036,5.700285,37400
2001-09-28,5.850285,6.900345,5.40027,32200
2001-10-05,5.700285,6.60033,4.35021,61900
2001-10-12,7.20036,7.35036,5.25027,33400
2001-10-19,15.300765,16.20081,6.750345,159800
2001-10-26,16.050795,20.25102,11.700585,181100
2001-11-02,9.900495,16.20081,9.15045,133100
2001-11-09,8.25042,11.100555,8.100405,142800
