date,adjClose,adjHigh,adjLow,adjVolume
2010-11-12,15.63,16.0,15.35,173200
2010-11-19,15.18,16.58,15.15,1244600
2010-11-26,15.48,16.06,14.8,301600
2010-12-03,16.2,16.47,15.42,470200
2010-12-10,19.48,19.83,16.09,1092800
2010-12-17,18.37,19.65,17.49,1001500
2010-12-24,20.01,20.19,17.9,753700
2010-12-31,20.09,20.9361,19.7,609200
2011-01-07,20.63,21.94,19.25,495900
2011-01-14,20.08,20.98,19.9,808800
2011-01-21,17.99,20.5,17.6,582400
2011-01-28,18.98,19.73,16.91,752800
2011-02-04,20.25,20.6,18.01,795100
2011-02-11,24.32,25.0,20.14,666600
2011-02-18,26.62,27.2,22.96,904100
2011-02-25,23.56,26.58,21.66,665600
2011-03-04,25.6,26.24,21.6,680200
2011-03-11,21.37,25.35,20.32,779200
2011-03-18,21.54,22.42,20.36,639300
2011-03-25,21.51,23.34,21.51,459700
2011-04-01,21.01,21.85,20.0,2556200
2011-04-08,20.37,22.61,20.05,1166700
2011-04-15,20.55,20.91,18.19,1114400
2011-04-22,19.91,20.47,19.04,579400
2011-04-29,21.58,21.8699,18.52,1531900
2011-05-06,20.84,22.06,19.74,1110200
2011-05-13,20.73,21.27,18.99,2249200
2011-05-20,20.13,20.62,19.1001,1273500
2011-05-27,19.81,20.17,19.01,1340700
2011-06-03,18.94,20.1,18.61,1923300
2011-06-10,18.17,18.99,17.3,1062000
2011-06-17,16.41,18.51,16.3403,1814700
2011-06-24,16.48,17.22,16.06,2704100
2011-07-01,17.74,17.83,16.15,1037400
2011-07-08,17.61,17.89,17.14,830200
2011-07-15,16.59,17.47,15.87,1026200
2011-07-22,17.37,17.68,16.09,1242600
2011-07-29,12.69,18.05,12.04,3549500
2011-08-05,10.32,12.84,9.98,2863400
2011-08-12,9.96,10.53,8.37,3367000
2011-08-19,9.12,10.59,9.05,1933400
2011-08-26,7.99,11.1,7.125,6073600
2011-09-02,8.11,8.62,7.6,3088300
2011-09-09,7.9,8.53,7.65,1307100
2011-09-16,9.18,9.96,8.21,3269400
2011-09-23,8.73,9.59,8.05,2125800
2011-09-30,8.77,9.69,8.44,1689500
2011-10-07,8.39,8.83,7.71,2142700
2011-10-14,10.09,10.62,8.59,2377100
2011-10-21,9.61,10.95,9.36,1995000
2011-10-28,11.9,12.39,9.64,2549800
2011-11-04,11.95,12.06,10.22,1276700
2011-11-11,11.36,11.98,10.75,882300
2011-11-18,10.71,12.21,10.65,1048300
2011-11-25,8.98,10.58,8.948,592700
2011-12-02,10.95,11.0,9.37,984100
2011-12-09,12.58,12.72,10.8,1407900
2011-12-16,11.51,12.35,10.8,1404000
2011-12-23,12.1,12.18,10.77,581000
2011-12-30,11.96,12.43,11.63,429200
2012-01-06,12.78,13.15,12.05,733000
2012-01-13,12.11,13.24,12.05,954200
2012-01-20,13.48,13.53,11.5,840100
2012-01-27,15.68,16.03,13.09,2399200
2012-02-03,15.91,16.94,14.12,2570400
2012-02-10,14.76,15.9999,14.63,1024300
