date,adjClose,adjHigh,adjLow,adjVolume
2014-01-10,18.0,20.0,15.0,427900
2014-01-17,19.0,19.25,18.0,138900
2014-01-24,19.8,20.0,19.16,19500
2014-01-31,19.4,20.0,18.0,778400
2014-02-07,16.795,20.0,15.8,626900
2014-02-14,16.8,17.45,16.51,320000
2014-02-21,16.24,17.0,16.14,132400
2014-02-28,16.23,17.3699,15.9,286100
2014-03-07,19.12,19.5,16.0,456700
2014-03-14,20.0,21.264,18.75,472500
2014-03-21,18.56,20.4667,17.3,942900
2014-03-28,18.59,19.135,16.02,219400
2014-04-04,17.05,19.2,16.11,267200
2014-04-11,17.49,19.0,15.95,258900
2014-04-18,16.15,18.2,15.28,172700
2014-04-25,16.22,16.91,15.46,262700
2014-05-02,16.08,17.36,15.65,343300
2014-05-09,15.95,16.8696,15.1601,196700
2014-05-16,15.81,16.33,14.95,346200
2014-05-23,15.25,16.12,14.55,288300
2014-05-30,15.15,15.48,14.535,332900
2014-06-06,16.31,16.98,14.74,322300
2014-06-13,16.89,17.35,15.67,167700
2014-06-20,19.26,19.6,16.1,680500
2014-06-27,17.15,19.1,16.14,2676600
2014-07-04,16.95,17.26,16.19,311200
2014-07-11,15.26,17.24,14.535,243100
2014-07-18,14.4,15.36,14.04,543700
2014-07-25,13.72,14.56,13.5,286900
2014-08-01,14.78,14.97,13.26,186700
2014-08-08,15.27,16.5,14.1,212400
2014-08-15,18.38,19.77,15.36,333300
2014-08-22,15.62,18.96,14.515,596700
2014-08-29,14.22,16.26,13.9007,223100
2014-09-05,14.68,15.2,13.8,117100
2014-09-12,14.29,15.0,14.11,111900
2014-09-19,13.79,15.35,13.58,298800
2014-09-26,14.47,14.73,12.67,167258
2014-10-03,14.79,15.0,13.37,261214
2014-10-10,14.34,15.06,14.16,170092
2014-10-17,15.88,16.47,14.06,252892
2014-10-24,14.75,17.275,14.65,161845
2014-10-31,15.5,15.78,14.51,150557
2014-11-07,15.26,15.6,14.6875,159926
2014-11-14,15.15,15.77,14.92,172807
2014-11-21,14.82,15.1,13.9,108521
2014-11-28,14.37,15.4179,14.35,77155
2014-12-05,16.67,16.76,14.41,272937
2014-12-12,15.79,17.24,15.69,242019
2014-12-19,16.73,17.55,15.38,259239
2014-12-26,18.96,19.0,16.52,79109
2015-01-02,17.57,18.96,17.36,121600
2015-01-09,16.96,17.7,16.2901,161281
2015-01-16,21.45,21.57,16.82,315568
2015-01-23,19.86,22.33,19.2432,379193
2015-01-30,19.42,20.865,19.26,231991
2015-02-06,18.89,20.2,18.83,169177
2015-02-13,24.53,24.81,18.5,271312
2015-02-20,25.65,30.72,24.19,461876
2015-02-27,24.85,28.5,24.02,339509
2015-03-06,23.8,26.24,23.39,1805957
2015-03-13,23.48,26.0,22.74,1659033
2015-03-20,27.64,28.95,23.025,3014566
2015-03-27,25.28,29.02,24.32,1446105
2015-04-03,23.68,25.58,22.7,970074
2015-04-10,23.98,24.91,22.8,655045
2015-04-17,24.36,25.22,22.94,1692919
2015-04-24,22.71,25.2,22.34,912815
2015-05-01,21.48,23.1327,19.86,1156603
2015-05-08,21.91,23.22,20.64,1139504
2015-05-15,22.91,23.44,21.9201,648393
2015-05-22,24.99,25.77,23.045,1034226
2015-05-29,26.25,27.23,24.0,946053
2015-06-05,27.19,27.5,25.8,1100999
2015-06-12,28.46,28.76,26.62,960274
2015-06-19,29.84,30.52,25.99,1574472
2015-06-26,31.77,35.45,30.02,2009622
2015-07-03,31.15,32.5,29.78,876593
2015-07-10,34.755,36.17,30.33,2158384
2015-07-17,33.37,37.81,32.79,2196871
2015-07-24,29.15,34.04,28.29,2707876
2015-07-31,29.1,31.51,28.16,2094306
2015-08-07,30.98,32.4,28.48,1772135
2015-08-14,29.57,32.28,28.87,1993087
2015-08-21,28.5,31.7154,27.2501,2203092
2015-08-28,26.96,28.06,21.19,2909210
2015-09-04,27.12,28.58,25.42,3331467
2015-09-11,26.23,27.84,25.21,1000343
2015-09-18,55.6,60.79,25.62,24078380
2015-09-25,41.31,57.22,41.27,13311375
2015-10-02,43.25,43.59,35.185,7462869
2015-10-09,43.85,44.94,38.04,3420810
2015-10-16,43.45,45.95,38.32,3500560
2015-10-23,46.82,47.81,41.18,2364570
2015-10-30,47.85,54.77,46.04,3619986
2015-11-06,51.04,54.13,47.24,2881795
2015-11-13,48.71,56.595,47.7501,2737393
2015-11-20,52.21,54.06,47.2947,1432718
2015-11-27,58.76,59.96,52.0,1585672
2015-12-04,56.9,59.76,52.15,2284385
2015-12-11,53.52,57.82,51.16,2038147
2015-12-18,53.91,56.63,49.43,2696518
2015-12-25,54.51,55.62,51.36,786270
2016-01-01,53.79,57.55,53.73,960454
2016-01-08,45.35,55.35,43.88,2376050
2016-01-15,45.41,47.18,39.3101,2486899
2016-01-22,42.56,46.33,40.19,1924621
2016-01-29,37.08,43.8,35.2784,2012954
2016-02-05,28.6,37.3,28.52,3049234
2016-02-12,26.19,28.629,24.58,3244282
2016-02-19,30.47,31.778,26.265,2566677
2016-02-26,30.4,34.03,27.44,4136695
2016-03-04,29.27,31.521,27.31,4246182
2016-03-11,27.64,31.98,26.02,2915562
2016-03-18,24.16,28.33,22.41,3415745
2016-03-25,25.58,28.23,24.35,2662664
2016-04-01,28.25,29.18,25.6105,2545554
2016-04-08,34.28,35.8793,28.26,3514663
2016-04-15,35.34,36.15,32.12,1788658
2016-04-22,37.98,38.18,34.7715,1978511
2016-04-29,34.32,38.416,33.65,1966640
2016-05-06,30.99,36.25,30.1601,1788915
2016-05-13,32.43,34.0,30.67,1450407
2016-05-20,35.23,35.65,32.5,1725752
2016-05-27,37.33,37.8,34.5201,1962408
2016-06-03,39.94,41.29,37.37,1442925
2016-06-10,40.29,42.025,39.55,1704500
2016-06-17,37.43,41.58,36.86,3512176
2016-06-24,36.38,39.85,35.05,3686931
2016-07-01,39.68,40.28,33.96,2936971
2016-07-08,40.64,40.76,38.06,1278224
2016-07-15,39.66,42.18,37.7,1408546
2016-07-22,41.3,41.8,38.57,1560031
2016-07-29,40.8,42.17,39.96,1360959
2016-08-05,42.72,43.85,40.4087,2685858
2016-08-12,40.29,44.02,40.07,3069837
2016-08-19,40.73,41.6,39.5625,1552439
2016-08-26,40.38,42.96,39.02,2126638
2016-09-02,40.43,41.43,39.87,1529552
2016-09-09,42.35,44.259,40.43,1842273
2016-09-16,44.48,45.13,41.74,1998531
2016-09-23,42.4,45.2,39.765,2916509
2016-09-30,15.24,42.4,14.44,25157157
2016-10-07,15.145,15.75,14.345,6547565
2016-10-14,13.03,15.46,12.98,4016061
2016-10-21,13.65,13.93,12.85,3384804
2016-10-28,12.16,13.92,11.66,3400634
2016-11-04,11.36,12.91,10.8,3687177
2016-11-11,14.4,15.03,11.36,4449009
2016-11-18,13.95,14.77,13.28,2857964
2016-11-25,13.66,14.04,12.75,1858495
2016-12-02,15.02,15.23,13.24,3445107
2016-12-09,15.5,16.74,14.96,4980956
2016-12-16,15.99,17.0,14.5,6458139
