date,adjClose,adjHigh,adjLow,adjVolume
2017-10-13,18.75,20.9,17.17,3207659
2017-10-20,18.42,18.95,17.03,713600
2017-10-27,18.07,18.46,17.55,284711
2017-11-03,20.8,21.0,18.001,208140
2017-11-10,19.75,23.0,18.0,328167
2017-11-17,19.48,21.17,18.62,180919
2017-11-24,20.39,20.99,19.13,165429
2017-12-01,19.68,21.35,19.47,234490
2017-12-08,18.77,21.04,18.14,218803
2017-12-15,18.61,20.22,18.34,819874
2017-12-22,18.97,19.38,18.3697,229627
2017-12-29,19.19,20.38,18.41,94105
2018-01-05,20.05,22.2,19.17,280781
2018-01-12,19.1,20.01,18.89,133494
2018-01-19,18.71,19.95,18.4,170900
2018-01-26,18.88,19.15,18.35,92399
2018-02-02,17.03,18.99,16.011,175081
2018-02-09,16.63,17.3675,15.855,119696
2018-02-16,17.3,18.405,15.9201,54742
2018-02-23,18.31,18.4,15.6,47077
2018-03-02,17.0,18.7,16.33,362839
2018-03-09,17.5,18.3377,15.1,522045
2018-03-16,18.02,18.445,16.66,199201
2018-03-23,16.04,18.19,15.84,126370
2018-03-30,15.06,16.375,14.4699,174524
2018-04-06,16.34,17.02,14.0001,243002
2018-04-13,19.12,19.625,15.45,683037
2018-04-20,19.71,21.0,18.3166,367845
2018-04-27,19.12,20.65,17.97,362345
2018-05-04,19.82,20.55,18.385,289765
2018-05-11,19.31,19.95,18.69,188674
2018-05-18,19.68,20.0,18.91,251400
2018-05-25,21.53,21.85,18.7662,222010
2018-06-01,24.2,24.4,19.9061,278054
2018-06-08,28.15,28.47,22.585,491430
2018-06-15,26.83,29.1916,24.32,563362
2018-06-22,27.0,27.9,25.75,879255
2018-06-29,26.64,28.13,25.6405,511796
2018-07-06,29.48,31.39,26.06,520391
2018-07-13,29.37,30.0,28.34,241764
2018-07-20,29.33,29.99,28.09,287223
2018-07-27,27.15,29.3995,25.87,353703
2018-08-03,27.53,29.95,26.02,246563
2018-08-10,27.59,29.0,26.02,323276
2018-08-17,30.56,31.8,26.81,346426
2018-08-24,32.18,32.59,29.261,272021
2018-08-31,34.82,34.975,31.5,210741
2018-09-07,33.5,35.5,32.23,161041
2018-09-14,33.16,33.99,32.7364,282497
2018-09-21,32.65,33.3,30.36,400287
2018-09-28,36.64,36.98,31.731,259332
2018-10-05,37.0,39.8113,35.26,227505
2018-10-12,31.49,38.65,30.35,325205
2018-10-19,32.87,33.935,31.19,217360
2018-10-26,33.58,35.0,31.75,119097
2018-11-02,30.65,36.02,28.26,279775
2018-11-09,28.88,31.84,27.79,180994
2018-11-16,28.52,30.19,25.11,347249
2018-11-23,27.89,28.6,26.23,97223
2018-11-30,31.27,32.6696,27.86,138544
2018-12-07,33.1,34.56,27.2,1011196
2018-12-14,32.96,34.0,29.89,262214
2018-12-21,29.26,34.36,29.14,386661
2018-12-28,34.22,34.625,28.24,154028
2019-01-04,33.08,35.37,31.64,319597
2019-01-11,32.62,35.5,31.8,232459
2019-01-18,34.04,35.0,31.5,192507
2019-01-25,34.1,35.2743,33.58,118851
2019-02-01,36.1,37.83,33.48,331013
2019-02-08,36.14,36.75,33.22,169906
2019-02-15,37.04,38.0,33.41,300321
2019-02-22,38.32,39.89,37.0,262509
2019-03-01,42.41,43.655,38.58,439122
2019-03-08,39.79,43.0,38.17,593498
2019-03-15,43.43,44.25,39.71,468853
2019-03-22,44.55,47.82,44.0154,538510
2019-03-29,44.23,46.675,42.33,343557
2019-04-05,38.45,44.64,36.8,517787
2019-04-12,38.32,40.34,37.5101,334919
2019-04-19,36.4,38.92,35.91,240075
2019-04-26,39.84,40.2,36.5,369305
2019-05-03,44.0,44.49,39.65,360327
2019-05-10,42.81,45.99,39.2,517017
2019-05-17,40.1,42.098,39.6873,256426
2019-05-24,39.92,42.61,39.05,328843
2019-05-31,38.85,41.155,38.23,362067
2019-06-07,41.34,43.75,38.36,423115
2019-06-14,40.16,42.445,39.71,308346
2019-06-21,40.52,44.7,40.25,283218
2019-06-28,39.0,40.785,36.5,557203
2019-07-05,36.99,40.56,36.63,223768
2019-07-12,35.54,36.86,34.56,809715
2019-07-19,34.83,39.33,34.65,545016
2019-07-26,34.9,36.05,34.05,334547
2019-08-02,34.76,37.34,34.06,258829
2019-08-09,31.24,34.4299,28.9,610042
2019-08-16,31.6,32.15,28.19,541038
2019-08-23,30.67,33.27,30.37,321140
2019-08-30,32.19,33.4,29.84,283761
2019-09-06,35.1,35.38,30.65,326297
2019-09-13,37.47,37.67,33.72,430766
2019-09-20,38.0,39.65,36.4,394030
2019-09-27,35.37,38.11,33.71,467083
2019-10-04,34.64,38.07,32.25,294946
2019-10-11,35.01,35.74,32.66,249389
2019-10-18,35.99,37.18,33.97,194362
2019-10-25,37.0,37.3,35.43,217121
2019-11-01,38.65,39.99,35.7,310870
2019-11-08,37.5,39.5,32.49,356759
2019-11-15,39.1,39.6,37.02,403193
2019-11-22,38.71,39.45,37.9,269745
2019-11-29,39.34,40.4,38.38,265377
2019-12-06,39.24,39.59,37.5,249230
2019-12-13,44.2,44.58,37.67,1150343
2019-12-20,42.5,45.56,41.26,422624
2019-12-27,46.5,46.78,42.05,322197
2020-01-03,47.49,47.61,44.6,402597
2020-01-10,48.39,51.48,46.78,726742
2020-01-17,47.8,48.8,46.01,502758
