date,adjClose,adjHigh,adjLow,adjVolume
1999-11-05,620.0,690.0,150.0,1412100
1999-11-12,520.0,743.8,470.0,681100
1999-11-19,477.5,562.5,471.3,255800
1999-11-26,588.8,610.0,475.0,244700
1999-12-03,546.3,611.3,510.6,275400
1999-12-10,498.8,555.0,485.0,138100
1999-12-17,490.0,505.0,400.0,181300
1999-12-24,417.8,500.0,407.5,56400
1999-12-31,436.3,449.4,380.0,140500
2000-01-07,397.5,460.6,397.5,98900
2000-01-14,460.0,480.0,386.3,116400
2000-01-21,463.8,480.0,432.5,74700
2000-01-28,497.5,517.5,410.0,134700
2000-02-04,627.5,726.9,447.5,329400
2000-02-11,906.3,949.4,556.3,269200
2000-02-18,862.5,908.8,790.0,76000
2000-02-25,946.3,990.0,828.8,39700
2000-03-03,1240.0,1353.0,871.3,100100
2000-03-10,1439.0,1635.0,1241.0,106800
2000-03-17,1230.0,1455.0,1210.0,100500
2000-03-24,1280.0,1304.0,856.3,154200
2000-03-31,1053.0,1297.0,905.0,89000
2000-04-07,936.3,999.4,617.5,108600
2000-04-14,598.1,964.4,590.0,110800
2000-04-21,670.6,736.3,486.3,110500
2000-04-28,578.8,710.0,560.0,179400
2000-05-05,517.5,601.9,435.0,485400
2000-05-12,498.8,543.8,445.0,225800
2000-05-19,456.9,570.0,442.5,206400
2000-05-26,327.5,457.5,306.3,223000
2000-06-02,519.4,540.0,325.0,320500
2000-06-09,536.3,557.5,487.5,157400
2000-06-16,465.0,540.0,448.8,80400
2000-06-23,475.6,565.0,438.8,386100
2000-06-30,509.4,513.8,448.8,126600
2000-07-07,546.3,550.0,470.0,89800
2000-07-14,732.5,780.0,525.0,372300
2000-07-21,729.4,848.1,680.0,182000
2000-07-28,660.0,735.0,617.5,229500
2000-08-04,665.6,712.5,590.0,136600
2000-08-11,492.5,678.1,468.8,367300
2000-08-18,575.0,595.6,460.0,276400
2000-08-25,700.0,758.1,570.0,938500
2000-09-01,772.5,810.0,676.3,539400
2000-09-08,780.0,826.9,713.8,177700
2000-09-15,785.6,810.0,722.5,146700
2000-09-22,570.0,786.3,525.0,525900
2000-09-29,576.9,628.8,570.0,196500
2000-10-06,596.3,670.0,547.5,176600
2000-10-13,612.5,645.0,527.5,134800
2000-10-20,607.5,660.0,450.0,203700
2000-10-27,478.8,651.3,450.0,281100
2000-11-03,525.0,547.5,435.0,177900
2000-11-10,477.5,536.3,460.0,130100
2000-11-17,467.5,519.4,445.0,131200
2000-11-24,416.9,480.0,393.8,110500
2000-12-01,351.3,434.4,271.3,439700
2000-12-08,437.5,437.5,322.5,287300
2000-12-15,406.3,521.1,371.3,200400
2000-12-22,355.0,430.0,330.0,260500
2000-12-29,362.5,447.5,332.5,153600
2001-01-05,335.0,391.3,302.5,243900
2001-01-12,330.0,367.5,316.9,330600
2001-01-19,352.5,380.0,319.4,373200
2001-01-26,380.0,451.9,357.5,452700
2001-02-02,371.9,425.0,365.0,250500
2001-02-09,273.8,385.0,258.8,470900
2001-02-16,225.0,324.4,208.8,823700
2001-02-23,137.5,235.0,127.5,748200
2001-03-02,140.0,167.5,127.5,554400
2001-03-09,108.1,143.8,102.5,370800
2001-03-16,70.94,102.5,66.88,936400
2001-03-23,70.94,81.88,55.0,598300
2001-03-30,41.25,73.75,33.13,1133100
2001-04-06,40.0,42.19,35.31,390200
2001-04-13,53.2,61.0,39.2,315500
2001-04-20,75.4,77.3,52.1,489900
2001-04-27,65.1,75.3,54.3,317500
2001-05-04,68.2,79.5,63.6,346300
2001-05-11,59.4,69.7,51.0,621400
2001-05-18,60.7,68.6,55.3,395700
2001-05-25,60.5,66.2,58.5,191000
2001-06-01,59.2,61.3,56.5,144800
2001-06-08,71.6,76.0,56.5,342100
2001-06-15,65.0,74.5,61.5,266000
2001-06-22,62.7,67.0,58.7,160500
2001-06-29,65.0,72.9,64.0,273000
2001-07-06,57.0,72.3,55.1,196300
2001-07-13,63.1,63.7,53.6,182100
2001-07-20,60.8,64.5,57.5,100800
2001-07-27,65.0,65.0,55.5,102000
2001-08-03,93.0,98.6,65.2,555300
2001-08-10,96.3,104.9,77.5,499400
2001-08-17,77.6,102.0,76.9,405000
2001-08-24,81.4,81.5,69.3,300600
2001-08-31,82.99,84.9,76.2,237300
2001-09-07,75.8,83.6,71.3,103200
2001-09-14,72.9,75.0,71.0,27700
2001-09-21,42.9,70.0,41.5,339300
2001-09-28,44.7,52.0,40.0,193600
2001-10-05,59.8,59.8,41.0,135200
2001-10-12,60.0,63.0,50.1,91000
2001-10-19,61.2,70.2,55.7,135900
2001-10-26,62.5,66.7,56.6,69200
2001-11-02,62.7,67.9,58.1,93500
2001-11-09,53.5,65.0,52.9,222000
2001-11-16,55.6,58.5,52.7,146100
2001-11-23,53.2,58.4,52.0,71800
2001-11-30,51.9,54.8,49.9,97900
2001-12-07,60.5,65.4,50.2,198400
2001-12-14,61.3,64.9,57.91,255800
2001-12-21,65.5,75.5,59.5,301700
2001-12-28,70.6,72.0,65.0,89600
2002-01-04,71.7,73.9,64.5,127100
2002-01-11,65.5,71.5,65.0,96000
2002-01-18,60.7,67.0,59.2,95400
2002-01-25,59.5,61.0,54.7,64400
2002-02-01,54.9,62.2,54.0,90200
2002-02-08,45.0,54.8,44.5,125300
2002-02-15,42.4,48.9,37.7,334400
2002-02-22,40.9,45.2,40.0,85500
2002-03-01,36.2,41.5,35.0,138200
2002-03-08,50.0,52.0,35.0,182100
2002-03-15,48.5,52.0,46.3,71000
2002-03-22,50.5,53.8,47.7,83900
2002-03-29,60.0,64.3,50.1,158300
2002-04-05,54.2,60.8,54.0,97700
2002-04-12,50.39,56.5,43.0,89200
2002-04-19,52.0,56.5,48.2,96600
2002-04-26,46.81,52.3,44.2,60800
2002-05-03,49.81,55.4,40.9,96100
2002-05-10,46.5,52.3,41.5,110800
2002-05-17,51.9,54.7,45.9,131800
2002-05-24,50.01,55.0,49.8,79600
2002-05-31,48.09,50.9,45.7,27400
2002-06-07,48.8,49.9,41.5,56900
2002-06-14,50.9,53.0,44.4,46900
2002-06-21,46.7,51.0,44.6,68300
2002-06-28,49.0,50.0,44.0,52300
2002-07-05,46.4,49.0,42.3,30300
2002-07-12,45.65,48.7,43.5,35000
2002-07-19,43.5,49.0,42.5,43600
2002-07-26,44.4,47.3,42.9,32300
2002-08-02,46.1,50.0,43.5,48000
2002-08-09,46.0,50.69,42.5,53000
2002-08-16,46.1,47.5,39.31,43200
2002-08-23,47.5,51.4,45.51,58800
2002-08-30,47.6,51.01,47.5,26400
2002-09-06,50.0,53.3,46.5,69300
2002-09-13,50.0,52.0,49.2,37500
2002-09-20,47.1,50.9,46.0,30300
2002-09-27,42.4,47.8,41.4,38000
2002-10-04,45.0,49.0,41.0,29500
2002-10-11,45.9,45.9,40.0,24900
2002-10-18,45.4,47.0,40.4,56100
2002-10-25,43.7,46.2,42.0,34900
2002-11-01,44.5,47.0,42.8,40500
2002-11-08,45.0,50.0,44.8,81300
2002-11-15,47.6,49.5,45.0,42300
2002-11-22,60.4,60.4,47.8,139300
2002-11-29,71.4,74.5,59.8,235200
2002-12-06,69.3,75.5,58.7,221600
2002-12-13,64.7,72.0,64.5,135700
2002-12-20,64.0,69.0,63.5,87000
2002-12-27,62.2,65.5,61.0,32600
2003-01-03,66.6,66.6,60.0,90400
2003-01-10,69.7,70.0,66.3,73300
2003-01-17,63.7,70.79,63.7,51300
2003-01-24,56.9,63.8,54.2,31600
2003-01-31,58.0,60.0,55.0,33900
2003-02-07,53.0,58.8,53.0,45700
2003-02-14,64.5,65.9,50.1,178000
2003-02-21,62.8,66.8,61.6,88400
2003-02-28,60.7,64.5,58.4,145800
2003-03-07,60.0,63.0,59.7,87500
2003-03-14,59.6,61.2,57.9,94600
2003-03-21,60.4,61.0,56.6,63000
2003-03-28,57.6,60.0,56.4,54500
2003-04-04,63.2,66.5,57.4,124400
2003-04-11,61.8,68.0,61.5,83700
2003-04-18,64.9,65.0,61.0,54000
2003-04-25,64.3,66.7,61.1,70900
2003-05-02,77.5,79.8,63.6,236900
2003-05-09,87.9,88.0,71.5,450300
2003-05-16,93.3,94.0,82.0,285100
2003-05-23,98.5,102.03,91.2,344100
2003-05-30,100.5,101.9,97.5,264700
2003-06-06,107.9,109.5,100.3,246000
2003-06-13,101.9,107.8,96.3,174300
2003-06-20,108.5,112.1,100.4,167500
2003-06-27,116.8,121.4,103.4,321500
2003-07-04,117.0,120.7,112.7,227700
2003-07-11,123.6,127.9,118.3,193700
2003-07-18,114.5,126.5,110.1,171800
2003-07-25,122.0,127.1,112.0,188700
2003-08-01,134.58,137.0,118.3,323800
2003-08-08,131.3,141.4,129.1,350100
2003-08-15,142.8,145.0,128.8,239400
2003-08-22,152.8,156.0,143.8,260800
2003-08-29,137.7,154.5,130.5,360000
2003-09-05,147.5,149.5,134.9,288900
2003-09-12,130.4,148.9,122.1,431200
2003-09-19,127.7,134.0,126.1,201700
2003-09-26,120.1,135.7,117.6,318200
2003-10-03,121.0,124.4,111.4,307000
2003-10-10,150.9,151.3,119.7,459800
2003-10-17,152.1,163.7,150.3,327900
2003-10-24,139.9,160.0,137.5,240200
2003-10-31,171.5,175.8,136.5,589800
2003-11-07,154.4,186.0,142.1,1342200
2003-11-14,128.0,154.0,125.1,705300
2003-11-21,123.0,130.9,119.3,652900
2003-11-28,145.3,145.5,125.9,591700
2003-12-05,128.0,148.0,123.0,468100
2003-12-12,127.5,130.5,120.0,181900
2003-12-19,129.0,133.3,120.0,275600
2003-12-26,147.2,153.8,125.6,356100
2004-01-02,150.6,152.5,143.7,248500
2004-01-09,178.0,184.4,150.0,630700
2004-01-16,165.1,184.4,163.8,468000
2004-01-23,152.9,170.0,147.4,483800
2004-01-30,143.1,152.5,139.4,342100
2004-02-06,145.6,147.4,138.7,348900
2004-02-13,141.1,147.0,139.9,269500
2004-02-20,135.0,161.8,134.3,1048500
2004-02-27,130.6,135.3,120.3,780700
2004-03-05,129.4,136.6,127.3,525800
2004-03-12,116.0,128.4,110.6,672400
2004-03-19,111.4,117.0,106.8,343100
2004-03-26,108.3,115.6,104.1,405800
2004-04-02,113.5,116.8,108.3,311200
2004-04-09,116.0,118.6,109.6,228800
2004-04-16,107.0,116.8,106.5,411200
2004-04-23,105.5,109.0,96.8,702100
2004-04-30,97.4,115.4,95.6,721000
2004-05-07,97.2,102.1,95.3,390400
2004-05-14,95.9,105.5,85.8,566100
2004-05-21,94.7,98.9,90.5,278700
2004-05-28,94.8,98.2,93.4,232400
2004-06-04,100.0,101.2,90.9,250300
2004-06-11,93.0,101.8,91.2,283500
2004-06-18,91.5,95.0,87.5,325600
2004-06-25,96.6,97.8,90.7,328400
2004-07-02,95.1,102.2,93.6,359200
2004-07-09,92.5,97.4,92.1,192100
2004-07-16,84.6,92.8,84.279,250700
2004-07-23,77.2,86.9,76.7,219300
2004-07-30,74.8,78.0,71.0,253900
2004-08-06,50.4,74.5,46.1,1664200
2004-08-13,58.7,59.5,48.5,672200
2004-08-20,61.4,64.4,51.2,299300
2004-08-27,61.8,63.4,58.4,133600
2004-09-03,63.2,69.0,60.0,264000
2004-09-10,62.4,66.4,61.0,201900
2004-09-17,63.5,65.9,59.9,320300
2004-09-24,68.5,69.2,63.4,339600
2004-10-01,71.4,72.7,66.0,185100
2004-10-08,74.1,78.7,72.2,257100
2004-10-15,71.35,75.0,68.8,177800
2004-10-22,70.0,74.2,68.3,159500
2004-10-29,73.8,73.8,69.4,194400
2004-11-05,87.0,90.0,71.2,467700
2004-11-12,85.8,94.8,81.5,560700
2004-11-19,79.6,88.7,76.6,213300
2004-11-26,82.3,83.3,77.5,101000
2004-12-03,92.7,94.5,80.3,495200
2004-12-10,91.5,94.8,89.7,323400
2004-12-17,90.8,97.5,90.8,303800
2004-12-24,93.0,98.2,84.2,204600
2004-12-31,94.4,100.0,92.0,227000
2005-01-07,94.4,99.3,89.0,352000
2005-01-14,85.8,95.4,81.5,360200
2005-01-21,82.6,89.3,81.6,204900
2005-01-28,84.4,84.5,79.5,181700
2005-02-04,85.7,86.9,81.7,176500
2005-02-11,83.9,86.7,81.8,134600
2005-02-18,77.3,93.1,75.3,383100
2005-02-25,71.5,76.79,66.5,482600
2005-03-04,71.0,71.6,69.2,261900
2005-03-11,68.5,71.8,67.8,244100
2005-03-18,67.2,69.4,63.0,498800
2005-03-25,65.1,69.4,65.0,126400
2005-04-01,61.1,66.0,61.1,243400
2005-04-08,64.0,65.0,60.0,215100
2005-04-15,61.9,65.5,61.9,163300
2005-04-22,53.0,63.59,52.6,377900
2005-04-29,52.9,55.2,50.6,250500
2005-05-06,52.5,60.0,50.9,212600
2005-05-13,51.7,56.0,51.4,160500
2005-05-20,52.7,54.3,50.5,159500
2005-05-27,51.9,53.3,50.3,385200
2005-06-03,54.6,55.0,51.0,284000
2005-06-10,58.2,60.4,54.0,249800
2005-06-17,62.2,63.0,57.5,245500
2005-06-24,62.2,63.4,61.1,288500
2005-07-01,62.1,65.58,60.0,174900
2005-07-08,63.8,65.0,61.0,107000
2005-07-15,65.9,67.0,63.5,131500
2005-07-22,64.5,66.3,62.1,155100
2005-07-29,64.4,65.1,62.4,95000
2005-08-05,52.5,66.8,52.2,387300
2005-08-12,52.0,55.0,51.1,302600
2005-08-19,54.0,54.4,49.2,581200
2005-08-26,55.2,56.2,53.6,136200
2005-09-02,56.0,57.0,54.0,148600
2005-09-09,57.7,58.7,55.8,101800
2005-09-16,57.8,58.9,55.9,118900
2005-09-23,57.2,58.2,54.6,125900
2005-09-30,58.0,60.9,57.5,151800
2005-10-07,68.6,68.8,57.7,564800
2005-10-14,67.8,69.7,63.2,344500
2005-10-21,63.2,68.5,62.6,306100
2005-10-28,66.3,67.0,62.7,193400
2005-11-04,68.2,72.5,66.1,354900
2005-11-11,56.3,61.5,53.5,956100
2005-11-18,55.9,57.0,54.5,202600
2005-11-25,57.5,58.0,55.001,92400
2005-12-02,54.9,57.7,54.6,310300
2005-12-09,55.1,56.0,53.9,291100
2005-12-16,55.8,57.4,54.7,240700
2005-12-23,52.8,55.7,51.5,254600
2005-12-30,51.0,53.4,50.6,177500
2006-01-06,53.6,53.9,50.8,152500
2006-01-13,53.9,55.0,52.6,138900
2006-01-20,50.3,53.6,50.0,179700
2006-01-27,54.5,54.5,51.1,219300
2006-02-03,53.0,54.5,52.3,106800
2006-02-10,52.9,53.9,52.0,143100
2006-02-17,54.8,55.6,52.0,206000
2006-02-24,46.8,52.2,46.3,414500
2006-03-03,47.6,48.2,44.5,352500
2006-03-10,46.0,48.2,45.5,284100
2006-03-17,40.3,48.4,39.0,1141600
2006-03-24,41.4,41.6,37.3,845800
2006-03-31,40.2,42.2,39.1,407400
2006-04-07,39.0,40.6,37.49,383792
2006-04-14,39.8,40.5,37.9,208733
2006-04-21,42.5,42.7,39.0,207300
2006-04-28,43.7,45.3,42.1,290600
2006-05-05,41.7,45.2,40.9,257800
2006-05-12,36.8,41.5,35.6,437200
2006-05-19,37.1,38.3,36.1,180700
2006-05-26,37.2,38.0,35.3,149600
2006-06-02,36.5,38.3,35.8,127200
2006-06-09,33.1,36.6,32.7,166700
2006-06-16,32.0,33.1,30.6,289600
2006-06-23,29.5,32.5,29.2,169600
2006-06-30,27.5,30.0,27.5,210100
2006-07-07,27.1,29.4,27.0,112200
2006-07-14,26.3,27.5,26.1,169400
2006-07-21,23.9,26.8,23.6,158200
2006-07-28,24.2,24.5,23.6,114300
2006-08-04,22.9,24.4,22.2,125000
2006-08-11,19.9,23.6,19.9,181200
2006-08-18,20.5,21.0,18.5,235300
2006-08-25,21.1,21.4,20.0,145600
2006-09-01,22.0,23.5,20.9,239600
2006-09-08,23.4,23.6,21.2,89800
2006-09-15,23.4,24.9,22.9,132200
2006-09-22,21.9,23.9,21.6,115400
2006-09-29,21.4,22.7,21.4,151500
2006-10-06,20.4,21.5,20.2,151000
2006-10-13,20.6,21.5,19.8,182700
2006-10-20,21.5,25.6,20.68,554400
2006-10-27,23.4,25.2,21.3,306600
2006-11-03,24.9,26.7,23.1,349400
2006-11-10,22.6,25.7,21.0,382700
2006-11-17,23.8,24.8,22.2,206400
2006-11-24,23.8,24.5,22.8,116600
2006-12-01,23.0,27.0,22.6,315900
2006-12-08,27.6,28.5,22.8,520100
2006-12-15,26.2,28.1,25.9,314000
2006-12-22,28.5,28.7,25.8,287700
2006-12-29,28.5,29.8,27.3,306940
2007-01-05,23.8,29.4,23.1,320800
2007-01-12,24.5,25.318,22.6,237600
2007-01-19,23.5,25.0,23.3,116100
2007-01-26,23.2,25.1,23.1,149200
2007-02-02,23.9,24.3,23.0,116200
2007-02-09,23.2,24.2,23.1,99700
2007-02-16,22.4,23.5,21.8,157200
2007-02-23,22.6,22.8,22.0,123200
2007-03-02,20.2,23.0,19.9,262900
2007-03-09,20.1,20.8,18.8,261400
2007-03-16,14.6,21.1,14.5,496300
2007-03-23,12.9,15.1,12.9,415500
2007-03-30,13.0,13.4,12.0,391900
2007-04-06,11.6,13.7,11.4,394100
2007-04-13,10.8,12.5,10.1,497900
2007-04-20,11.2,12.0,10.7,261600
2007-04-27,11.5,12.0,10.7,462200
2007-05-04,12.9,13.4,11.0,494400
2007-05-11,15.1,17.0,12.7,552600
2007-05-18,15.6,16.601,13.699,310000
2007-05-25,15.0,17.201,14.5,227900
2007-06-01,16.5,16.9,14.7,196500
2007-06-08,15.8,16.8,15.0,178500
2007-06-15,16.3,17.0,15.5,153700
2007-06-22,16.5,18.0,16.5,817700
2007-06-29,16.8,17.3,14.4,220900
2007-07-06,19.1,19.32,17.0,115203
2007-07-13,21.8,21.9,18.8,493800
2007-07-20,22.85,22.9,19.9,329300
2007-07-27,22.0,23.7,21.5,226391
2007-08-03,20.3,22.6,19.5,162900
2007-08-10,21.6,22.9,20.4,179500
2007-08-17,21.2,21.6,18.9,136200
2007-08-24,22.9,23.0,18.9,128400
2007-08-31,25.4,25.5,22.8,139400
2007-09-07,26.2,28.0,25.0,195200
2007-09-14,24.3,27.3,21.7,178000
2007-09-21,25.4,26.2,22.0,109000
2007-09-28,27.4,27.4,23.6,99200
2007-10-05,27.3,29.5,26.5,114800
2007-10-12,27.099,27.6,25.4,96900
2007-10-19,28.9,30.9,26.0,114100
2007-10-26,27.1,27.9,25.4,98900
2007-11-02,26.2,28.0,24.6,60900
2007-11-09,24.5,26.9,22.9,117200
2007-11-16,19.1,23.6,18.6,94000
2007-11-23,19.7,21.3,18.0,52500
2007-11-30,22.4,23.0,18.6,161600
2007-12-07,23.0,23.6,20.2,211500
