date,adjClose,adjHigh,adjLow,adjVolume
2014-11-07,49.38,51.89,47.0,7345461
2014-11-14,47.88,49.54,44.075,7625786
2014-11-21,51.54,52.02,47.32,1956120
2014-11-28,54.4,54.74,51.435,1501767
2014-12-05,53.9,54.72,53.06,2825658
2014-12-12,48.98,54.48,48.77,2680189
2014-12-19,49.66,49.8,47.67,6689814
2014-12-26,50.68,51.63,49.52,1507034
2015-01-02,49.39,50.62,42.12,1458748
2015-01-09,48.75,49.4,46.78,2285297
2015-01-16,48.99,50.11,47.51,2334307
2015-01-23,47.14,49.425,46.73,877169
2015-01-30,44.4,47.57,44.3,1149378
2015-02-06,49.99,51.47,44.065,2312460
2015-02-13,49.82,50.39,48.76,1218331
2015-02-20,50.28,50.79,49.39,917055
2015-02-27,52.06,52.68,50.05,1478370
2015-03-06,52.19,53.99,51.88,568196
2015-03-13,55.09,56.155,52.02,1189538
2015-03-20,53.9,55.637,53.38,1130899
2015-03-27,53.96,54.59,52.6,1290810
2015-04-03,55.63,58.07,53.69,1267375
2015-04-10,56.05,56.21,55.23,894810
2015-04-17,54.5,56.12,54.46,669617
2015-04-24,53.34,55.05,52.75,1350262
2015-05-01,54.11,55.96,52.81,1824541
2015-05-08,52.46,55.44,52.38,709477
2015-05-15,51.76,53.05,51.415,1347802
2015-05-22,52.13,53.52,51.59,1157511
2015-05-29,53.48,54.32,51.29,2390750
2015-06-05,52.74,53.87,51.94,1685721
2015-06-12,52.53,52.92,51.11,885879
2015-06-19,52.04,52.58,51.5,980302
2015-06-26,52.03,52.62,49.99,1696952
2015-07-03,51.83,52.565,50.55,2440995
2015-07-10,52.09,52.51,50.9,1279733
2015-07-17,54.4,54.99,51.0,3207947
2015-07-24,53.22,54.67,53.015,1173251
2015-07-31,53.53,53.8,51.9125,761384
2015-08-07,53.01,55.92,51.13,1723427
2015-08-14,53.78,54.06,52.88,866825
2015-08-21,52.72,55.98,52.1315,1178913
2015-08-28,53.6,53.84,48.28,1423736
2015-09-04,53.64,54.87,52.62,1426480
2015-09-11,53.61,55.47,53.16,546047
2015-09-18,54.44,56.03,53.0,817763
2015-09-25,53.17,55.7,52.57,706246
2015-10-02,53.9,53.93,49.46,1577658
2015-10-09,55.19,55.62,53.52,730959
2015-10-16,55.6,59.7,54.38,541588
2015-10-23,53.16,55.65,52.51,541796
2015-10-30,53.77,54.95,52.34,982180
2015-11-06,54.01,54.915,52.961,759917
2015-11-13,52.59,54.68,52.54,1142282
2015-11-20,53.3,54.29,51.91,911812
2015-11-27,52.75,53.5,52.01,501643
2015-12-04,52.27,53.66,51.16,894480
2015-12-11,50.3,52.78,49.95,1804011
2015-12-18,50.54,51.865,48.99,2214323
2015-12-25,50.88,51.2609,50.04,532099
2016-01-01,51.86,52.46,50.38,602185
2016-01-08,49.57,51.245,48.07,1422380
2016-01-15,48.02,50.66,47.65,1417672
