date,adjClose,adjHigh,adjLow,adjVolume
2015-08-07,19.3,25.86,17.283,3135299
2015-08-14,20.33,20.89,18.69,2471836
2015-08-21,21.25,21.9,19.93,2343904
2015-08-28,19.92,21.45,18.82,1790245
2015-09-04,19.07,20.18,18.13,1517453
2015-09-11,17.71,19.5,17.21,1802161
2015-09-18,17.08,17.83,16.95,1861112
2015-09-25,16.98,17.2,16.66,1744879
2015-10-02,15.76,17.01,15.59,1494486
2015-10-09,15.14,15.96,14.85,2261621
2015-10-16,14.47,15.36,14.39,793503
2015-10-23,14.87,15.03,13.97,2857480
2015-10-30,14.34,15.02,14.25,1551798
2015-11-06,16.07,16.5,14.3,1675481
2015-11-13,17.64,19.3794,15.85,2675433
2015-11-20,18.81,19.0,17.46,2019184
2015-11-27,20.01,20.19,18.82,1716121
2015-12-04,20.32,20.69,19.55,1897963
2015-12-11,20.34,20.86,19.44,2814696
2015-12-18,21.04,22.22,19.5,2586064
2015-12-25,20.78,21.4,20.5,1361694
2016-01-01,22.02,22.6,20.58,1001488
2016-01-08,19.56,22.64,19.15,2611314
2016-01-15,19.41,20.73,18.39,2001954
2016-01-22,19.64,19.95,18.1,1557441
2016-01-29,19.73,20.31,18.99,2366709
2016-02-05,23.79,24.4,19.65,6515762
2016-02-12,23.11,24.38,22.5001,3097556
2016-02-19,23.87,25.0,23.12,2612463
2016-02-26,24.0,24.85,23.39,2928554
2016-03-04,24.99,26.23,23.88,5045958
2016-03-11,25.37,25.44,22.13,3089225
2016-03-18,26.08,26.46,24.79,2963505
2016-03-25,26.73,27.25,25.84,2152868
2016-04-01,26.58,27.2,25.93,2229589
2016-04-08,27.46,27.91,25.93,2468092
2016-04-15,26.92,27.62,26.06,1510038
2016-04-22,25.62,27.05,24.01,3265875
2016-04-29,25.3,25.98,24.57,1924738
2016-05-06,24.47,26.54,23.43,4608680
2016-05-13,23.44,24.63,23.23,2694895
2016-05-20,22.46,23.705,20.8,4204482
2016-05-27,24.42,24.54,21.78,4034901
2016-06-03,24.53,26.0,24.17,3055174
2016-06-10,24.53,25.31,24.06,2358267
2016-06-17,24.97,27.39,23.9814,3779982
2016-06-24,24.23,25.58,23.75,8963807
2016-07-01,23.65,24.57,22.04,4639678
2016-07-08,24.51,24.56,23.02,1583749
2016-07-15,26.4,26.79,24.34,4049900
2016-07-22,27.49,27.68,26.22,3694027
2016-07-29,30.25,31.41,28.4,5213095
2016-08-05,31.33,31.89,29.31,2966285
2016-08-12,32.72,33.5,30.17,6067285
2016-08-19,34.6,34.79,31.82,4770474
2016-08-26,33.89,34.67,33.2,3986002
2016-09-02,35.24,35.45,33.8045,4168109
2016-09-09,36.43,38.0,35.39,4843109
2016-09-16,39.21,39.9,35.37,5804086
2016-09-23,40.97,41.805,39.2,5589129
2016-09-30,41.77,42.3536,40.32,4112450
2016-10-07,44.24,45.25,41.14,3697346
2016-10-14,40.47,44.99,39.12,5797933
2016-10-21,40.4,41.11,39.99,2174687
2016-10-28,37.45,41.99,34.7,5804047
2016-11-04,34.4,37.95,32.9,8357781
2016-11-11,36.6,37.05,34.31,5367527
2016-11-18,42.2,42.305,36.6,5911483
2016-11-25,41.2,42.5,40.05,2340297
2016-12-02,37.0,42.0,35.9,3942296
