date,adjClose,adjHigh,adjLow,adjVolume
2007-12-14,25.5,25.9,19.75,4618600
2007-12-21,28.41,31.0,24.74,721000
2007-12-28,26.01,30.0,25.82,180300
2008-01-04,27.46,29.43,24.98,388200
2008-01-11,26.19,27.25,25.4,367200
2008-01-18,21.78,26.08,18.61,511100
2008-01-25,25.29,25.94,20.0,194100
2008-02-01,23.0,25.2,22.56,217000
2008-02-08,22.82,24.5,22.7,142900
2008-02-15,25.08,26.25,21.02,253100
2008-02-22,26.7,27.6,25.45,105200
2008-02-29,27.12,28.05,25.38,128100
2008-03-07,23.86,27.84,22.88,226300
2008-03-14,20.5,24.23,18.97,237800
2008-03-21,22.4,23.1,19.89,100200
2008-03-28,20.74,23.87,20.64,229800
2008-04-04,19.48,21.0,16.5,1237600
2008-04-11,20.64,22.78,19.3,268400
2008-04-18,22.81,24.37,19.94,220700
2008-04-25,22.9,24.25,19.35,354100
2008-05-02,23.21,27.5,22.5,319700
2008-05-09,26.08,27.08,23.1,449200
2008-05-16,25.8,26.5,24.5,336500
2008-05-23,27.75,27.75,25.75,507100
2008-05-30,27.36,30.2,26.8981,572900
2008-06-06,23.95,27.81,23.45,446300
2008-06-13,24.05,25.86,22.79,611400
2008-06-20,24.62,24.85,21.74,3042800
2008-06-27,23.43,24.89,21.37,1243100
2008-07-04,21.28,23.55,20.78,861400
2008-07-11,23.0,23.0,20.45,702900
2008-07-18,23.72,23.75,21.1,689500
2008-07-25,23.37,25.75,22.78,677400
2008-08-01,25.0,25.28,23.01,765000
2008-08-08,26.38,26.4425,24.45,557300
2008-08-15,25.05,26.75,24.59,399700
2008-08-22,23.6,24.96,23.03,246200
2008-08-29,23.57,24.24,23.29,518700
2008-09-05,23.75,24.36,23.26,498800
2008-09-12,28.58,29.47,23.93,1752900
2008-09-19,28.93,29.1,25.86,1281000
2008-09-26,29.0,29.0,26.41,604300
2008-10-03,24.62,28.1,22.82,1049800
2008-10-10,19.99,24.42,19.3,1362900
2008-10-17,24.85,25.27,20.0,1107900
2008-10-24,22.77,25.95,21.06,1104300
2008-10-31,27.38,27.5,22.55,1243100
2008-11-07,23.94,28.53,23.75,1022200
2008-11-14,20.85,25.9899,20.52,2065900
2008-11-21,17.41,20.85,16.4,1948800
2008-11-28,18.25,18.85,16.62,641000
2008-12-05,18.68,18.92,15.68,746400
2008-12-12,18.25,20.55,17.16,1112700
2008-12-19,17.55,18.41,16.6088,870300
2008-12-26,18.43,19.05,15.13,963400
2009-01-02,18.71,19.73,17.64,635000
2009-01-09,16.48,19.11,15.35,1250400
2009-01-16,19.3,19.46,14.42,1656400
2009-01-23,16.24,19.0,15.51,887300
2009-01-30,15.97,17.52,15.22,890900
2009-02-06,16.65,17.08,15.16,870000
