date,adjClose,adjHigh,adjLow,adjVolume
2017-06-30,10.06,10.25,10.0,4348
2017-07-07,9.84,10.06,9.7,1380
2017-07-14,9.85,9.85,9.84,200
2017-07-21,9.9,9.95,9.8,57807
2017-07-28,9.9,9.9,9.9,0
2017-08-04,9.9,9.9,9.9,12
2017-08-11,9.88,9.88,9.88,300
2017-08-18,9.8,9.88,9.7,249652
2017-08-25,9.8,9.8,9.77,233572
2017-09-01,9.8092,9.85,9.7778,2360
2017-09-08,9.85,9.85,9.8,107819
2017-09-15,9.8,9.85,9.7,87348
2017-09-22,9.8109,9.84,9.7,2283
2017-09-29,9.7722,9.8109,9.7073,44862
2017-10-06,9.86,10.0683,9.7,785000
2017-10-13,9.859,9.86,9.75,21950
2017-10-20,9.83,10.06,9.72,115847
2017-10-27,9.77,10.055,9.77,227068
2017-11-03,9.758,9.77,9.74,129843
2017-11-10,9.72,9.73,9.72,330400
2017-11-17,9.7,9.855,9.7,608375
2017-11-24,9.72,9.72,9.7,52458
2017-12-01,9.72,9.72,9.665,3954479
2017-12-08,9.72,9.75,9.7029,30793
2017-12-15,9.75,9.75,9.683,184447
2017-12-22,9.73,9.77,9.69,41275
2017-12-29,9.74,9.75,9.73,500
2018-01-05,9.76,9.8,9.67,174171
2018-01-12,9.75,9.78,9.73,525889
2018-01-19,9.76,9.78,9.73,96551
2018-01-26,9.73,9.8,9.73,33910
2018-02-02,9.75,9.75,9.73,7489
2018-02-09,9.7,9.755,9.7,719960
2018-02-16,9.69,9.75,9.69,19000
2018-02-23,9.72,9.7301,9.69,11112
2018-03-02,9.75,9.78,9.7,36635
2018-03-09,9.75,9.75,9.75,32
2018-03-16,9.75,9.75,9.75,56
2018-03-23,10.13,10.3,9.73,11125639
2018-03-30,10.11,10.18,10.05,1162181
2018-04-06,10.06,10.11,10.05,66713
2018-04-13,10.09,10.1,10.06,2353538
2018-04-20,10.12,10.15,10.06,4186994
2018-04-27,10.27,10.32,10.12,6163240
2018-05-04,10.31,10.38,10.25,4997135
2018-05-11,10.38,10.4,10.25,5245498
2018-05-18,10.745,10.87,10.355,9027441
2018-05-25,10.28,10.849,10.28,2366987
2018-06-01,10.5,10.61,10.23,4052249
2018-06-08,10.7,10.7,10.45,7128893
2018-06-15,10.71,10.85,10.66,5993180
2018-06-22,10.69,10.8,10.49,2754799
2018-06-29,10.87,10.97,10.55,6489019
2018-07-06,10.97,11.0778,10.79,4558278
2018-07-13,11.59,11.6525,10.89,9518631
2018-07-20,12.55,12.88,11.45,8197412
2018-07-27,12.18,13.0,11.92,5955042
2018-08-03,13.09,13.2,12.01,6101285
2018-08-10,12.8,13.2,12.74,3281563
2018-08-17,13.1,13.4,12.23,5476454
2018-08-24,13.93,14.0899,13.12,7509990
2018-08-31,13.86,14.1,13.51,3649522
2018-09-07,13.39,14.16,13.21,3394494
2018-09-14,14.53,14.63,13.4,10698049
2018-09-21,14.39,14.74,14.07,14486074
2018-09-28,15.01,15.16,14.3,9744913
2018-10-05,14.94,15.23,14.61,5059078
2018-10-12,14.15,14.91,13.53,7380773
2018-10-19,13.97,14.69,13.85,4731419
2018-10-26,13.12,14.1,12.78,4815843
2018-11-02,12.29,13.24,12.18,4993064
2018-11-09,12.07,12.8,11.86,4558011
2018-11-16,12.95,13.1,11.63,8041814
2018-11-23,12.28,13.02,12.01,3324421
2018-11-30,12.18,12.75,11.87,7115706
2018-12-07,11.95,12.78,11.3,4852277
2018-12-14,11.0,11.9,10.99,3754681
2018-12-21,10.66,11.09,10.48,7824791
2018-12-28,10.76,10.95,9.88,3554063
2019-01-04,11.88,11.88,10.76,3021799
2019-01-11,12.16,12.68,11.8,6934807
2019-01-18,12.64,12.71,11.98,4600308
2019-01-25,12.3,12.75,11.73,8304028
2019-02-01,11.94,12.33,11.77,4122445
2019-02-08,11.05,11.96,10.95,4643435
2019-02-15,12.73,12.74,10.83,5536497
2019-02-22,12.56,12.77,12.23,3618384
2019-03-01,12.41,12.66,12.0,6078992
2019-03-08,12.22,12.9,12.0,6064069
2019-03-15,12.55,12.7,12.19,7022412
2019-03-22,11.92,12.8,11.92,6890948
2019-03-29,12.0,12.37,11.72,4118564
2019-04-05,12.8,13.0,12.05,4552077
2019-04-12,13.66,13.75,12.84,4149628
2019-04-19,13.55,13.79,13.21,3502200
2019-04-26,13.49,14.13,13.29,3763470
2019-05-03,12.98,13.48,12.53,3875796
2019-05-10,12.65,13.28,12.28,7453742
2019-05-17,12.36,12.7,12.25,4861009
2019-05-24,11.57,12.73,11.4,4218597
2019-05-31,11.03,11.65,11.0,4567635
2019-06-07,11.67,11.92,10.69,8982467
2019-06-14,10.6,11.755,10.6,5831583
2019-06-21,11.48,11.67,10.5,6571876
2019-06-28,11.58,11.765,11.14,18095364
2019-07-05,11.34,12.02,11.19,4316026
2019-07-12,10.87,11.535,10.63,8387471
2019-07-19,10.8,11.01,10.395,10696074
2019-07-26,10.79,11.26,10.74,6727287
2019-08-02,10.4,11.49,10.14,6363990
2019-08-09,10.09,10.345,9.265,9571769
2019-08-16,10.12,10.32,9.57,6566870
2019-08-23,9.91,10.51,9.835,6957651
2019-08-30,10.21,10.55,9.785,6285799
2019-09-06,10.33,10.61,9.86,5864082
2019-09-13,10.75,11.28,10.36,8227690
2019-09-20,11.65,12.2,11.44,9080355
2019-09-27,11.16,11.85,10.72,5622350
2019-10-04,10.53,11.28,10.135,6490432
2019-10-11,10.55,10.69,9.91,6055995
2019-10-18,10.05,10.58,10.03,5621215
2019-10-25,10.49,10.65,10.03,4371580
2019-11-01,10.15,10.73,9.53,7499364
2019-11-08,11.8,11.86,10.32,7555132
2019-11-15,11.71,11.85,11.41,3976702
2019-11-22,11.5,11.7,11.08,4978618
2019-11-29,10.86,11.7,10.825,2753334
2019-12-06,11.51,11.58,10.88,5239378
2019-12-13,11.87,12.265,11.38,7415090
2019-12-20,12.41,12.72,11.98,8117687
2019-12-27,12.59,12.85,12.38,3134568
2020-01-03,12.92,13.03,12.36,4128395
2020-01-10,12.5,13.285,12.15,4941498
2020-01-17,12.36,12.61,12.13,4148626
