date,adjClose,adjHigh,adjLow,adjVolume
2009-11-27,26.51,28.1,26.45,330041
2009-12-04,28.58,28.74,25.6,745777
2009-12-11,27.64,28.62,26.87,591929
2009-12-18,28.76,28.91,27.44,1356594
2009-12-25,29.86,30.02,28.54,475470
2010-01-01,29.23,30.09,29.23,432806
2010-01-08,32.43,32.95,29.46,1006832
2010-01-15,32.8,33.63,31.59,633315
2010-01-22,31.87,33.6,31.55,517171
2010-01-29,30.18,32.1,30.17,919947
2010-02-05,30.32,31.87,29.41,918563
2010-02-12,31.91,32.29,29.34,785421
2010-02-19,33.78,34.28,31.68,623191
2010-02-26,33.96,34.34,33.46,777120
2010-03-05,36.08,36.4,34.04,974031
2010-03-12,36.56,37.17,35.86,491461
2010-03-19,36.28,37.51,36.2,570666
2010-03-26,36.9,40.21,35.83,961984
2010-04-02,35.69,37.17,35.16,599746
2010-04-09,35.63,36.12,34.86,530000
2010-04-16,37.94,38.41,35.49,827750
2010-04-23,39.29,39.31,36.97,551740
2010-04-30,37.17,39.77,37.0,762801
2010-05-07,33.2,39.27,31.38,873219
2010-05-14,35.96,37.15,34.66,741479
2010-05-21,33.0,36.69,31.32,927524
2010-05-28,33.01,33.58,30.475,672252
2010-06-04,30.77,33.9399,30.65,568752
2010-06-11,32.66,32.99,30.18,959160
2010-06-18,33.31,34.09,32.45,582762
2010-06-25,33.17,34.23,31.84,688401
2010-07-02,31.9,34.43,31.03,813950
2010-07-09,34.13,34.2,31.65,553868
2010-07-16,32.7,35.19,32.16,821184
2010-07-23,35.65,36.29,31.67,867005
2010-07-30,35.81,37.71,34.02,808149
2010-08-06,34.39,37.48,33.47,649775
2010-08-13,31.71,34.98,31.11,761465
2010-08-20,31.89,33.29,31.15,586943
2010-08-27,32.07,32.48,29.95,480685
2010-09-03,34.38,34.42,30.46,620000
2010-09-10,34.69,35.44,33.65,412520
2010-09-17,34.79,36.03,33.58,669154
2010-09-24,36.74,36.79,34.15,563429
2010-10-01,35.4,36.85,35.09,778158
2010-10-08,35.91,36.77,33.97,717621
2010-10-15,37.13,37.62,35.1,620638
2010-10-22,37.3,38.1,36.32,562369
2010-10-29,37.6,37.97,36.61,429104
2010-11-05,38.85,39.48,36.76,779210
2010-11-12,36.94,38.95,36.87,437814
2010-11-19,36.32,37.2,36.26,854876
2010-11-26,36.93,37.23,35.09,414882
2010-12-03,39.45,39.57,35.85,1054327
2010-12-10,39.39,40.67,39.01,843978
2010-12-17,38.74,39.96,38.52,816910
2010-12-24,39.65,39.82,38.36,526939
2010-12-31,39.8,40.04,39.07,311574
2011-01-07,43.0,43.43,39.98,1094757
2011-01-14,43.03,43.52,42.17,767091
2011-01-21,42.51,43.4,42.36,555785
2011-01-28,42.13,44.48,42.08,781565
2011-02-04,44.07,45.01,39.24,869825
2011-02-11,45.15,45.4,43.92,464704
2011-02-18,46.14,46.31,44.6207,710172
2011-02-25,45.57,45.66,43.64,757105
2011-03-04,44.52,46.0,43.54,1149985
2011-03-11,43.39,45.65,42.64,492708
2011-03-18,43.08,43.2,41.3,671855
2011-03-25,44.88,45.62,43.48,461451
2011-04-01,45.57,46.38,44.52,408981
2011-04-08,44.72,46.46,44.4,442437
2011-04-15,43.27,44.9,42.63,410144
2011-04-22,42.76,43.08,41.5601,438640
2011-04-29,44.12,44.44,42.41,572792
2011-05-06,41.53,44.44,40.64,651702
2011-05-13,40.87,42.58,40.73,488023
2011-05-20,40.6,41.09,39.54,1002297
2011-05-27,41.08,41.38,39.605,848213
2011-06-03,40.5,41.64,40.06,1457428
2011-06-10,40.26,40.98,40.12,1290536
2011-06-17,40.38,41.16,40.02,832388
2011-06-24,41.23,41.94,40.27,924328
2011-07-01,44.57,44.65,41.04,565478
2011-07-08,44.89,45.45,44.03,441156
2011-07-15,42.54,44.69,42.0,572848
