date,adjClose,adjHigh,adjLow,adjVolume
2014-06-20,386.25,407.7,380.55,1805524
2014-06-27,382.65,388.35,364.05,429389
2014-07-04,363.9,383.85,358.65,195914
2014-07-11,358.8,370.95,352.8,154528
2014-07-18,330.9,366.15,328.65,311394
2014-07-25,298.05,331.35,294.75,259217
2014-08-01,306.45,320.7,286.05,281710
2014-08-08,312.6,314.4,297.15,189326
2014-08-15,288.75,321.7485,282.3,372110
2014-08-22,269.1,292.05,267.3,254356
2014-08-29,274.35,277.5,258.9,300673
2014-09-05,270.3,279.0,264.825,198472
2014-09-12,261.9,280.2,255.3,201101
2014-09-19,254.25,276.9,252.0,347763
2014-09-26,254.25,258.6,237.75,316974
2014-10-03,223.5,257.325,215.55,434039
2014-10-10,193.95,225.3,188.25,366102
2014-10-17,205.5,216.3,183.3,359743
2014-10-24,187.8,213.0,182.4,157902
2014-10-31,196.65,204.6,169.65,300273
2014-11-07,206.4,208.5,178.65,201010
2014-11-14,197.55,219.75,186.0,361600
2014-11-21,195.6,202.35,183.9,189917
2014-11-28,161.85,204.3,161.85,188683
2014-12-05,118.35,157.5,111.3,378291
2014-12-12,83.4,115.8,83.025,337182
2014-12-19,105.15,111.15,77.7,643282
2014-12-26,110.25,112.5,98.55,216983
2015-01-02,106.65,122.8485,96.45,658481
2015-01-09,85.95,105.0,76.125,743484
2015-01-16,85.35,89.85,79.05,520802
2015-01-23,88.5,91.65,81.15,263018
2015-01-30,93.0,95.25,83.475,573598
2015-02-06,107.55,121.5,91.2,955765
2015-02-13,109.35,112.35,102.15,624986
2015-02-20,109.65,113.7,105.15,290999
2015-02-27,107.55,111.6,103.35,319611
2015-03-06,97.65,112.2,90.15,665987
2015-03-13,83.85,96.9,81.15,463447
2015-03-20,90.6,97.5,79.5,445043
2015-03-27,85.65,94.725,82.8,316560
2015-04-03,87.0,87.6,80.4,186930
2015-04-10,85.35,94.35,84.3,270814
2015-04-17,96.45,97.5,83.85,536941
2015-04-24,90.15,97.05,86.85,392894
2015-05-01,93.75,96.45,87.75,415935
2015-05-08,95.1,103.65,85.2,565901
2015-05-15,102.6,104.55,93.15,346794
2015-05-22,106.65,109.35,100.5,264057
2015-05-29,94.5,107.1,92.25,313946
2015-06-05,91.05,100.05,90.0,391060
2015-06-12,92.4,98.85,86.7,531666
2015-06-19,81.9,93.6,78.975,781217
2015-06-26,81.3,86.85,77.475,527381
2015-07-03,76.95,80.25,74.55,363930
2015-07-10,70.35,75.6,67.5,451187
2015-07-17,70.2,80.25,69.0,558914
2015-07-24,58.65,70.5,58.275,440702
2015-07-31,57.75,65.1,55.05,373932
2015-08-07,62.25,66.75,53.85,352257
2015-08-14,64.35,73.8,61.35,396451
2015-08-21,50.7,66.3,49.8,482656
2015-08-28,56.1,60.0,45.3,356192
2015-09-04,52.8,60.15,49.8,275193
2015-09-11,45.3,54.0,44.7,149578
2015-09-18,45.75,56.1,43.65,466766
2015-09-25,36.3,46.8,36.0,398299
2015-10-02,38.25,38.55,27.9,588924
2015-10-09,49.95,52.95,38.25,356248
2015-10-16,48.0,50.85,42.375,177214
2015-10-23,41.7,47.2695,39.0,162449
2015-10-30,32.25,42.0,30.9,413145
2015-11-06,35.7,38.7,31.8,272870
2015-11-13,39.6,42.3,31.125,761723
2015-11-20,36.45,42.0,35.25,255735
2015-11-27,35.25,37.35,34.2,101512
2015-12-04,34.2,38.4,31.05,337345
2015-12-11,28.8,33.153,27.9,258296
2015-12-18,20.85,28.95,20.25,323438
2015-12-25,25.2,25.35,19.65,161643
2016-01-01,27.3,27.75,23.25,142218
2016-01-08,22.95,29.1,22.35,196944
2016-01-15,11.982,22.8,11.544,413647
2016-01-22,19.5,25.05,11.1,511658
2016-01-29,18.15,22.35,16.2,331681
2016-02-05,12.15,18.0,12.0045,217403
2016-02-12,10.6335,13.35,9.75,181717
2016-02-19,10.5105,12.6,10.35,98874
2016-02-26,12.8715,13.05,10.2,125558
2016-03-04,17.25,18.9,13.05,462082
2016-03-11,15.15,19.35,14.7,320117
2016-03-18,22.95,31.35,13.5,645498
2016-03-25,19.8,24.6,18.0,236978
2016-04-01,21.9,22.2,18.3,123529
2016-04-08,23.7,24.15,19.8,311806
2016-04-15,26.55,30.0,23.55,227848
2016-04-22,30.3,32.25,21.9,233807
2016-04-29,36.45,40.8,30.0,315372
2016-05-06,38.85,44.067,33.057,260910
2016-05-13,38.4,42.75,35.25,211772
2016-05-20,37.8,42.7215,32.1,221421
2016-05-27,39.45,42.45,36.45,206850
2016-06-03,44.55,45.75,38.7,339139
2016-06-10,56.55,60.45,44.25,373100
2016-06-17,60.15,62.55,53.7,272621
2016-06-24,63.45,66.324,56.7,317567
2016-07-01,50.25,64.2,46.875,2298395
2016-07-08,39.15,49.5,38.4,1291121
2016-07-15,39.75,42.45,36.225,854612
2016-07-22,41.25,42.9,37.35,424165
2016-07-29,47.25,48.0,39.15,770397
2016-08-05,51.6,52.35,41.85,716618
2016-08-12,51.45,54.45,48.6,473734
2016-08-19,54.3,56.4,51.9,420783
2016-08-26,51.45,54.15,50.85,440812
2016-09-02,50.25,53.7,46.95,333537
2016-09-09,51.9,57.15,50.7,342729
2016-09-16,49.05,53.4,47.25,344266
2016-09-23,48.6,53.1,45.75,347382
2016-09-30,49.35,50.7,43.65,444853
2016-10-07,52.8,54.9,49.35,398970
2016-10-14,50.4,54.9,48.0,269802
2016-10-21,49.5,51.45,48.0,189726
2016-10-28,42.9,50.7,39.9,546683
2016-11-04,37.35,42.6,34.8,505110
2016-11-11,38.55,41.25,36.15,323639
2016-11-18,43.95,44.6985,36.75,304151
2016-11-25,45.6,46.98,41.25,247219
2016-12-02,46.65,48.15,38.625,532618
2016-12-09,48.0,49.8,46.725,329051
2016-12-16,43.65,49.8,40.8,801187
2016-12-23,41.55,45.4485,40.2,352359
2016-12-30,40.05,42.45,38.4105,237415
2017-01-06,39.6,42.15,37.125,268566
2017-01-13,36.0,38.925,34.8,328548
2017-01-20,36.6,38.25,35.25,269608
2017-01-27,35.25,37.95,34.8,353385
2017-02-03,37.05,37.5,33.75,285142
2017-02-10,40.05,41.1,36.0,357293
2017-02-17,37.35,41.1,36.75,193560
2017-02-24,32.25,38.097,31.65,215433
2017-03-03,39.3,39.3,31.65,398407
2017-03-10,35.85,39.45,33.45,311328
2017-03-17,33.3,36.45,31.8,202220
2017-03-24,35.55,35.775,30.45,241991
