date,adjClose,adjHigh,adjLow,adjVolume
2016-05-06,26.5,28.16,22.0,244244
2016-05-13,25.03,28.0,24.25,1783283
2016-05-20,24.93,27.15,24.5,19404694
2016-05-27,27.9,28.0,24.71,8832728
2016-06-03,31.74,32.05,27.7991,4350551
2016-06-10,33.93,34.75,31.33,3629348
2016-06-17,34.73,35.31,33.5,4534823
2016-06-24,34.19,35.12,33.68,6452016
2016-07-01,34.4,35.27,33.02,3919259
2016-07-08,36.44,36.8899,33.9001,1915843
2016-07-15,38.31,39.79,36.42,2743805
2016-07-22,39.96,40.22,37.555,2193639
2016-07-29,38.27,41.13,37.96,2125002
2016-08-05,43.36,44.21,37.32,3351447
2016-08-12,44.36,45.34,42.7,2033653
2016-08-19,41.95,45.22,41.21,2143976
2016-08-26,43.4,43.58,41.05,1952175
2016-09-02,44.45,45.03,43.25,1869922
2016-09-09,43.36,46.57,42.74,1338951
2016-09-16,46.01,46.71,41.82,1976981
2016-09-23,47.77,48.0,45.58,1107804
2016-09-30,46.1,48.3,46.07,1465516
2016-10-07,43.0,46.38,42.63,2164158
2016-10-14,42.64,43.605,42.01,804078
2016-10-21,42.36,42.96,41.5701,802662
2016-10-28,41.13,43.865,40.53,1197064
2016-11-04,45.09,46.25,40.24,2134973
2016-11-11,48.79,49.12,43.7848,1636743
2016-11-18,50.5,52.11,47.9929,1305279
2016-11-25,53.57,53.59,50.23,726079
2016-12-02,49.85,53.48,49.34,1259393
2016-12-09,50.37,51.92,48.74,1430984
2016-12-16,54.02,55.15,50.07,1763174
2016-12-23,53.89,55.43,52.54,1049405
2016-12-30,54.86,55.18,53.74,489156
2017-01-06,54.85,55.765,52.74,937531
2017-01-13,53.0,54.85,51.011,1276636
2017-01-20,52.49,53.23,51.83,902233
2017-01-27,55.26,55.59,52.25,1182330
2017-02-03,56.3,56.43,53.545,1093730
2017-02-10,55.3,56.8,54.96,956966
2017-02-17,55.48,57.8,54.38,1177122
2017-02-24,53.47,57.04,53.02,1530994
2017-03-03,59.48,60.02,52.79,2579409
2017-03-10,59.1,59.16,57.25,1192791
2017-03-17,60.72,60.99,58.7,1793448
2017-03-24,61.0,61.65,59.94,1711893
2017-03-31,60.85,62.8,59.79,1341542
2017-04-07,57.27,60.96,56.92,1571965
2017-04-14,59.45,60.58,57.0,1131330
2017-04-21,62.0,62.22,58.76,1061177
2017-04-28,63.23,65.02,62.23,1273163
2017-05-05,58.59,63.92,56.65,1647541
2017-05-12,59.13,60.6,57.1,1287978
2017-05-19,58.0,60.0,56.16,1409712
2017-05-26,59.51,60.07,57.87,1033009
2017-06-02,59.26,60.04,57.54,952247
2017-06-09,59.98,60.53,56.84,919494
2017-06-16,57.1,60.28,56.36,880201
2017-06-23,55.18,58.11,54.6,1485995
2017-06-30,57.4,57.77,53.62,1000634
2017-07-07,57.35,58.14,55.63,532534
2017-07-14,57.55,58.53,56.3,712101
2017-07-21,57.51,59.03,57.35,1016956
2017-07-28,58.98,59.69,56.71,907752
2017-08-04,61.4,62.15,57.42,1316238
2017-08-11,56.94,61.8,55.25,1088597
2017-08-18,55.93,57.47,55.07,934490
2017-08-25,61.36,62.17,55.41,1692775
2017-09-01,63.91,64.0,60.75,1019366
2017-09-08,61.2,64.05,60.9,661258
2017-09-15,59.32,61.96,58.79,1380242
2017-09-22,61.82,62.0,58.81,1271124
2017-09-29,62.47,63.77,59.63,1271262
2017-10-06,65.67,66.01,62.86,1603702
2017-10-13,68.99,69.0,65.8,1226378
2017-10-20,69.61,70.71,68.17,1080419
2017-10-27,71.48,71.61,69.53,592894
2017-11-03,75.49,75.6,69.52,1204331
2017-11-10,73.88,76.0,71.6,1134757
2017-11-17,73.32,75.89,72.56,864834
2017-11-24,76.27,77.79,73.19,902272
2017-12-01,79.06,79.87,75.41,1682977
2017-12-08,75.47,80.18,75.32,1278020
2017-12-15,70.56,75.9,70.12,2243382
2017-12-22,70.95,73.28,70.621,1364933
2017-12-29,70.47,71.68,70.41,651526
2018-01-05,73.81,73.9,70.21,1227441
2018-01-12,74.55,75.9,72.0795,871705
2018-01-19,76.63,76.84,73.1502,797203
2018-01-26,75.42,76.99,74.77,848239
2018-02-02,72.95,75.76,71.291,989539
2018-02-09,69.4,73.71,66.57,1260997
2018-02-16,72.35,74.2799,68.41,1124443
2018-02-23,81.25,81.37,71.57,1154604
2018-03-02,75.95,82.1014,72.72,1688638
2018-03-09,81.49,81.85,74.855,1250130
2018-03-16,77.25,81.84,74.92,1512334
2018-03-23,73.52,78.8,73.49,807226
2018-03-30,73.69,75.92,71.98,736657
2018-04-06,74.03,77.33,70.7114,909363
2018-04-13,77.77,78.15,73.17,898187
2018-04-20,81.95,82.23,77.9,1284014
2018-04-27,77.66,82.67,77.405,713331
2018-05-04,77.11,79.37,75.01,1274753
2018-05-11,81.64,81.97,76.87,1326480
2018-05-18,84.03,84.69,78.64,1379298
2018-05-25,77.3,84.87,77.1,876769
2018-06-01,77.07,79.43,76.13,793361
2018-06-08,80.28,80.86,76.59,1117346
2018-06-15,82.8,83.11,80.37,1176760
2018-06-22,81.09,83.7,80.94,1652843
2018-06-29,80.86,82.23,79.25,1402164
2018-07-06,85.03,85.22,79.95,705644
2018-07-13,88.2,88.86,84.41,977301
2018-07-20,89.98,91.323,87.39,1553717
2018-07-27,99.06,100.2,86.8,2102759
2018-08-03,98.33,100.86,96.26,1147281
2018-08-10,100.21,101.665,97.8,734363
2018-08-17,98.56,101.22,96.24,700614
2018-08-24,100.42,101.35,98.34,745980
2018-08-31,101.01,101.79,99.0,852848
2018-09-07,99.32,102.04,98.68,645841
2018-09-14,102.87,103.19,97.47,769875
2018-09-21,104.93,106.59,100.57,1175249
2018-09-28,101.88,104.525,101.09,1014888
2018-10-05,96.21,103.8079,94.27,1691930
2018-10-12,84.94,96.92,82.5801,1992155
2018-10-19,88.63,91.11,82.75,1563362
2018-10-26,86.73,90.0025,82.4,1815424
2018-11-02,98.66,99.53,85.03,1623215
2018-11-09,98.53,104.82,96.15,1303902
2018-11-16,99.04,99.5414,94.19,1260623
2018-11-23,95.62,98.81,91.61,514019
2018-11-30,98.01,99.59,93.46,949009
2018-12-07,85.18,101.78,84.6,1299193
2018-12-14,82.98,87.86,77.53,2509653
2018-12-21,77.79,84.36,77.26,1990014
2018-12-28,82.09,83.67,74.98,854723
2019-01-04,83.99,85.35,79.51,817630
2019-01-11,88.23,89.67,83.75,766783
2019-01-18,92.78,93.89,85.42,831430
2019-01-25,91.61,92.84,87.7,650444
