date,adjClose,adjHigh,adjLow,adjVolume
2007-04-13,4.0,4.0,4.0,400
2007-04-20,4.0,4.0,4.0,0
2007-04-27,3.4,4.0,3.4,4400
2007-05-04,4.5,5.0,3.4,10700
2007-05-11,4.9,4.9,4.0,7900
2007-05-18,4.75,4.9,4.75,2500
2007-05-25,4.4,4.5,4.1,8900
2007-06-01,4.25,4.4,4.15,3300
2007-06-08,4.3,4.4,4.0,17900
2007-06-15,4.1,4.35,4.1,6000
2007-06-22,5.5,5.5,4.0,16300
2007-06-29,5.25,5.4,4.2,31600
2007-07-06,5.6,5.6,4.95,9400
2007-07-13,5.5,6.0,4.4,16200
2007-07-20,5.0,6.0,4.5,10700
2007-07-27,5.4,5.5,5.25,4100
2007-08-03,5.25,5.25,5.0,3700
2007-08-10,4.9,5.25,4.3,3600
2007-08-17,5.5,6.5,4.75,31400
2007-08-24,5.3,5.5,5.05,4300
2007-08-31,5.2,5.3,4.7,4700
2007-09-07,5.2,5.2,4.7,2200
2007-09-14,5.05,5.2,4.5,13800
2007-09-21,5.02,5.05,4.27,319100
2007-09-28,4.95,4.95,4.7,19700
2007-10-05,5.12,5.6,4.5,58000
2007-10-12,5.0,5.13,4.4,19000
2007-10-19,5.2,5.3,4.57,612000
2007-10-26,5.25,5.38,4.9,48600
2007-11-02,5.6,5.79,5.25,124900
2007-11-09,5.48,5.85,5.05,311300
2007-11-16,5.4,5.5,5.17,98100
2007-11-23,5.4,5.4,5.25,142100
2007-11-30,6.39,6.95,5.35,530800
2007-12-07,7.8,7.9,6.1,533000
2007-12-14,7.2,8.45,6.5,386700
2007-12-21,6.95,7.2,6.4,174800
2007-12-28,6.55,6.95,6.0,226300
2008-01-04,6.75,6.95,6.1,85400
2008-01-11,6.8,7.05,6.51,229900
2008-01-18,6.5,6.98,6.5,1000400
2008-01-25,6.1,6.15,5.75,319300
2008-02-01,6.29,6.35,6.0,553100
2008-02-08,6.15,6.35,5.98,130800
2008-02-15,6.15,6.3,6.0,717800
2008-02-22,6.0,6.15,5.75,226400
2008-02-29,6.75,6.75,5.65,1554400
2008-03-07,6.65,7.05,6.4,335400
2008-03-14,7.0,7.2,6.45,261500
2008-03-21,7.05,7.3,6.85,188400
2008-03-28,7.05,7.13,6.95,834400
2008-04-04,7.17,7.22,6.95,767800
2008-04-11,9.02,9.74,7.17,3210100
2008-04-18,10.01,10.61,9.19,2884800
2008-04-25,9.25,10.15,8.8,1197300
2008-05-02,9.65,9.99,9.25,949500
2008-05-09,10.31,10.89,9.65,1910700
2008-05-16,10.77,11.2,9.9,1392700
2008-05-23,10.29,11.84,8.88,3105200
2008-05-30,11.6,11.75,9.96,1446600
2008-06-06,14.18,15.1,11.02,6633200
2008-06-13,13.69,15.11,12.7,3505800
2008-06-20,15.55,16.4,13.0,5131700
2008-06-27,14.07,16.38,13.2601,4304500
2008-07-04,12.79,14.24,12.5,2140200
2008-07-11,13.0,13.5,10.12,3160000
2008-07-18,11.11,13.25,10.65,1958200
2008-07-25,9.82,13.0,9.7,2545500
2008-08-01,9.08,9.74,8.51,1786300
2008-08-08,7.2,9.1,6.62,2868300
2008-08-15,7.8,8.65,6.7,2433500
2008-08-22,7.44,8.2699,6.92,1390600
2008-08-29,7.4,8.05,7.04,1176400
2008-09-05,6.36,7.32,5.81,1582100
2008-09-12,6.42,6.57,5.14,1707200
2008-09-19,7.29,8.25,5.64,2318000
2008-09-26,8.5,8.62,6.7,1825000
2008-10-03,6.4,8.49,6.36,2061100
2008-10-10,4.3,6.0,2.52,2256800
2008-10-17,4.1,4.99,3.1,2042400
2008-10-24,4.02,4.8,3.86,1057500
2008-10-31,5.45,5.45,3.8,1034700
2008-11-07,5.03,5.99,4.85,1148800
2008-11-14,4.0,5.32,3.69,751200
2008-11-21,3.2,4.04,2.6,728700
2008-11-28,4.19,4.2,3.27,871300
2008-12-05,2.4,4.1,2.25,926700
2008-12-12,3.41,4.25,2.6,1628600
2008-12-19,2.71,4.0,2.71,1430400
2008-12-26,2.45,2.95,2.11,895700
2009-01-02,2.66,2.75,2.05,1683700
2009-01-09,3.07,3.84,2.6,1991000
2009-01-16,2.93,3.13,2.62,856200
2009-01-23,2.93,3.06,2.7,404000
2009-01-30,3.16,3.23,2.94,649800
2009-02-06,3.6,3.6,2.95,683100
2009-02-13,3.16,3.49,2.91,609000
2009-02-20,2.96,3.25,2.9,467400
2009-02-27,2.64,3.14,2.64,637100
2009-03-06,2.22,2.88,2.01,927200
2009-03-13,2.61,2.77,2.1,920600
2009-03-20,3.44,3.75,2.46,1460000
2009-03-27,3.95,4.24,3.5,933800
