date,adjClose,adjHigh,adjLow,adjVolume
2012-04-27,13.0,14.03,12.5,504500
2012-05-04,13.99,13.99,13.0,68200
2012-05-11,13.0,13.5,12.75,53000
2012-05-18,13.0,13.5,12.9,65200
2012-05-25,13.25,13.5,12.75,44100
2012-06-01,13.0,13.5,12.75,12200
2012-06-08,12.5,13.0,11.0,159900
2012-06-15,12.25,12.5,12.25,12100
2012-06-22,11.85,12.25,11.8,13200
2012-06-29,11.25,11.88,11.0,199500
2012-07-06,11.37,11.37,11.0,40800
2012-07-13,11.25,11.37,11.0,14600
2012-07-20,12.5,13.0,11.19,174200
2012-07-27,12.5,12.5,12.0,465400
2012-08-03,12.3,13.0,12.0,116800
2012-08-10,13.5,13.5,12.3,355100
2012-08-17,13.5,13.5,13.5,200
2012-08-24,14.5,14.75,13.9,39200
2012-08-31,14.05,15.0,14.0,93100
2012-09-07,14.9,14.99,14.0,6400
2012-09-14,14.25,14.25,14.0,600
2012-09-21,14.9,15.0,14.0,11800
2012-09-28,15.0,15.0,14.5,5900
2012-10-05,16.25,16.25,15.0,6800
2012-10-12,15.5,17.5,15.2,20100
2012-10-19,22.38,23.25,15.45,2653000
2012-10-26,21.46,22.7,20.11,690200
2012-11-02,21.53,22.0,18.18,150300
2012-11-09,20.08,22.1,17.7601,197100
2012-11-16,18.45,21.6,16.075,330800
2012-11-23,18.34,19.09,18.06,290200
2012-11-30,20.6,21.93,17.6,347900
2012-12-07,19.38,21.5,18.25,435500
2012-12-14,19.5,20.38,18.71,589700
2012-12-21,18.78,20.91,18.232,411900
2012-12-28,18.79,19.43,18.27,94500
2013-01-04,19.35,19.82,18.22,379700
2013-01-11,21.27,22.005,18.52,678200
2013-01-18,23.12,23.9,20.85,587200
2013-01-25,26.37,27.95,22.885,592500
2013-02-01,23.56,26.16,22.4348,719700
2013-02-08,23.25,23.8767,22.0,517000
2013-02-15,24.12,25.82,22.33,445800
2013-02-22,24.5,25.742,22.8,288400
2013-03-01,26.57,27.76,24.0,602000
2013-03-08,28.67,29.06,24.57,562600
2013-03-15,29.12,29.699,27.42,709400
2013-03-22,31.19,31.37,27.45,614100
2013-03-29,33.39,34.9805,30.63,550400
2013-04-05,30.6,34.61,30.49,561200
2013-04-12,31.97,32.62,29.815,679000
2013-04-19,34.43,36.7,31.66,559700
2013-04-26,33.0,35.64,32.53,606900
2013-05-03,30.85,33.26,30.05,855600
2013-05-10,29.0,31.18,27.4,383000
2013-05-17,37.36,39.34,28.97,1232800
2013-05-24,38.41,39.72,35.84,1359200
2013-05-31,38.93,39.89,38.38,1102400
2013-06-07,36.75,40.02,33.58,799600
2013-06-14,37.9,38.18,36.27,499000
2013-06-21,42.55,43.13,37.87,850700
2013-06-28,44.37,45.69,41.15,3005100
2013-07-05,55.8,56.83,44.39,1709100
2013-07-12,55.61,57.22,54.65,1380200
2013-07-19,54.05,56.469,51.93,974800
2013-07-26,53.9,59.02,53.21,898400
2013-08-02,50.68,54.21,49.311,732700
2013-08-09,52.6,58.59,49.3701,836700
2013-08-16,48.5,54.24,47.56,394100
