date,adjClose,adjHigh,adjLow,adjVolume
2011-02-04,7.03,7.25,6.95,1851500
2011-02-11,6.92,7.05,6.18,348400
2011-02-18,6.45,7.04,6.16,119900
2011-02-25,7.1,7.15,6.51,72800
2011-03-04,6.93,7.15,6.71,39300
2011-03-11,6.88,7.1,6.79,29700
2011-03-18,7.0,7.6,6.7,114400
2011-03-25,7.05,7.3,6.96,59000
2011-04-01,7.03,7.59,7.0,225500
2011-04-08,7.05,7.4,6.97,160100
2011-04-15,7.15,7.15,6.8,167500
2011-04-22,7.87,7.97,7.07,221800
2011-04-29,10.54,11.36,7.87,1484500
2011-05-06,10.86,11.365,9.9,429400
2011-05-13,10.26,10.95,10.093,208600
2011-05-20,10.97,11.17,10.11,274400
2011-05-27,14.59,15.34,10.75,597700
2011-06-03,13.84,14.75,13.331,356800
2011-06-10,12.7,13.91,11.93,449900
2011-06-17,10.55,13.4817,9.92,680000
2011-06-24,12.0,12.89,10.26,1000700
2011-07-01,12.03,12.685,11.81,366600
2011-07-08,11.92,12.16,11.15,295000
2011-07-15,11.46,12.41,11.06,290000
2011-07-22,11.81,12.0,11.09,424500
2011-07-29,10.02,11.91,9.42,352100
2011-08-05,10.4,10.79,9.681,359500
2011-08-12,8.99,10.25,8.6,367900
2011-08-19,9.24,9.33,8.5171,307600
2011-08-26,8.68,9.35,8.3,188700
2011-09-02,7.33,8.9,7.06,629600
2011-09-09,8.33,8.852,7.35,329300
2011-09-16,10.56,10.64,8.11,428600
2011-09-23,10.42,11.07,9.538,256700
2011-09-30,9.93,10.98,9.5,234100
2011-10-07,9.21,10.0,8.25,380100
2011-10-14,10.05,10.25,9.2844,295600
2011-10-21,9.65,10.03,9.08,650700
2011-10-28,10.18,12.1,9.3,1346800
2011-11-04,7.71,11.05,6.6,4226200
2011-11-11,7.22,9.06,6.9409,1103000
2011-11-18,7.21,7.82,6.51,4246000
2011-11-25,7.15,7.71,7.0,679700
2011-12-02,7.81,8.0,6.99,1040900
2011-12-09,8.62,9.42,7.82,1136200
2011-12-16,8.08,8.6,7.86,1364800
2011-12-23,8.49,8.72,8.07,485600
2011-12-30,8.65,8.97,8.25,502400
2012-01-06,8.5,8.97,8.29,408600
2012-01-13,7.99,8.48,7.38,1176800
2012-01-20,8.85,8.92,7.99,621500
2012-01-27,10.04,10.17,8.57,653600
2012-02-03,10.72,11.2099,9.99,958500
2012-02-10,10.32,10.88,9.946,380000
2012-02-17,10.69,10.9699,10.05,475200
