date,adjClose,adjHigh,adjLow,adjVolume
2001-08-03,15.11,17.04,14.6,1180100
2001-08-10,14.2,15.7,14.11,1119800
2001-08-17,14.14,16.46,13.82,454000
2001-08-24,14.05,17.42,13.9,437200
2001-08-31,14.4,15.0,13.86,513900
2001-09-07,13.98,14.65,13.95,379600
2001-09-14,14.35,14.35,13.96,6500
2001-09-21,10.5,14.11,10.1,809100
2001-09-28,10.25,10.86,9.65,931200
2001-10-05,14.0,14.0,10.0,409900
2001-10-12,15.0,15.56,13.21,192300
2001-10-19,18.35,18.6,14.73,252800
2001-10-26,16.41,18.8,16.15,1001200
2001-11-02,15.7,17.0,15.7,466100
2001-11-09,15.6,16.1,14.7,1410900
2001-11-16,16.1,16.55,15.4,412200
2001-11-23,16.75,17.0,16.22,155800
2001-11-30,15.9,16.77,15.7,474700
2001-12-07,18.0,18.09,15.47,1232400
2001-12-14,19.57,21.7,17.63,684100
2001-12-21,19.31,20.5,18.6,188400
2001-12-28,21.35,22.61,19.0,1390200
2002-01-04,19.24,22.39,16.8,924400
2002-01-11,17.98,20.5,17.6,753100
2002-01-18,14.45,18.0,14.36,563900
2002-01-25,14.72,14.75,12.9,1459800
2002-02-01,13.75,15.1,12.3,1378000
2002-02-08,15.0,15.67,13.61,806000
2002-02-15,14.6,15.0,14.0,400400
2002-02-22,13.66,14.55,13.4,298000
2002-03-01,14.0,14.05,12.8,630900
2002-03-08,16.2,16.39,14.18,616100
2002-03-15,16.57,17.58,16.0,698200
2002-03-22,17.35,17.99,16.23,319600
2002-03-29,17.15,17.35,16.3,751500
2002-04-05,16.68,17.84,15.6,392400
2002-04-12,17.09,17.2,16.12,158300
2002-04-19,16.91,17.9,15.92,253300
2002-04-26,12.35,17.0,12.35,1317600
2002-05-03,13.2,13.4,12.25,526100
2002-05-10,12.86,13.53,12.4,121400
2002-05-17,11.2,13.42,11.05,547200
2002-05-24,10.4,11.1,9.92,276400
2002-05-31,10.2,10.49,9.7,383400
2002-06-07,10.39,10.69,9.981,217300
2002-06-14,9.85,10.61,9.43,187700
2002-06-21,6.9,10.07,6.15,267500
2002-06-28,7.31,7.9,6.28,1212700
2002-07-05,8.0,8.0,6.82,273000
2002-07-12,7.42,8.239,6.75,222600
2002-07-19,5.83,7.74,5.83,283700
2002-07-26,6.31,6.44,4.43,541600
2002-08-02,4.95,6.45,4.88,1002100
2002-08-09,5.03,5.41,4.89,479200
2002-08-16,5.3,5.6,4.9,241800
2002-08-23,6.65,7.2,5.29,151900
2002-08-30,6.0,6.55,5.45,147300
2002-09-06,5.98,6.01,5.37,154700
2002-09-13,6.22,6.65,5.75,95400
2002-09-20,5.58,6.42,5.37,171400
2002-09-27,5.2,5.66,5.18,389000
2002-10-04,5.46,5.7,5.09,127000
2002-10-11,5.69,5.74,5.4,316400
2002-10-18,5.94,6.21,5.6,462100
2002-10-25,6.7,6.7,5.8,40000
2002-11-01,8.66,8.7,6.13,220700
2002-11-08,7.61,9.1,7.38,369200
2002-11-15,7.7,7.7,6.97,204000
2002-11-22,7.88,8.64,7.5,513300
2002-11-29,8.18,8.81,7.59,100900
2002-12-06,8.8,9.23,8.13,217400
2002-12-13,7.0,8.8,6.81,139400
2002-12-20,7.199,7.949,6.75,465300
2002-12-27,6.88,8.7,6.71,256400
2003-01-03,6.281,7.31,5.87,230800
2003-01-10,7.6,7.82,6.2,355000
2003-01-17,6.56,7.85,6.56,154600
2003-01-24,5.48,7.29,5.3,677000
2003-01-31,6.25,6.49,5.1,432400
2003-02-07,6.88,6.99,6.26,187200
2003-02-14,6.96,7.0,6.19,272100
2003-02-21,7.29,7.62,6.8,378300
2003-02-28,6.01,7.2,5.98,203100
2003-03-07,6.89,7.01,6.02,79400
2003-03-14,7.12,7.25,6.87,295900
2003-03-21,6.379,6.89,6.05,144400
2003-03-28,6.78,7.18,6.34,181000
2003-04-04,6.9,6.98,6.33,95200
2003-04-11,6.9,7.05,6.73,151900
2003-04-18,6.88,7.0,6.4,64900
2003-04-25,6.4,7.009,6.1,113200
2003-05-02,8.2,8.27,6.4,276300
2003-05-09,8.01,8.45,7.79,285400
2003-05-16,9.0,9.01,7.5,323900
2003-05-23,9.67,9.7,8.2,281500
2003-05-30,10.94,11.12,9.05,448700
2003-06-06,10.9,13.22,10.32,652700
2003-06-13,11.42,11.99,10.6,329900
2003-06-20,12.28,12.5,11.13,493800
2003-06-27,11.74,12.56,11.51,315600
2003-07-04,11.66,12.1,11.22,328600
2003-07-11,12.19,12.47,11.65,342300
2003-07-18,13.41,14.46,12.0,576400
2003-07-25,13.75,13.85,13.14,269500
2003-08-01,12.28,13.95,11.4,446800
2003-08-08,12.05,12.95,11.96,308600
2003-08-15,11.95,12.19,11.78,436700
2003-08-22,11.6,12.01,11.37,217400
2003-08-29,12.08,12.39,11.31,527900
2003-09-05,12.14,12.94,11.98,229400
2003-09-12,10.73,12.23,10.5,119900
2003-09-19,10.59,11.2,10.52,246000
2003-09-26,9.45,10.58,9.25,253200
2003-10-03,12.69,13.01,10.3,441600
2003-10-10,12.5,13.74,12.47,176400
2003-10-17,13.93,14.25,12.88,423100
2003-10-24,12.03,14.3,12.03,336400
2003-10-31,11.8,12.37,11.34,389000
2003-11-07,13.55,13.55,11.32,768500
2003-11-14,13.62,13.73,13.01,476400
2003-11-21,11.5,13.55,11.1,254100
2003-11-28,11.23,12.07,10.56,206700
2003-12-05,12.5,13.25,11.4,274900
2003-12-12,13.8,13.88,12.16,394100
2003-12-19,13.75,14.24,12.4,284000
2003-12-26,14.23,14.34,13.21,201000
2004-01-02,14.26,15.5,13.85,393400
2004-01-09,15.0,15.35,14.11,302700
2004-01-16,15.36,15.53,14.53,254000
2004-01-23,15.02,15.57,14.44,154500
2004-01-30,12.21,15.55,12.18,380000
2004-02-06,12.44,12.72,11.3,461300
2004-02-13,12.272,12.6,11.68,1222500
2004-02-20,11.36,12.59,11.25,603800
2004-02-27,11.55,12.05,11.2,532600
2004-03-05,11.48,11.93,11.19,263300
2004-03-12,11.0,11.94,10.97,259300
2004-03-19,10.37,11.16,10.31,285900
2004-03-26,10.89,11.39,9.7,443900
2004-04-02,12.0,12.61,10.89,768700
2004-04-09,12.0,12.85,11.37,283100
2004-04-16,11.52,12.09,11.5,312700
2004-04-23,10.55,11.95,10.26,437500
2004-04-30,9.69,11.05,9.65,470300
2004-05-07,9.38,10.08,9.38,862900
2004-05-14,9.11,9.71,8.95,450800
2004-05-21,8.78,9.54,8.42,246900
2004-05-28,9.0,9.44,8.72,380700
2004-06-04,9.5,9.77,8.88,285600
2004-06-11,9.44,10.18,9.17,167400
2004-06-18,8.71,9.75,8.59,266300
2004-06-25,8.49,9.06,8.12,606900
2004-07-02,8.13,8.89,7.9,175000
2004-07-09,8.155,8.34,7.39,357400
2004-07-16,7.85,8.42,7.8,180400
2004-07-23,8.55,8.85,7.711,203000
2004-07-30,8.21,9.68,8.05,214000
2004-08-06,8.4,9.97,8.05,313900
2004-08-13,9.43,9.5,7.91,229600
2004-08-20,9.72,9.82,8.88,212300
2004-08-27,9.46,9.94,9.42,220800
2004-09-03,9.66,10.0,9.15,130100
2004-09-10,10.84,11.25,9.63,146700
2004-09-17,11.26,12.5,10.34,434200
2004-09-24,11.93,12.55,11.25,313900
2004-10-01,12.12,12.6,11.23,317000
