date,adjClose,adjHigh,adjLow,adjVolume
2016-05-20,4.13,4.3999,4.05,950788
2016-05-27,4.31,4.94,4.05,528251
2016-06-03,4.38,4.5,4.18,137864
2016-06-10,4.37,4.45,4.03,301650
2016-06-17,4.37,4.5,4.21,162167
2016-06-24,4.54,4.55,4.1104,115788
2016-07-01,4.42,4.86,4.23,89006
2016-07-08,4.5,4.9999,4.18,130265
2016-07-15,4.53,4.75,4.39,50234
2016-07-22,4.5,4.63,4.42,22107
2016-07-29,4.57,4.73,4.347,163024
2016-08-05,4.69,4.7,4.55,47130
2016-08-12,4.56,4.6999,4.51,10811
2016-08-19,4.59,4.7,4.42,37129
2016-08-26,4.73,4.73,4.35,63307
2016-09-02,5.0,5.07,4.55,82486
2016-09-09,6.0,6.0,4.982,345807
2016-09-16,5.79,6.5299,5.77,385684
2016-09-23,6.3,6.77,5.679,243493
2016-09-30,6.29,6.45,6.16,111949
2016-10-07,6.3,6.46,6.202,111646
2016-10-14,5.65,6.3,5.48,48557
2016-10-21,5.81,5.89,5.5,114038
2016-10-28,6.1,6.289,5.725,107426
2016-11-04,5.8,6.27,5.77,46799
2016-11-11,6.01,6.1,5.521,99794
2016-11-18,5.97,6.1,5.64,133807
2016-11-25,6.3,6.3,5.8505,73125
2016-12-02,6.11,6.39,6.0,109435
2016-12-09,5.68,6.01,5.6235,104959
2016-12-16,5.44,5.75,5.2,185038
2016-12-23,6.0,6.0,5.25,110869
2016-12-30,6.5,6.5,5.975,86607
2017-01-06,6.35,6.5,6.25,102117
2017-01-13,6.37,6.4,6.3,65908
2017-01-20,6.174,6.35,6.05,30641
2017-01-27,6.27,6.27,5.82,104068
2017-02-03,6.91,7.0,6.062,80630
2017-02-10,9.35,10.1,6.621,527456
2017-02-17,13.75,15.0,9.65,1353535
2017-02-24,14.59,16.01,13.41,1239952
2017-03-03,14.88,15.0,12.7,685959
2017-03-10,18.21,18.6,14.09,880553
2017-03-17,24.49,25.15,18.422,3130797
2017-03-24,30.34,30.61,22.2,2304711
2017-03-31,20.41,35.93,20.06,4996084
2017-04-07,20.08,22.941,17.14,3199084
2017-04-14,23.26,24.98,19.77,1719302
2017-04-21,23.79,27.19,21.61,2347692
2017-04-28,24.12,25.22,22.01,1036950
2017-05-05,23.39,26.703,23.0,1170837
2017-05-12,26.26,26.39,18.64,2675353
2017-05-19,26.3,29.49,24.9,1553467
2017-05-26,30.28,32.29,25.26,1103200
2017-06-02,32.29,32.5,27.592,529145
2017-06-09,30.49,32.23,29.71,537025
2017-06-16,34.85,35.49,28.555,1015411
2017-06-23,33.23,39.5,31.31,2443653
2017-06-30,34.53,37.5,31.0,1472625
2017-07-07,33.58,34.4,28.51,1300531
2017-07-14,30.53,33.58,29.73,1026736
2017-07-21,29.1,31.23,27.0,834200
