date,adjClose,adjHigh,adjLow,adjVolume
2017-09-29,17.25,17.44,16.5,10232692
2017-10-06,17.3,17.65,16.82,5862255
2017-10-13,17.39,17.53,17.25,2342757
2017-10-20,16.87,17.39,16.52,5369354
2017-10-27,16.96,17.0,15.89,6389647
2017-11-03,15.84,16.95,15.56,1443965
2017-11-10,15.57,16.19,15.35,1286701
2017-11-17,15.47,16.21,14.85,1788417
2017-11-24,15.36,15.48,14.65,1566959
2017-12-01,16.59,16.78,15.28,1927764
2017-12-08,16.42,16.7,16.0,1252912
2017-12-15,16.31,16.615,15.92,7464711
2017-12-22,16.36,16.75,16.26,1633808
2017-12-29,16.45,16.63,16.2,788761
2018-01-05,16.26,16.8,16.24,657769
2018-01-12,16.89,17.0,16.09,1200192
2018-01-19,16.66,16.89,16.35,775537
2018-01-26,16.99,17.36,16.53,1053776
2018-02-02,15.42,16.97,15.35,1381708
2018-02-09,14.44,15.29,14.07,903110
2018-02-16,14.42,14.73,14.23,1602768
2018-02-23,14.52,14.68,14.17,421029
2018-03-02,13.12,14.62,12.88,795795
2018-03-09,14.16,14.32,12.95,532716
2018-03-16,13.97,14.47,13.51,815237
2018-03-23,13.65,14.99,13.3,1722005
2018-03-30,13.97,15.21,13.52,1248538
2018-04-06,13.8,14.54,13.54,802247
2018-04-13,14.07,14.37,13.53,622837
2018-04-20,14.72,14.925,14.035,689270
2018-04-27,14.31,14.715,14.1,372212
2018-05-04,14.06,14.43,13.68,579162
2018-05-11,13.85,14.52,13.7,567076
2018-05-18,15.6,16.0,13.7,1203289
2018-05-25,16.08,16.48,15.68,2512389
2018-06-01,16.87,17.14,15.935,2092327
2018-06-08,17.82,17.88,16.85,1050434
2018-06-15,17.66,18.02,17.3701,1232530
2018-06-22,17.92,18.23,17.22,2216889
2018-06-29,18.0,18.25,17.4,1277778
2018-07-06,18.42,18.61,17.36,628610
2018-07-13,17.98,18.69,17.41,1046525
2018-07-20,17.61,17.96,17.33,1453343
2018-07-27,17.68,18.25,17.27,1558168
2018-08-03,17.51,18.12,17.27,920342
2018-08-10,17.67,18.25,16.34,1310386
2018-08-17,17.87,18.01,17.09,1021737
2018-08-24,17.78,18.17,17.23,829643
2018-08-31,17.8,18.09,17.63,544604
2018-09-07,17.49,17.73,17.1201,319082
2018-09-14,17.76,17.98,17.5501,547017
2018-09-21,17.73,18.049,17.61,1040883
2018-09-28,17.47,17.9897,17.06,836338
2018-10-05,17.47,18.54,16.62,1327427
2018-10-12,15.71,17.68,15.2,1030008
2018-10-19,16.05,16.68,15.51,576427
2018-10-26,15.1,16.28,14.94,501969
2018-11-02,16.33,16.43,14.87,552059
2018-11-09,15.06,16.48,15.04,3196805
2018-11-16,15.47,15.73,14.88,1508227
2018-11-23,14.57,15.63,14.44,343198
2018-11-30,15.35,15.43,14.05,452463
2018-12-07,14.4,15.71,14.24,549367
2018-12-14,14.29,14.98,14.14,632172
2018-12-21,13.72,14.6,13.28,1250699
2018-12-28,15.13,15.48,13.42,4195564
2019-01-04,14.77,15.34,14.05,610037
2019-01-11,14.79,15.02,14.46,439380
2019-01-18,14.92,15.18,14.08,469077
2019-01-25,14.77,15.02,14.38,291637
2019-02-01,15.17,15.5,14.6,444977
2019-02-08,15.2,15.39,14.96,214490
2019-02-15,15.95,15.99,15.19,360474
2019-02-22,16.3,17.59,15.98,474081
2019-03-01,16.32,17.05,16.11,684599
2019-03-08,15.28,16.48,15.27,425703
2019-03-15,15.27,15.9,15.15,908273
2019-03-22,15.1,15.72,14.79,572726
2019-03-29,15.17,15.57,14.78,548931
2019-04-05,15.22,15.43,15.08,805770
2019-04-12,16.32,16.39,15.08,816504
2019-04-19,16.15,16.4,15.96,212047
2019-04-26,15.52,16.47,15.43,307207
2019-05-03,16.01,16.07,15.31,374755
2019-05-10,15.89,16.16,15.28,507786
2019-05-17,15.99,16.09,15.3801,467173
2019-05-24,15.4,16.055,15.29,290802
2019-05-31,15.15,15.44,15.07,318037
2019-06-07,15.74,16.0575,15.14,390062
2019-06-14,15.59,16.09,15.55,317790
2019-06-21,15.91,16.09,15.52,406813
2019-06-28,15.85,16.17,15.751,873915
2019-07-05,16.49,16.64,15.97,330434
2019-07-12,15.9,16.57,15.57,509430
2019-07-19,15.82,16.11,15.57,352654
2019-07-26,15.78,16.13,15.51,314884
2019-08-02,14.7,16.03,14.58,539228
2019-08-09,14.42,14.81,13.18,511366
2019-08-16,14.4,15.11,13.9,332382
2019-08-23,14.04,14.83,13.83,430954
2019-08-30,14.29,14.625,13.93,293520
2019-09-06,14.65,14.99,14.09,253868
2019-09-13,16.27,16.45,14.7,376072
2019-09-20,15.88,16.37,15.78,414997
2019-09-27,15.81,16.055,15.63,367512
2019-10-04,15.56,16.17,15.14,366667
2019-10-11,15.76,16.17,14.85,947883
2019-10-18,15.91,16.24,15.57,534210
2019-10-25,16.1,16.23,15.77,410984
2019-11-01,16.37,16.64,16.06,479664
2019-11-08,16.63,16.9,16.26,457829
2019-11-15,16.16,16.74,16.07,305165
2019-11-22,15.28,15.73,14.94,436891
2019-11-29,15.86,15.92,15.2958,463311
2019-12-06,15.63,15.99,15.44,398908
2019-12-13,16.0,16.22,15.51,357183
2019-12-20,17.02,17.15,16.11,1091173
2019-12-27,17.01,17.15,16.87,285850
2020-01-03,16.67,17.26,16.5,586656
2020-01-10,16.16,16.71,15.22,575455
2020-01-17,16.69,16.75,16.11,254783
