date,adjClose,adjHigh,adjLow,adjVolume
2018-03-16,17.6,22.1,16.36,6340334
2018-03-23,16.07,19.666,15.75,2031332
2018-03-30,15.44,16.8,14.81,796957
2018-04-06,14.34,16.0825,14.14,1440836
2018-04-13,15.27,15.64,13.26,1264084
2018-04-20,16.3,17.598,14.77,812319
2018-04-27,15.34,16.985,14.47,695463
2018-05-04,17.05,17.28,14.66,437241
2018-05-11,16.01,17.36,15.525,738523
2018-05-18,16.12,17.09,15.305,352034
2018-05-25,16.25,17.14,15.51,442750
2018-06-01,15.51,16.4,15.51,390866
2018-06-08,16.95,17.1973,15.2,767992
2018-06-15,16.02,17.5,15.51,1129966
2018-06-22,15.45,17.18,15.0801,1852305
2018-06-29,12.24,15.51,11.73,913491
2018-07-06,12.94,13.15,12.06,387501
2018-07-13,12.22,13.14,12.015,293081
2018-07-20,11.46,12.3,10.83,286087
2018-07-27,11.32,12.01,11.0743,241165
2018-08-03,11.0,12.0,10.9,301318
2018-08-10,11.83,12.12,10.8,235792
2018-08-17,13.27,13.43,11.54,469536
2018-08-24,13.48,13.7807,12.91,307599
2018-08-31,14.4,16.06,13.55,701280
2018-09-07,12.85,14.57,12.75,389592
2018-09-14,14.13,14.83,12.78,450139
2018-09-21,13.51,14.4,12.78,783577
2018-09-28,13.94,14.27,13.0,592668
2018-10-05,13.84,14.79,13.23,460159
2018-10-12,12.44,13.91,12.32,275840
2018-10-19,11.79,13.0,11.79,354397
2018-10-26,10.29,12.39,9.53,791065
2018-11-02,10.81,11.035,9.5,852856
2018-11-09,12.26,12.59,10.27,1147771
2018-11-16,11.65,12.34,10.66,1871639
2018-11-23,11.63,12.0,10.75,421335
2018-11-30,11.42,11.89,10.86,591601
2018-12-07,12.16,13.77,11.01,780314
2018-12-14,12.54,13.39,11.83,1307072
2018-12-21,9.83,12.51,9.5,3982239
2018-12-28,10.72,10.95,9.17,829001
2019-01-04,8.95,10.91,8.5701,1337325
2019-01-11,9.99,10.42,8.94,1441988
2019-01-18,10.05,10.56,8.75,592265
2019-01-25,10.25,10.53,9.22,319469
2019-02-01,10.42,10.52,8.98,432150
2019-02-08,10.81,10.99,9.62,256826
2019-02-15,11.89,11.98,10.26,309402
2019-02-22,11.65,12.04,11.15,279507
2019-03-01,11.96,12.35,11.08,707749
2019-03-08,11.68,12.44,10.61,342894
2019-03-15,11.67,12.7,11.365,903301
2019-03-22,11.19,12.6,10.99,491871
2019-03-29,12.49,12.65,11.02,440412
2019-04-05,12.51,12.68,11.55,412850
2019-04-12,12.82,13.66,12.28,285650
2019-04-19,11.23,13.12,10.3501,278136
2019-04-26,10.88,11.33,10.41,251072
2019-05-03,10.53,11.4299,9.21,708615
2019-05-10,10.85,11.3142,10.07,542895
2019-05-17,9.46,10.76,8.99,596049
2019-05-24,8.96,10.0,8.9,456128
2019-05-31,8.48,9.13,8.35,363444
2019-06-07,8.06,8.5,7.4,1026926
2019-06-14,8.28,8.81,7.485,1268217
2019-06-21,9.44,9.92,8.28,2169560
2019-06-28,7.95,9.77,7.15,1919857
2019-07-05,8.7,8.93,7.78,549938
2019-07-12,8.1,8.8,7.91,519368
2019-07-19,8.17,8.71,7.78,448492
2019-07-26,8.42,8.7,8.14,352545
2019-08-02,6.84,8.49,6.72,604883
2019-08-09,7.28,7.7177,6.3,1343127
2019-08-16,7.38,7.6,6.84,791988
2019-08-23,6.44,7.51,6.36,828663
2019-08-30,7.81,8.15,6.42,852053
2019-09-06,7.61,7.94,7.19,362477
2019-09-13,9.42,9.61,7.61,1301796
2019-09-20,8.79,9.95,8.73,2343033
2019-09-27,10.18,10.3393,8.39,1357851
2019-10-04,8.79,10.21,8.02,1303045
2019-10-11,8.2,8.72,7.4,808651
2019-10-18,8.44,8.53,7.99,2519213
2019-10-25,8.12,9.0,7.81,2077782
2019-11-01,8.15,8.34,7.35,710202
2019-11-08,7.54,8.44,7.31,729410
2019-11-15,7.65,8.394,7.33,480674
2019-11-22,8.78,8.92,7.19,646828
2019-11-29,8.27,9.56,8.15,521653
2019-12-06,8.22,8.45,7.69,494297
2019-12-13,8.65,9.11,8.12,362379
2019-12-20,9.43,9.49,8.19,565679
2019-12-27,10.65,10.96,9.2,335808
2020-01-03,9.7,10.74,9.37,491125
2020-01-10,10.04,10.35,9.05,353661
2020-01-17,10.23,10.8,9.74,448506
