date,adjClose,adjHigh,adjLow,adjVolume
2016-05-27,14.28,14.4899,11.03,2402585
2016-06-03,18.71,18.9,12.62,1032577
2016-06-10,24.79,25.3899,16.8,903819
2016-06-17,22.0,26.9,20.59,844846
2016-06-24,20.14,23.48,16.571,1636641
2016-07-01,19.99,20.85,18.2501,634558
2016-07-08,17.34,20.55,17.3,522089
2016-07-15,17.7,17.92,16.0,917981
2016-07-22,16.81,19.33,16.8,281903
2016-07-29,16.03,16.88,15.55,143558
2016-08-05,16.05,16.288,15.1748,84991
2016-08-12,15.51,16.3299,15.5,73167
2016-08-19,18.38,20.62,15.87,702964
2016-08-26,19.21,19.999,17.53,205283
2016-09-02,19.22,19.5563,18.2,136881
2016-09-09,25.72,26.0,19.22,597547
2016-09-16,29.56,29.88,25.0001,996892
2016-09-23,23.1,32.22,22.809,1631221
2016-09-30,26.36,26.9999,22.6,720912
2016-10-07,29.0,30.31,25.21,458929
2016-10-14,24.41,30.58,23.91,210498
2016-10-21,24.62,25.87,23.81,121281
2016-10-28,22.76,26.64,22.44,125267
2016-11-04,21.87,23.6,21.11,110068
2016-11-11,32.61,33.0,22.49,275921
2016-11-18,30.7,41.6,30.45,680721
2016-11-25,27.83,30.42,26.6,309011
2016-12-02,25.96,27.854,24.81,247009
2016-12-09,21.3,26.25,18.51,841240
2016-12-16,23.0,24.2,20.0,616642
2016-12-23,22.04,24.75,21.03,624989
2016-12-30,21.83,23.3,21.13,473239
2017-01-06,23.92,25.07,21.51,198325
2017-01-13,23.02,25.3888,21.9113,231183
2017-01-20,23.04,23.38,22.2,85335
2017-01-27,24.59,25.431,22.5848,210863
2017-02-03,23.48,25.6,22.99,302328
2017-02-10,23.36,24.44,22.03,108907
2017-02-17,23.16,23.97,22.82,153417
2017-02-24,25.43,27.49,22.91,193439
2017-03-03,28.89,29.12,24.915,229564
2017-03-10,27.73,29.71,26.713,218394
2017-03-17,28.16,28.999,26.82,198633
2017-03-24,25.9,28.15,25.396,136535
2017-03-31,22.65,26.46,21.41,437492
2017-04-07,22.8,23.84,22.1,427289
2017-04-14,21.29,23.02,21.032,168066
2017-04-21,20.58,21.43,20.08,265501
2017-04-28,20.74,21.66,19.48,270904
2017-05-05,22.44,23.43,20.06,228016
2017-05-12,21.81,22.61,20.938,96551
2017-05-19,24.73,25.175,20.91,260021
2017-05-26,27.0,29.5,23.67,452087
2017-06-02,28.82,29.38,25.41,440256
2017-06-09,25.51,29.0,25.31,563539
2017-06-16,26.98,27.2,24.915,827652
2017-06-23,28.97,29.99,27.18,710143
2017-06-30,31.64,32.53,28.73,310289
2017-07-07,32.14,32.94,29.8,138013
2017-07-14,33.37,34.65,31.77,223265
2017-07-21,31.1,33.81,30.05,282740
2017-07-28,30.69,40.88,30.21,5188568
2017-08-04,28.73,31.0,28.01,1510835
2017-08-11,27.86,30.94,26.381,861297
2017-08-18,26.29,28.9,25.78,782257
2017-08-25,27.69,28.846,25.69,938042
2017-09-01,29.17,30.63,27.395,799350
2017-09-08,28.87,29.48,27.148,475162
2017-09-15,31.01,31.32,28.88,980006
2017-09-22,31.75,32.185,30.6,439516
2017-09-29,31.1,31.95,30.13,406125
2017-10-06,31.9,32.05,30.1,726798
2017-10-13,33.19,33.922,30.9,504094
2017-10-20,32.8,33.9,31.49,576640
2017-10-27,30.28,33.27,29.511,373936
2017-11-03,28.92,30.64,28.33,543042
2017-11-10,27.56,33.76,26.01,1524236
2017-11-17,24.63,27.274,23.09,1687824
2017-11-24,25.04,25.64,24.27,397219
2017-12-01,25.33,27.2,24.56,890376
2017-12-08,25.4,26.76,22.31,1137679
2017-12-15,25.1,25.82,22.27,1903482
2017-12-22,26.29,28.14,25.261,1075493
2017-12-29,28.32,29.28,25.25,725778
2018-01-05,27.08,28.9,27.0,662210
2018-01-12,28.43,29.57,26.72,653478
2018-01-19,29.79,30.6599,27.1,673054
2018-01-26,29.95,30.99,29.09,737342
2018-02-02,27.8,30.9399,27.29,938350
2018-02-09,26.22,28.09,24.68,1180793
2018-02-16,26.73,27.74,25.15,939006
2018-02-23,24.2,27.13,23.9,704324
2018-03-02,21.91,25.88,21.535,1127404
2018-03-09,22.15,23.3,20.64,1547289
2018-03-16,23.21,24.93,21.9,1379368
2018-03-23,20.69,24.4425,20.01,921131
2018-03-30,20.51,22.0294,19.31,733349
2018-04-06,19.94,21.65,19.53,877354
2018-04-13,21.26,22.8173,19.82,1043915
2018-04-20,23.86,23.96,20.91,1047457
2018-04-27,26.2,26.515,23.1361,1186600
2018-05-04,27.53,28.87,24.9256,969461
2018-05-11,31.76,31.9,25.17,1543253
2018-05-18,31.55,32.76,29.5039,877180
2018-05-25,33.61,35.93,30.7601,1117180
2018-06-01,35.53,36.25,32.89,688372
2018-06-08,36.3,37.689,35.091,1048167
2018-06-15,38.74,39.94,36.12,1420170
2018-06-22,37.48,43.69,36.3,1588139
2018-06-29,34.97,38.56,33.39,998420
2018-07-06,37.38,37.58,34.28,583151
2018-07-13,42.2,42.43,37.4,1210581
2018-07-20,46.4,47.67,41.61,1387867
2018-07-27,74.51,85.389,50.25,10953222
2018-08-03,70.91,77.0,69.01,1933966
2018-08-10,64.09,74.54,62.36,1709084
2018-08-17,72.16,72.93,63.17,1132732
2018-08-24,75.81,79.0,70.75,1217269
2018-08-31,86.36,89.99,74.0,1474525
2018-09-07,84.07,89.26,80.82,899168
2018-09-14,92.06,92.48,77.63,1364062
2018-09-21,87.56,93.94,83.4049,2000367
2018-09-28,81.76,99.5,79.85,2504593
2018-10-05,68.25,83.315,67.89,1615059
2018-10-12,61.23,69.36,59.19,1687618
2018-10-19,60.78,64.48,57.2229,921163
2018-10-26,58.1,61.8399,55.4961,1305942
2018-11-02,62.1,64.6,53.52,1131187
2018-11-09,65.78,73.17,60.05,1245074
2018-11-16,59.86,66.35,58.7,1108769
2018-11-23,59.29,64.24,58.43,801452
2018-11-30,63.15,66.9395,59.42,867936
2018-12-07,57.79,68.14,57.26,914478
2018-12-14,59.47,63.11,55.285,862092
2018-12-21,50.01,60.83,47.5,1335146
2018-12-28,53.78,54.95,48.011,735487
2019-01-04,59.03,59.23,51.77,798221
2019-01-11,72.35,77.295,58.96,2668375
2019-01-18,77.15,77.23,70.02,729564
2019-01-25,74.7,79.67,73.15,781013
2019-02-01,77.54,80.015,73.34,826335
2019-02-08,84.04,84.37,75.65,820273
2019-02-15,86.36,87.79,81.0287,768721
2019-02-22,89.77,90.42,84.11,684208
2019-03-01,96.93,97.92,88.285,1180447
2019-03-08,93.41,104.53,88.649,1814916
2019-03-15,94.83,97.45,89.48,1389523
2019-03-22,87.13,96.64,87.05,1207476
2019-03-29,85.47,89.245,83.05,1131440
2019-04-05,91.15,94.62,84.18,1587906
2019-04-12,85.53,91.788,85.07,964392
2019-04-19,78.52,86.33,75.12,814878
2019-04-26,79.13,82.0,76.41,579525
2019-05-03,80.41,82.67,76.25,719080
2019-05-10,89.92,91.0,78.51,1216653
2019-05-17,91.62,94.91,86.21,1167627
2019-05-24,87.56,92.53,85.46,811520
2019-05-31,85.27,95.38,84.7538,1041235
2019-06-07,88.5,90.6999,83.0001,1212160
2019-06-14,81.59,91.65,79.64,1491308
2019-06-21,87.41,88.0,80.81,1148006
2019-06-28,94.35,97.6219,83.76,1883952
2019-07-05,89.84,97.31,89.25,768637
2019-07-12,86.91,90.64,84.62,1002655
2019-07-19,87.17,89.88,82.5,823043
2019-07-26,90.72,91.4,86.41,751845
2019-08-02,89.87,93.23,88.42,840432
2019-08-09,81.61,92.31,74.81,1426801
2019-08-16,75.74,83.415,71.76,1069977
2019-08-23,71.26,79.11,71.02,1022280
2019-08-30,77.1,77.925,70.0,986397
2019-09-06,86.1,86.62,74.86,1079554
2019-09-13,86.59,90.25,84.08,1310945
2019-09-20,94.39,95.34,84.61,1708347
2019-09-27,84.25,97.0,83.6,1541618
2019-10-04,80.24,84.4,73.38,1572186
2019-10-11,95.81,97.17,75.67,2012636
2019-10-18,184.91,185.5251,95.49,9384435
2019-10-25,196.07,196.09,176.22,2502729
2019-11-01,208.87,209.93,190.79,2043621
2019-11-08,211.6,215.1,193.0086,2276382
2019-11-15,198.91,217.47,180.54,7188949
2019-11-22,209.95,222.33,197.19,2766618
2019-11-29,195.13,214.44,192.75,1781623
2019-12-06,199.32,207.96,189.41,1797932
2019-12-13,206.75,210.53,196.077,1420067
2019-12-20,212.69,219.97,200.01,1999261
2019-12-27,211.31,224.02,210.0,1047417
2020-01-03,201.15,211.5023,199.59,1361859
2020-01-10,202.56,220.24,197.6908,1611104
2020-01-17,211.43,221.1748,195.01,1495733
