date,adjClose,adjHigh,adjLow,adjVolume
1997-09-12,5.75,6.0,5.02,501400
1997-09-19,5.5,6.13,5.38,252100
1997-09-26,5.5,5.87,5.38,181400
1997-10-03,5.62,5.75,5.38,128700
1997-10-10,6.0,7.0,5.38,580900
1997-10-17,5.81,6.38,5.75,295400
1997-10-24,5.81,6.0,5.62,95700
1997-10-31,5.12,6.0,5.0,171600
1997-11-07,5.0,5.5,5.0,102400
1997-11-14,5.0,5.5,4.88,136100
1997-11-21,5.0,5.38,5.0,320000
1997-11-28,5.0,5.12,5.0,190100
1997-12-05,5.12,5.38,5.0,270000
1997-12-12,3.75,5.06,3.25,235500
1997-12-19,4.88,4.88,3.88,217000
1997-12-26,4.25,4.75,4.25,78900
1998-01-02,4.66,4.88,4.5,39000
1998-01-09,4.75,4.88,4.5,70400
1998-01-16,4.25,4.75,4.25,50200
1998-01-23,4.5,4.75,4.0,52300
1998-01-30,4.19,4.75,4.19,74900
1998-02-06,4.19,4.5,4.19,30200
1998-02-13,4.5,4.5,4.19,33800
1998-02-20,4.25,4.5,4.25,22800
1998-02-27,4.25,4.88,4.06,60500
1998-03-06,4.25,4.75,4.0,24900
1998-03-13,4.25,4.5,4.25,31100
1998-03-20,4.37,4.5,4.25,16800
1998-03-27,4.25,4.41,4.25,13400
1998-04-03,4.0,4.44,4.0,138600
1998-04-10,4.06,4.37,4.06,132000
1998-04-17,4.38,4.38,4.0,50900
1998-04-24,4.06,4.63,4.0,166600
1998-05-01,4.06,4.56,4.06,149400
1998-05-08,4.25,4.81,4.06,183100
1998-05-15,4.25,4.5,4.0,81200
1998-05-22,4.25,4.5,4.12,68800
1998-05-29,4.25,4.38,4.0,63300
1998-06-05,4.0,4.37,4.0,13900
1998-06-12,4.12,4.12,4.0,44000
1998-06-19,4.0,4.12,4.0,44200
1998-06-26,4.0,4.12,4.0,70400
1998-07-03,3.62,4.03,3.62,51900
1998-07-10,3.0,4.0,2.77,130500
1998-07-17,3.13,3.25,2.87,170400
1998-07-24,2.25,3.13,2.25,40100
1998-07-31,2.38,2.69,2.19,80800
1998-08-07,2.62,2.62,2.19,50100
1998-08-14,2.25,2.62,2.25,9500
1998-08-21,2.25,2.5,2.25,22300
1998-08-28,1.62,2.31,1.37,75700
1998-09-04,1.5,2.0,1.25,166000
1998-09-11,1.63,2.0,1.12,154200
1998-09-18,1.37,1.69,1.25,48500
1998-09-25,1.5,1.63,1.0,38400
1998-10-02,1.5,1.5,1.12,22700
1998-10-09,1.19,1.5,1.12,58700
1998-10-16,1.0,1.5,0.81,39900
1998-10-23,1.06,1.25,1.0,20500
1998-10-30,1.37,1.56,1.06,8800
1998-11-06,1.5,2.0,1.25,43600
1998-11-13,1.88,2.0,1.5,49700
1998-11-20,2.12,2.25,1.75,62100
1998-11-27,2.87,2.87,2.06,180100
1998-12-04,2.25,3.0,2.0,105600
1998-12-11,2.0,2.38,2.0,39600
1998-12-18,1.75,2.12,1.37,83100
1998-12-25,1.56,2.25,1.44,75600
1999-01-01,1.44,1.75,1.19,116900
1999-01-08,1.5,1.81,1.5,20600
1999-01-15,1.88,1.88,1.5,17400
1999-01-22,1.5,1.75,1.5,4800
1999-01-29,1.31,1.81,1.25,30300
1999-02-05,1.44,1.75,1.31,13300
1999-02-12,1.56,1.63,1.37,22700
1999-02-19,1.69,1.75,1.44,15600
1999-02-26,1.25,1.69,1.25,17100
1999-03-05,1.25,1.38,1.25,14200
1999-03-12,1.12,1.37,1.0,24600
1999-03-19,1.12,1.37,0.98,13300
1999-03-26,1.0,1.12,1.0,10900
1999-04-02,1.0,1.25,1.0,32300
1999-04-09,1.28,1.34,0.81,25200
1999-04-16,0.81,1.28,0.81,4800
1999-04-23,1.06,1.44,1.0,1400
1999-04-30,1.06,1.12,1.06,3500
1999-05-07,1.06,1.19,0.81,38400
1999-05-14,1.19,1.19,1.0,20800
1999-05-21,1.03,1.75,1.03,71900
1999-05-28,1.28,1.37,1.25,14400
1999-06-04,1.03,1.12,1.03,12500
1999-06-11,1.0,1.25,1.0,148500
1999-06-18,1.12,1.12,1.0,800
1999-06-25,1.0,1.25,1.0,25700
1999-07-02,1.06,1.12,0.94,55200
1999-07-09,1.06,1.59,0.88,155300
1999-07-16,1.16,1.5,1.0,201400
1999-07-23,1.12,1.37,1.06,33600
1999-07-30,1.06,1.25,1.0,33100
1999-08-06,1.03,1.12,1.0,55700
1999-08-13,1.0,1.0,0.75,51000
1999-08-20,0.81,1.0,0.75,21200
1999-08-27,0.88,1.06,0.81,38400
1999-09-03,0.69,0.91,0.69,13300
1999-09-10,1.0,1.12,0.59,330200
1999-09-17,1.25,1.63,0.94,214900
1999-09-24,1.12,1.2,1.06,14400
1999-10-01,1.16,1.17,1.0,71200
1999-10-08,1.44,1.44,1.12,83900
1999-10-15,1.12,1.44,1.12,12400
1999-10-22,1.22,1.31,0.97,69300
1999-10-29,1.25,1.31,1.12,42600
1999-11-05,1.12,1.37,1.12,15500
1999-11-12,1.27,1.63,1.12,73100
1999-11-19,1.5,1.63,1.16,107900
1999-11-26,1.25,1.75,1.25,5800
1999-12-03,1.75,2.5,1.37,278300
1999-12-10,1.94,2.0,1.5,82800
1999-12-17,1.81,1.94,1.5,88700
1999-12-24,1.5,1.69,1.31,71300
1999-12-31,1.63,1.63,1.33,84700
2000-01-07,1.72,1.72,1.5,52000
2000-01-14,2.28,2.38,1.44,70600
2000-01-21,2.87,5.0,1.88,268000
2000-01-28,3.5,4.37,2.81,496900
2000-02-04,4.875,5.188,3.19,1034800
2000-02-11,5.125,5.188,4.25,1465100
2000-02-18,7.125,7.938,5.0,3046900
2000-02-25,6.75,9.25,6.25,750100
2000-03-03,7.5,8.188,5.313,1224000
2000-03-10,8.688,11.25,7.0,2265000
2000-03-17,6.875,8.875,5.625,616400
2000-03-24,6.75,7.5,5.625,736100
2000-03-31,6.0,6.938,5.375,291800
2000-04-07,5.25,6.25,4.0,256400
2000-04-14,4.0,5.063,2.75,576900
2000-04-21,4.875,5.0,3.5,169100
2000-04-28,4.938,5.0,3.875,96700
2000-05-05,4.25,5.0,3.875,65800
2000-05-12,4.0,4.563,3.406,136100
2000-05-19,4.0,4.25,3.031,89100
2000-05-26,4.125,4.5,3.25,190500
2000-06-02,5.438,5.438,3.75,168300
2000-06-09,4.813,5.25,4.0,58900
2000-06-16,4.0,4.938,3.5,209700
2000-06-23,4.313,4.5,3.125,317300
2000-06-30,4.75,4.938,3.688,426500
2000-07-07,4.438,4.875,4.25,31100
2000-07-14,4.688,4.938,3.75,148600
2000-07-21,4.188,4.75,4.0,96500
2000-07-28,4.0,4.313,3.625,93700
2000-08-04,3.688,4.0,3.0,130000
2000-08-11,4.0,4.125,3.0,229800
2000-08-18,3.438,4.438,3.375,295800
2000-08-25,3.5,3.844,3.063,135200
2000-09-01,3.0,3.5,2.75,223300
2000-09-08,2.938,3.125,2.75,22800
2000-09-15,2.75,3.0,2.688,62500
2000-09-22,3.188,6.625,2.563,243800
2000-09-29,4.0,4.063,2.891,273900
2000-10-06,4.125,5.0,3.0,395700
2000-10-13,3.563,4.375,3.5,368600
2000-10-20,3.688,4.0,3.313,64600
2000-10-27,4.016,4.031,3.25,94300
2000-11-03,4.5,4.75,3.563,277900
2000-11-10,4.656,5.0,4.375,222800
2000-11-17,5.0,5.469,4.344,162600
2000-11-24,4.5,4.938,4.25,72500
2000-12-01,3.813,4.875,3.313,199900
2000-12-08,4.031,4.688,3.563,158100
2000-12-15,3.719,4.0,3.438,136700
2000-12-22,3.0,3.625,2.625,115300
2000-12-29,3.156,3.5,2.69,201100
2001-01-05,3.063,3.563,2.844,33500
2001-01-12,3.25,3.375,2.938,35300
2001-01-19,3.625,4.094,2.75,119700
2001-01-26,3.969,4.188,3.625,59800
2001-02-02,3.938,4.875,3.813,114500
2001-02-09,3.031,3.875,2.875,77400
2001-02-16,2.5,3.313,2.25,113900
2001-02-23,2.656,2.656,2.0,25100
2001-03-02,2.031,2.594,2.0,59800
2001-03-09,2.03,2.406,2.0,12300
2001-03-16,2.094,2.313,2.0,29400
2001-03-23,1.938,2.125,1.625,48900
2001-03-30,2.094,2.25,1.625,46800
2001-04-06,1.875,2.625,1.625,39400
2001-04-13,2.9,3.1,1.75,97700
2001-04-20,2.92,3.03,2.65,118200
2001-04-27,2.86,3.11,2.55,102500
2001-05-04,2.78,2.98,2.5,120300
2001-05-11,4.15,4.2,2.56,261600
2001-05-18,4.2,4.2,3.36,116400
2001-05-25,4.01,4.17,3.37,97100
2001-06-01,4.12,4.5,4.06,47000
2001-06-08,4.01,4.19,3.88,54800
2001-06-15,3.81,4.48,3.79,128200
2001-06-22,3.94,3.96,3.6,27100
2001-06-29,4.0,4.09,3.75,39000
2001-07-06,3.9,4.05,3.85,20700
2001-07-13,3.9,3.93,3.6,87100
2001-07-20,3.63,3.95,3.29,94500
2001-07-27,3.15,3.7,3.15,129200
2001-08-03,3.35,3.5,3.05,52400
2001-08-10,3.05,3.45,2.81,44000
2001-08-17,2.99,3.07,2.69,194800
2001-08-24,2.86,3.0,2.79,76100
2001-08-31,3.0,3.15,2.44,127900
2001-09-07,3.03,3.05,2.7,69000
2001-09-14,2.87,3.03,2.54,13300
2001-09-21,2.49,2.88,2.24,82900
2001-09-28,2.58,2.61,2.26,245700
2001-10-05,3.22,3.99,2.38,263700
2001-10-12,2.99,5.21,2.74,3079700
2001-10-19,2.71,3.2,2.68,733500
2001-10-26,2.68,2.9,2.53,190000
2001-11-02,2.6,2.92,2.59,135400
2001-11-09,2.51,2.87,2.38,179700
2001-11-16,2.34,2.52,2.13,196500
2001-11-23,2.15,2.38,2.06,44700
