date,adjClose,adjHigh,adjLow,adjVolume
2017-06-09,12.34,14.5,11.9275,2483422
2017-06-16,13.74,15.21,11.61,780511
2017-06-23,14.4,15.36,13.5,587192
2017-06-30,12.79,14.9,12.49,436219
2017-07-07,12.94,13.91,12.5,230189
2017-07-14,14.0,14.79,12.74,465244
2017-07-21,12.8,14.07,12.625,267995
2017-07-28,12.0,12.874,11.76,237348
2017-08-04,11.18,12.447,9.33,450347
2017-08-11,11.5,12.0,10.51,521648
2017-08-18,11.59,12.777,11.29,348265
2017-08-25,12.0,12.29,11.47,128927
2017-09-01,11.48,12.9,11.36,216710
2017-09-08,10.6,11.84,10.51,221504
2017-09-15,10.87,11.17,10.59,213021
2017-09-22,11.7,12.0,10.75,267491
2017-09-29,13.45,13.46,11.36,305660
2017-10-06,18.25,19.6,14.0,1851511
2017-10-13,15.6,18.265,14.99,747367
2017-10-20,16.27,16.67,15.14,376020
2017-10-27,15.18,16.568,15.0,320077
2017-11-03,16.99,17.2,15.0,340250
2017-11-10,19.56,20.15,16.071,676581
2017-11-17,16.69,19.7,16.46,442851
2017-11-24,14.38,16.906,13.44,837248
2017-12-01,13.2,14.47,12.56,626812
2017-12-08,13.89,15.25,13.15,957301
2017-12-15,13.91,14.44,13.5,499184
2017-12-22,13.71,14.96,13.65,456899
2017-12-29,14.05,14.5,13.6,292849
2018-01-05,15.53,15.64,14.0,458961
2018-01-12,17.07,17.8,15.0,1768230
2018-01-19,16.3,17.15,15.511,271272
2018-01-26,16.72,17.92,15.745,489236
2018-02-02,16.6,17.92,16.13,360635
2018-02-09,16.71,17.09,16.0,305887
2018-02-16,19.97,20.7445,16.011,458055
2018-02-23,18.73,21.45,16.75,1348724
2018-03-02,19.11,19.79,17.59,664989
2018-03-09,21.85,22.38,18.5,911599
2018-03-16,23.59,24.0699,21.61,705615
2018-03-23,23.92,24.54,23.29,569920
2018-03-30,26.5,28.73,24.55,994584
2018-04-06,31.88,33.0,25.6946,1211229
2018-04-13,31.85,33.0,30.04,830047
2018-04-20,31.98,33.19,31.27,516490
2018-04-27,28.34,32.65,27.06,666784
2018-05-04,29.66,30.3409,26.4971,490992
2018-05-11,29.9,32.31,28.45,612957
2018-05-18,28.06,30.685,28.0,621946
2018-05-25,27.49,28.83,27.42,466728
2018-06-01,29.13,29.57,27.18,261353
2018-06-08,36.16,36.64,29.2,1010645
2018-06-15,40.14,40.29,34.22,1180298
2018-06-22,39.62,41.67,38.19,1656501
2018-06-29,37.93,39.8503,35.87,625656
2018-07-06,39.63,40.64,35.7427,406697
2018-07-13,41.34,43.815,38.0,760664
2018-07-20,43.22,43.52,39.65,693423
2018-07-27,42.67,45.2199,40.78,697890
2018-08-03,42.97,48.5535,40.1437,1053523
2018-08-10,45.27,49.3,43.19,1004510
2018-08-17,40.59,46.35,37.62,1386857
2018-08-24,46.7,46.9,40.6,810006
2018-08-31,57.04,57.15,46.25,1278967
2018-09-07,58.08,60.3283,52.5,1049729
2018-09-14,62.81,66.14,57.9932,1040425
2018-09-21,61.83,63.59,57.01,1006602
2018-09-28,61.29,64.9,60.06,743713
2018-10-05,45.53,62.0,45.0,1443214
2018-10-12,40.99,47.22,38.1,1319103
2018-10-19,40.0,43.18,39.6001,580161
2018-10-26,36.25,41.26,35.0,608161
2018-11-02,40.66,42.5688,35.01,721371
2018-11-09,40.63,42.75,38.09,453196
2018-11-16,32.65,41.9,27.05,1924183
2018-11-23,32.97,35.64,30.6655,806772
2018-11-30,38.09,38.4,32.97,548364
2018-12-07,35.04,40.0055,32.86,348682
2018-12-14,34.54,37.3764,33.72,310586
2018-12-21,27.61,34.13,26.55,727255
2018-12-28,29.4,30.13,26.9,502902
2019-01-04,33.3,33.44,28.215,624986
2019-01-11,38.13,38.64,32.03,681838
2019-01-18,42.26,42.55,37.665,452006
2019-01-25,46.59,47.17,40.2,478224
2019-02-01,45.75,48.47,43.71,562751
2019-02-08,46.5,48.0,43.01,583180
2019-02-15,46.01,49.45,45.53,501696
2019-02-22,48.07,51.97,44.07,795466
2019-03-01,49.33,51.16,46.25,476095
2019-03-08,44.79,49.945,43.02,794623
2019-03-15,38.98,46.0,37.2911,765085
2019-03-22,38.86,43.36,38.12,647289
2019-03-29,38.6,40.391,34.82,756463
2019-04-05,45.77,45.98,37.13,785426
2019-04-12,46.7,46.83,44.17,516809
2019-04-19,48.32,50.65,45.315,658018
2019-04-26,53.13,53.894,48.11,612963
2019-05-03,54.94,55.5,50.77,489075
2019-05-10,44.56,58.61,41.19,1524076
2019-05-17,47.15,49.2093,41.26,1124951
2019-05-24,45.7,49.0,45.0375,594142
2019-05-31,46.0,48.27,45.7,545105
2019-06-07,45.25,47.79,44.0,606314
2019-06-14,40.5,46.1,40.47,785549
2019-06-21,44.46,44.83,39.99,703315
2019-06-28,44.2,45.11,41.78,688806
2019-07-05,43.72,45.6125,43.0,281306
2019-07-12,43.17,43.9882,40.84,472543
2019-07-19,38.0,41.62,37.47,1085798
2019-07-26,38.23,39.58,35.56,670512
2019-08-02,37.13,39.12,36.26,562620
2019-08-09,31.27,37.13,28.0528,2188851
2019-08-16,29.32,31.8,28.02,1254046
2019-08-23,27.63,30.27,27.26,696111
2019-08-30,27.23,27.96,25.33,660407
2019-09-06,27.08,28.15,26.33,594460
2019-09-13,27.89,29.7726,26.51,784705
2019-09-20,25.74,27.89,25.67,765977
