date,adjClose,adjHigh,adjLow,adjVolume
2018-09-28,15.0,15.9,14.58,2916587
2018-10-05,14.85,15.2,12.0,505951
2018-10-12,14.39,15.07,14.21,309412
2018-10-19,14.53,14.97,14.3,119263
2018-10-26,13.54,14.75,12.89,435929
2018-11-02,12.1,14.22,11.42,142298
2018-11-09,13.41,14.75,10.825,208674
2018-11-16,12.49,14.41,11.55,185619
2018-11-23,10.81,12.58,9.5001,270345
2018-11-30,10.49,11.86,9.74,306403
2018-12-07,10.27,11.748,9.75,224286
2018-12-14,10.22,12.05,9.5,272193
2018-12-21,8.99,10.5249,8.64,840899
2018-12-28,8.69,9.885,8.5,140577
2019-01-04,11.21,11.46,8.58,211437
2019-01-11,10.82,12.05,10.0601,156186
2019-01-18,10.0,11.1095,9.5,148918
2019-01-25,10.55,10.67,9.73,29341
2019-02-01,10.63,11.06,10.02,33605
2019-02-08,10.42,11.495,10.21,116831
2019-02-15,9.86,11.95,9.69,114142
2019-02-22,10.64,11.13,9.885,32726
2019-03-01,8.86,10.48,8.51,171067
2019-03-08,9.4,9.95,8.5,253864
2019-03-15,11.45,11.5,9.55,212418
2019-03-22,10.74,11.44,10.34,109031
2019-03-29,11.39,11.45,10.3727,85531
2019-04-05,11.25,12.47,10.8677,103157
2019-04-12,11.77,12.0,10.686,101233
2019-04-19,10.37,12.1,10.1,44757
2019-04-26,9.69,11.0,9.28,117800
2019-05-03,10.2,10.53,9.75,54837
2019-05-10,11.5,11.5,10.04,35767
2019-05-17,9.75,11.465,9.621,72751
2019-05-24,10.37,10.79,9.75,63566
2019-05-31,11.45,11.82,10.1974,95537
2019-06-07,11.92,12.26,10.11,190770
2019-06-14,11.2,12.39,11.18,604460
2019-06-21,11.87,12.49,10.9,221312
2019-06-28,11.38,11.94,11.05,840280
2019-07-05,11.76,12.0,11.0,66789
2019-07-12,11.64,11.96,11.15,66307
2019-07-19,11.16,11.78,10.96,157050
2019-07-26,11.04,11.48,10.76,124612
2019-08-02,11.0,11.8,10.95,129710
2019-08-09,10.06,11.0246,9.87,48500
2019-08-16,8.7,10.11,8.34,150037
2019-08-23,8.12,9.2,7.69,451410
2019-08-30,8.07,8.86,7.71,291542
2019-09-06,9.5,9.73,7.71,230083
2019-09-13,11.0,11.565,8.59,426951
2019-09-20,10.6,11.19,9.774,577283
2019-09-27,9.33,11.0,9.03,514543
2019-10-04,8.43,9.4,8.0,178190
2019-10-11,9.48,10.51,8.825,283278
2019-10-18,9.98,10.6,9.15,209481
2019-10-25,9.51,11.0,9.47,217112
2019-11-01,10.43,11.0,9.59,129966
2019-11-08,10.98,11.6,10.21,103287
2019-11-15,10.78,11.33,10.525,80217
2019-11-22,10.46,11.5,10.07,260443
2019-11-29,11.08,11.5,10.29,203489
2019-12-06,10.11,11.5,9.83,269112
2019-12-13,11.13,11.39,10.11,385505
2019-12-20,10.72,11.49,10.22,572155
2019-12-27,10.98,11.66,10.58,225115
2020-01-03,11.71,12.14,10.9,240860
2020-01-10,12.0,12.75,11.48,606882
2020-01-17,11.95,12.51,11.56,537241
