date,adjClose,adjHigh,adjLow,adjVolume
2013-10-18,44.39,44.99,35.06,18081800
2013-10-25,43.0,49.0,39.57,4069100
2013-11-01,38.58,43.25,35.0,3186700
2013-11-08,40.54,40.62,37.5,1500100
2013-11-15,38.59,41.05,36.6,1661300
2013-11-22,38.15,40.79,36.75,2013100
2013-11-29,40.49,43.69,38.38,2042900
2013-12-06,40.05,44.3,38.5,6379100
2013-12-13,36.93,40.08,36.67,3747900
2013-12-20,33.69,37.09,32.05,9443600
2013-12-27,31.86,33.9,31.56,2153700
2014-01-03,35.17,35.5,31.43,3070900
2014-01-10,32.53,35.59,31.5,4369800
2014-01-17,31.5,33.76,28.7117,8698400
2014-01-24,31.89,32.08,30.91,2297100
2014-01-31,31.79,32.64,30.5,1895000
2014-02-07,30.81,31.78,28.81,2942200
2014-02-14,34.23,34.26,30.45,2109900
2014-02-21,35.05,36.27,34.36,2162700
2014-02-28,35.3,38.08,33.678,3348600
2014-03-07,32.43,39.81,32.32,9446100
2014-03-14,32.26,34.06,31.88,3466600
2014-03-21,30.11,34.0,29.85,3369400
2014-03-28,26.91,30.165,25.21,14599600
2014-04-04,23.1,29.06,21.91,10637100
2014-04-11,21.9,24.25,21.85,6797400
2014-04-18,22.55,22.84,20.4,8291700
2014-04-25,19.74,23.59,19.61,5472600
2014-05-02,19.89,20.42,17.85,9410100
2014-05-09,18.23,20.19,17.11,5359600
2014-05-16,19.34,19.37,17.66,3317400
2014-05-23,21.16,21.35,19.04,3997100
2014-05-30,20.96,23.25,20.05,8368300
2014-06-06,21.15,21.45,19.51,4662800
2014-06-13,21.31,22.14,20.86,3082200
2014-06-20,24.75,25.0,20.79,9081100
2014-06-27,24.83,25.24,22.97,9275100
2014-07-04,24.96,26.34,24.7,4957600
2014-07-11,24.41,25.14,23.27,5225400
2014-07-18,24.52,25.08,23.32,4725600
2014-07-25,23.59,25.01,23.57,2200200
2014-08-01,22.5,24.63,22.21,2169700
2014-08-08,22.18,23.59,22.04,2942500
2014-08-15,22.07,23.2,21.84,2547300
2014-08-22,24.42,24.48,21.57,3864900
2014-08-29,29.97,30.0,24.12,11720700
2014-09-05,29.73,31.655,28.37,8406800
2014-09-12,31.56,31.68,29.17,6129200
2014-09-19,28.98,31.57,28.67,5476500
2014-09-26,28.74,29.63,28.07,4842800
2014-10-03,27.47,29.23,25.73,5732500
2014-10-10,25.35,27.82,24.4611,3654100
2014-10-17,28.1,28.29,24.75,5048300
2014-10-24,28.02,28.83,27.36,2849600
2014-10-31,29.78,30.6781,27.3,3297700
2014-11-07,28.43,29.9,27.41,2941000
2014-11-14,28.0,29.2761,27.64,2151700
2014-11-21,28.0,28.62,27.16,2948100
2014-11-28,32.85,33.66,28.0101,7981800
2014-12-05,30.97,32.8,29.63,9201700
2014-12-12,28.59,31.38,28.413,3855800
2014-12-19,27.69,29.17,25.52,7784200
2014-12-26,26.78,27.99,26.31,2812500
2015-01-02,26.23,27.1,25.84,2923000
2015-01-09,28.79,29.17,25.9,4508100
2015-01-16,28.07,29.54,27.75,4340300
2015-01-23,29.3,29.39,27.3001,2157400
2015-01-30,28.76,30.5,28.35,2802600
2015-02-06,30.16,30.97,28.12,3362800
2015-02-13,30.12,30.5,29.6101,3258600
2015-02-20,30.58,31.779,29.6,4518400
2015-02-27,30.87,31.6399,29.06,4287700
2015-03-06,24.63,33.1,24.42,33647400
2015-03-13,24.86,25.44,23.82,7734900
2015-03-20,27.28,28.05,24.73,8672900
2015-03-27,25.46,27.31,25.01,4986900
2015-04-03,25.15,25.87,24.39,3664900
2015-04-10,26.69,26.85,24.77,5132200
2015-04-17,26.42,27.27,25.51,4007200
2015-04-24,27.17,27.63,26.25,3294000
2015-05-01,26.99,27.73,26.4,3362700
2015-05-08,27.23,27.63,26.41,2841300
2015-05-15,27.2,27.78,26.6,2283800
2015-05-22,27.9,28.27,27.07,3431100
2015-05-29,27.12,29.09,26.48,10135600
2015-06-05,27.62,27.92,26.015,6778000
2015-06-12,26.61,27.83,26.15,4430900
2015-06-19,26.86,27.59,26.24,4724500
2015-06-26,28.5,28.92,26.73,7999600
2015-07-03,28.09,28.85,27.4003,4637300
