date,adjClose,adjHigh,adjLow,adjVolume
2006-05-26,13.02,17.25,12.63,50380400
2006-06-02,11.98,13.33,11.52,11397800
2006-06-09,11.91,12.6,11.61,7883000
2006-06-16,9.6,11.98,9.6,8543300
2006-06-23,8.75,9.3,8.25,11220400
2006-06-30,8.59,9.18,8.53,6271000
2006-07-07,7.67,8.82,7.65,3097400
2006-07-14,6.76,7.91,6.5,5193400
2006-07-21,6.84,7.42,6.77,4139000
2006-07-28,6.95,7.04,6.8,1928800
2006-08-04,6.91,7.15,6.3,5434000
2006-08-11,6.5,7.49,6.49,4353900
2006-08-18,6.5,6.93,6.41,3550100
2006-08-25,7.08,7.34,6.38,3381300
2006-09-01,8.9,9.07,7.0,7194500
2006-09-08,7.86,8.95,7.75,4273300
2006-09-15,7.3,7.99,7.1,5060500
2006-09-22,7.14,7.42,7.01,2335500
2006-09-29,6.88,7.3,6.63,2855000
2006-10-06,7.0,7.44,6.91,2301200
2006-10-13,7.27,7.85,6.95,2949200
2006-10-20,7.48,7.89,7.25,2427700
2006-10-27,7.32,7.71,7.26,1169000
2006-11-03,6.56,7.81,6.4,4677500
2006-11-10,6.63,6.84,6.59,1652000
2006-11-17,7.2,7.21,6.44,2644100
2006-11-24,6.67,6.8,6.58,2534800
2006-12-01,6.51,6.7,6.5,2141700
2006-12-08,7.07,7.11,6.5,5015500
2006-12-15,7.22,7.3,7.01,4281000
2006-12-22,7.01,7.25,6.9,2067400
2006-12-29,6.94,7.24,6.89,2228200
2007-01-05,6.52,7.01,6.48,1893900
2007-01-12,6.47,6.74,6.4,2093100
2007-01-19,6.06,6.49,5.69,4154700
2007-01-26,6.01,6.44,5.58,4808100
2007-02-02,5.38,6.11,5.31,4591500
2007-02-09,5.91,5.94,5.37,3876400
2007-02-16,5.43,5.91,5.25,5916500
2007-02-23,5.39,5.52,5.08,2776200
2007-03-02,5.22,5.6,5.16,5009700
2007-03-09,4.17,5.39,3.87,18470100
2007-03-16,4.0,4.39,3.97,7456200
2007-03-23,3.0,4.19,2.98,13628000
2007-03-30,3.45,3.57,3.04,15656700
2007-04-06,3.37,3.98,3.34,7738400
2007-04-13,3.39,3.45,2.88,19868500
2007-04-20,2.99,3.68,2.95,12248300
2007-04-27,3.11,4.43,2.83,41892000
2007-05-04,3.12,3.32,2.98,7922100
2007-05-11,3.46,3.77,3.0,10375100
2007-05-18,3.12,3.55,3.04,6575700
2007-05-25,3.21,3.2944,3.11,2763500
2007-06-01,3.06,3.27,3.01,3188400
2007-06-08,3.14,3.15,2.89,7026500
2007-06-15,3.08,3.15,3.0,3205400
2007-06-22,3.05,3.12,3.0,9853400
2007-06-29,3.11,3.32,2.97,7601800
2007-07-06,3.06,3.19,3.0075,2957300
2007-07-13,3.0,3.07,2.96,3874600
2007-07-20,2.76,3.04,2.72,4516900
2007-07-27,2.61,2.77,2.51,5958300
2007-08-03,2.04,2.64,1.84,9591400
2007-08-10,2.46,2.522,1.8,12460100
2007-08-17,2.14,2.51,2.09,4018900
2007-08-24,2.19,2.25,2.07,5596800
2007-08-31,2.11,2.3,2.06,3058800
2007-09-07,2.03,2.12,2.01,2347800
2007-09-14,1.99,2.1,1.95,2683300
2007-09-21,2.01,2.11,1.91,4162800
2007-09-28,1.03,2.02,0.8902,23275000
2007-10-05,1.15,1.23,0.96,10647100
2007-10-12,1.85,2.7,1.41,62470000
2007-10-19,1.54,1.8899,1.5,10139000
2007-10-26,2.13,2.5,1.21,20156200
2007-11-02,2.07,2.2,1.91,9173700
2007-11-09,2.26,2.7,1.95,11576600
2007-11-16,2.27,2.36,2.04,5436100
2007-11-23,2.12,2.21,2.08,3387600
2007-11-30,2.11,2.36,2.05,4375900
2007-12-07,2.06,2.25,2.01,3315500
2007-12-14,2.05,2.15,1.99,3563600
2007-12-21,2.06,2.06,1.71,7478500
2007-12-28,2.0,2.24,2.0,5869000
2008-01-04,1.97,2.43,1.82,8633200
2008-01-11,1.97,2.15,1.7,6419900
2008-01-18,2.05,2.06,1.86,4305500
2008-01-25,1.99,2.06,1.8,3363600
2008-02-01,2.0,2.03,1.94,2808600
2008-02-08,1.99,2.07,1.92,2890200
2008-02-15,2.07,2.17,1.9,5756400
2008-02-22,2.06,2.14,2.0,2028800
2008-02-29,1.85,2.09,1.82,3313000
2008-03-07,1.91,2.01,1.76,2837500
2008-03-14,1.83,1.95,1.81,3636900
2008-03-21,1.82,1.95,1.69,3704100
2008-03-28,1.87,1.98,1.78,2844400
2008-04-04,1.94,1.99,1.735,2994900
2008-04-11,1.81,1.98,1.8,1761100
2008-04-18,1.81,1.87,1.75,1609600
2008-04-25,2.02,2.05,1.73,4203900
2008-05-02,1.96,2.04,1.94,2135200
2008-05-09,1.83,2.03,1.81,2619600
2008-05-16,1.83,1.86,1.77,1531400
