date,adjClose,adjHigh,adjLow,adjVolume
2016-07-22,11.6,13.6,11.1501,327476
2016-07-29,11.65,12.0,11.0,270867
2016-08-05,10.7389,11.9,10.09,297506
2016-08-12,10.65,11.01,9.5,1427028
2016-08-19,5.94,10.74,5.68,1882390
2016-08-26,6.1,6.24,5.55,2162376
2016-09-02,7.09,7.16,6.01,1055168
2016-09-09,7.62,8.1245,7.12,1216462
2016-09-16,6.87,7.86,6.52,2389737
2016-09-23,6.79,7.2058,6.665,1540193
2016-09-30,6.45,6.89,6.24,469952
2016-10-07,6.23,6.92,6.1,406932
2016-10-14,6.09,6.44,6.02,672383
2016-10-21,6.23,6.56,6.0,441846
2016-10-28,5.85,6.31,5.605,289707
2016-11-04,4.95,6.32,4.87,705017
2016-11-11,5.32,5.405,4.37,830352
2016-11-18,5.36,6.125,5.245,1202621
2016-11-25,5.47,5.6407,5.16,751954
2016-12-02,5.29,5.72,5.22,789803
2016-12-09,6.86,7.51,5.25,964843
2016-12-16,7.16,7.16,6.5,692704
2016-12-23,7.09,7.16,6.4575,196513
2016-12-30,7.1,7.18,6.59,405316
2017-01-06,6.41,7.2,6.35,1260679
2017-01-13,7.05,7.13,6.4,618824
2017-01-20,6.99,7.31,6.901,844144
2017-01-27,8.03,8.0578,6.95,914603
2017-02-03,7.98,8.16,7.76,804309
2017-02-10,7.85,8.05,7.73,554432
2017-02-17,8.27,8.33,7.77,1033775
2017-02-24,8.02,8.43,7.94,425091
2017-03-03,7.94,8.15,7.43,593209
2017-03-10,6.98,7.94,6.93,600614
2017-03-17,6.14,7.45,5.99,1227662
2017-03-24,5.77,6.325,5.69,798883
2017-03-31,6.0,6.19,5.54,932345
2017-04-07,5.64,6.05,5.46,635958
2017-04-14,5.94,6.06,5.25,1275778
2017-04-21,5.82,6.09,5.35,700717
2017-04-28,6.07,6.23,5.65,954073
2017-05-05,5.71,6.18,5.52,1373365
2017-05-12,6.07,6.07,5.66,1142075
2017-05-19,3.67,6.11,3.62,3437830
2017-05-26,3.54,3.94,3.27,2116819
2017-06-02,3.78,3.85,3.17,1791084
2017-06-09,3.75,3.84,3.45,1005930
2017-06-16,3.79,4.2,3.58,1351849
2017-06-23,4.04,4.13,3.6,6246093
2017-06-30,4.69,4.72,4.01,1382518
2017-07-07,4.62,4.89,4.4,672109
2017-07-14,4.81,4.94,4.5,740974
2017-07-21,5.01,5.19,4.65,862713
2017-07-28,4.77,5.05,4.7,516732
2017-08-04,4.8,5.0,4.69,635749
2017-08-11,3.93,4.84,3.86,1116509
2017-08-18,3.86,4.1,3.82,584352
2017-08-25,4.82,4.84,3.84,469684
2017-09-01,5.38,5.53,4.76,654518
2017-09-08,5.13,5.43,4.97,460096
2017-09-15,5.0,5.36,4.83,691605
2017-09-22,4.96,5.28,4.9,692866
2017-09-29,5.09,5.17,4.83,759299
2017-10-06,5.53,5.55,5.04,653771
2017-10-13,5.83,6.17,5.51,929683
2017-10-20,6.91,7.0,5.69,2016819
2017-10-27,7.14,7.31,6.85,2129982
2017-11-03,7.29,7.31,6.86,1316573
2017-11-10,7.2,7.42,7.0,1955146
2017-11-17,9.4,9.74,7.112,4651654
2017-11-24,11.15,11.3,9.415,2909841
2017-12-01,11.69,11.89,10.67,3590318
2017-12-08,12.25,12.82,10.91,4414493
2017-12-15,13.61,13.64,12.1,2858046
2017-12-22,15.93,16.38,13.66,3968021
2017-12-29,17.57,17.77,15.8275,2050218
2018-01-05,16.63,17.8,14.42,4891559
2018-01-12,16.94,17.7,16.25,2418801
2018-01-19,17.04,18.12,16.0,1854079
2018-01-26,16.33,17.3,15.935,1256824
2018-02-02,15.12,17.12,15.02,1808980
2018-02-09,15.11,15.37,13.8363,2314075
2018-02-16,17.08,17.46,14.76,1556435
2018-02-23,17.19,18.0,16.71,1934867
2018-03-02,17.77,18.47,16.79,2394107
2018-03-09,17.57,19.32,17.27,2873626
2018-03-16,17.22,17.61,16.84,3195049
2018-03-23,15.95,18.16,15.93,4942066
2018-03-30,16.84,17.18,15.21,2507794
2018-04-06,16.35,16.84,15.52,2863715
2018-04-13,16.86,17.3,16.0968,1141240
2018-04-20,18.55,18.99,16.63,1911518
2018-04-27,18.33,19.665,18.01,1325453
2018-05-04,18.61,18.99,17.38,1578444
2018-05-11,18.98,19.75,17.741,1423673
2018-05-18,20.69,21.1159,18.54,2058414
2018-05-25,20.01,21.1,19.41,1446873
2018-06-01,20.49,20.8799,19.78,1399871
2018-06-08,20.21,21.82,20.025,1413099
2018-06-15,19.7,20.51,18.85,1314744
2018-06-22,20.05,20.44,19.11,1924279
2018-06-29,21.76,22.69,19.32,1547954
2018-07-06,22.39,22.52,21.35,1177096
2018-07-13,20.89,22.6142,20.54,889000
2018-07-20,21.15,21.91,20.53,856485
2018-07-27,21.18,21.67,20.83,821634
2018-08-03,22.01,22.78,20.27,929696
2018-08-10,26.21,26.55,22.29,2040182
2018-08-17,28.04,28.2,26.44,2020871
2018-08-24,29.19,29.5999,27.92,2026780
2018-08-31,31.39,31.53,29.37,2732557
2018-09-07,29.81,31.79,29.37,1988890
2018-09-14,31.02,32.46,28.91,4050960
2018-09-21,28.73,31.178,28.605,2318576
2018-09-28,33.67,34.0299,28.8,3073649
2018-10-05,33.57,34.6,32.18,2139591
2018-10-12,29.56,34.03,29.01,2602869
2018-10-19,29.64,30.87,28.43,1592263
2018-10-26,30.28,30.96,28.263,1940324
2018-11-02,29.32,30.56,27.71,1802922
2018-11-09,27.35,31.96,27.14,2258655
2018-11-16,25.98,27.54,25.26,1663753
2018-11-23,24.75,26.145,24.15,1071346
2018-11-30,25.22,26.1,23.34,1814137
2018-12-07,23.41,26.26,23.1906,1366865
2018-12-14,24.03,24.84,22.55,1639586
2018-12-21,21.57,24.1,21.33,1757432
2018-12-28,22.13,22.825,20.73,753028
2019-01-04,23.42,23.51,21.635,1079970
2019-01-11,25.54,25.645,23.1501,1858129
2019-01-18,25.2,25.61,24.375,1473507
2019-01-25,25.29,25.93,24.76,802655
2019-02-01,24.86,25.57,24.34,1183652
2019-02-08,23.96,25.68,23.6668,1393411
2019-02-15,25.52,25.92,23.86,1223059
2019-02-22,25.8,25.86,24.74,671476
2019-03-01,19.84,26.18,18.83,2535082
2019-03-08,19.4,20.43,18.43,2623292
2019-03-15,19.6,20.2,19.15,1748301
2019-03-22,20.04,21.02,19.44,2203910
2019-03-29,21.42,21.58,19.76,1320267
2019-04-05,22.15,22.29,21.425,1466004
2019-04-12,21.36,22.81,21.26,1672326
2019-04-19,21.71,22.47,21.37,1150712
2019-04-26,22.78,22.83,21.39,1461745
2019-05-03,23.22,23.3,22.06,1332924
2019-05-10,21.22,23.35,20.41,1683017
2019-05-17,21.17,22.06,20.63,1728826
2019-05-24,18.16,20.96,17.51,1848243
2019-05-31,17.22,18.44,17.19,1187183
2019-06-07,17.26,17.48,16.55,1740754
2019-06-14,18.15,18.44,16.66,1497059
2019-06-21,18.91,19.07,17.77,1289876
2019-06-28,19.05,19.38,18.2,1547063
2019-07-05,19.23,19.4,18.53,821549
2019-07-12,17.83,19.22,17.745,1060270
2019-07-19,17.06,18.39,16.98,901183
2019-07-26,17.03,17.715,16.42,1204395
2019-08-02,14.41,17.1,14.22,1333953
2019-08-09,12.21,14.39,12.0104,1747170
2019-08-16,11.23,12.08,10.88,2357862
2019-08-23,9.92,11.59,9.61,2388025
2019-08-30,10.21,10.59,9.68,1933925
2019-09-06,10.24,10.7,9.78,953644
