date,adjClose,adjHigh,adjLow,adjVolume
2016-10-07,21.95,22.57,20.55,3772831
2016-10-14,22.48,24.6,21.76,751393
2016-10-21,24.05,24.2,22.45,577248
2016-10-28,22.0,24.51,21.685,803335
2016-11-04,20.94,22.68,20.94,558248
2016-11-11,20.16,21.0,19.62,762377
2016-11-18,21.75,22.22,19.37,1261249
2016-11-25,23.0,23.36,21.5,329923
2016-12-02,23.63,24.0,22.5,590061
2016-12-09,23.91,24.375,23.0355,318458
2016-12-16,25.03,26.33,22.27,1233505
2016-12-23,25.7,26.18,23.841,487154
2016-12-30,24.53,25.7,24.01,180505
2017-01-06,20.21,24.15,20.07,1020549
2017-01-13,19.17,20.47,19.08,751904
2017-01-20,20.1,20.48,19.15,373610
2017-01-27,19.45,20.48,18.835,501830
2017-02-03,20.28,20.33,18.86,252860
2017-02-10,18.44,20.67,18.35,316270
2017-02-17,17.06,18.75,16.0,1011527
2017-02-24,17.0,20.207,16.66,685943
2017-03-03,16.49,17.18,16.26,376394
2017-03-10,15.52,16.44,14.3,1116174
2017-03-17,18.02,18.52,15.4,1288096
2017-03-24,17.34,18.15,16.635,774441
2017-03-31,17.07,17.4,16.89,539257
2017-04-07,18.04,18.39,17.1,585673
2017-04-14,17.45,18.01,17.39,264410
2017-04-21,18.06,18.19,17.25,212524
2017-04-28,18.37,18.83,17.955,398667
2017-05-05,17.11,18.37,16.92,205572
2017-05-12,16.3,17.59,16.02,718118
2017-05-19,17.05,17.87,16.36,490770
2017-05-26,17.11,17.33,16.69,347613
2017-06-02,17.1,17.35,16.68,642541
2017-06-09,16.09,17.39,15.93,424345
2017-06-16,15.53,17.05,15.35,1234504
2017-06-23,16.32,16.66,15.49,816338
2017-06-30,15.23,16.99,15.07,405287
2017-07-07,14.72,15.755,14.27,496290
2017-07-14,15.25,15.455,14.48,657884
2017-07-21,15.69,15.94,15.34,259525
2017-07-28,16.0,16.26,15.5,379803
2017-08-04,16.1,16.39,15.59,369345
2017-08-11,14.54,16.78,14.34,625708
2017-08-18,15.3,15.5,14.52,454039
2017-08-25,16.18,16.405,15.07,347168
2017-09-01,14.95,16.24,14.67,211198
2017-09-08,15.01,16.21,14.69,364422
2017-09-15,14.46,15.38,14.44,627539
2017-09-22,14.44,14.73,14.02,317300
2017-09-29,13.5,15.01,13.45,520011
2017-10-06,13.82,13.94,13.27,360161
2017-10-13,13.82,14.03,12.52,681064
2017-10-20,12.79,13.965,12.57,642978
2017-10-27,11.39,13.1,11.14,592713
2017-11-03,12.6,12.86,10.87,805671
2017-11-10,14.49,14.71,12.41,605997
2017-11-17,15.04,15.17,14.11,521097
2017-11-24,15.05,15.97,14.88,237570
2017-12-01,15.29,15.69,14.75,410811
2017-12-08,15.19,15.64,14.981,139459
2017-12-15,16.13,16.45,15.03,341151
2017-12-22,15.93,17.7,15.73,743612
2017-12-29,15.52,16.25,15.45,166216
2018-01-05,15.86,16.56,15.53,161687
2018-01-12,14.94,15.82,14.63,282170
2018-01-19,14.9,15.21,14.805,333384
2018-01-26,14.89,15.125,14.77,148874
2018-02-02,14.22,15.25,14.2,248805
2018-02-09,13.24,14.3,12.88,499664
2018-02-16,15.04,15.55,13.16,1049601
2018-02-23,12.91,14.99,12.88,413817
2018-03-02,13.99,14.18,12.72,573015
2018-03-09,13.5,14.1,13.1972,614818
2018-03-16,13.44,14.69,13.05,2311951
2018-03-23,12.9,13.9,12.89,891024
2018-03-30,12.42,13.04,12.38,351461
2018-04-06,12.8,13.37,11.8259,506986
2018-04-13,13.56,13.66,12.63,493837
2018-04-20,14.46,14.6,13.51,428720
2018-04-27,14.2,14.76,14.095,423434
2018-05-04,14.65,14.8,14.25,244731
2018-05-11,14.39,14.87,13.8,344707
2018-05-18,14.01,14.54,13.64,237994
2018-05-25,14.48,14.625,13.84,196216
2018-06-01,14.82,14.88,14.0,239394
2018-06-08,15.02,15.115,14.53,221608
2018-06-15,14.55,15.92,14.54,621759
2018-06-22,15.41,15.44,14.38,389473
2018-06-29,15.58,15.92,15.04,779924
2018-07-06,16.4,16.47,15.24,465962
2018-07-13,16.85,17.43,16.43,423924
2018-07-20,15.72,16.7,15.3,304947
2018-07-27,16.4,16.44,15.68,212786
2018-08-03,16.47,16.68,16.17,303843
2018-08-10,16.86,17.21,16.36,341573
2018-08-17,17.29,17.5,16.64,335858
2018-08-24,18.18,18.72,17.33,587045
2018-08-31,18.18,18.36,17.95,209910
2018-09-07,17.29,18.16,16.54,214357
2018-09-14,17.34,17.575,16.85,309207
2018-09-21,18.19,18.495,17.53,808570
2018-09-28,18.07,18.45,17.19,203233
2018-10-05,17.85,18.1,16.6151,411155
2018-10-12,16.86,20.49,16.6,1046155
2018-10-19,18.68,18.86,16.85,414431
2018-10-26,16.67,18.91,16.5,279100
2018-11-02,16.8,17.48,16.5,355807
2018-11-09,18.33,19.9775,16.74,503718
2018-11-16,18.68,19.38,17.89,430281
2018-11-23,17.73,18.81,17.3,188804
2018-11-30,18.78,19.0,17.29,317929
2018-12-07,18.06,19.09,17.5,331045
2018-12-14,18.51,18.94,17.52,413942
2018-12-21,18.11,18.7,17.62,534126
2018-12-28,19.17,19.93,17.525,436051
2019-01-04,20.49,20.9999,18.64,458725
2019-01-11,21.17,21.5,20.26,507759
2019-01-18,21.42,21.62,20.5,432089
2019-01-25,21.22,21.48,20.86,208578
2019-02-01,20.74,21.25,20.56,346113
2019-02-08,20.92,21.1,20.03,213825
2019-02-15,21.26,21.555,20.54,193065
2019-02-22,22.56,22.6,20.905,360836
2019-03-01,20.65,23.35,20.38,547400
2019-03-08,19.77,20.755,19.65,292930
2019-03-15,20.39,20.77,19.72,478433
2019-03-22,18.99,20.51,18.87,289677
