date,adjClose,adjHigh,adjLow,adjVolume
1995-11-17,3.7825,3.8125,3.75,12706000
1995-11-24,3.75,3.7825,3.75,3712800
1995-12-01,3.5625,3.7825,3.3125,7808800
1995-12-08,3.75,3.9075,3.5,2444800
1995-12-15,4.25,4.3125,3.72,5874000
1995-12-22,4.4075,4.5,3.97,2327600
1995-12-29,4.5625,4.5625,4.375,780000
1996-01-05,4.40625,4.53125,4.1875,1610400
1996-01-12,4.59375,4.8125,4.59375,1167200
1996-01-19,4.375,4.5625,4.28125,1663200
1996-01-26,5.03125,5.03125,4.75,3227600
1996-02-02,4.96875,5.25,4.875,1936400
1996-02-09,4.75,4.875,4.59375,2319200
1996-02-16,4.8125,4.96875,4.65625,508000
1996-02-23,5.15625,5.25,4.75,1620400
1996-03-01,5.155,5.375,5.0625,908400
1996-03-08,5.125,5.25,5.0,875600
1996-03-15,6.0,6.125,5.125,2676400
1996-03-22,5.875,6.0,5.53,1262800
1996-03-29,5.78125,5.97,5.71875,1037600
1996-04-05,6.71875,7.125,5.78125,1353600
1996-04-12,7.0625,7.3125,6.84375,2462800
1996-04-19,7.46875,7.5,7.0625,1265600
1996-04-26,6.9375,7.46875,6.5625,1815200
1996-05-03,6.875,7.09375,6.875,484000
1996-05-10,7.0625,7.25,6.9375,505200
1996-05-17,7.125,7.125,6.8125,334800
1996-05-24,7.15625,7.15625,6.75,1916400
1996-05-31,7.21875,7.5,7.21875,998000
1996-06-07,6.6875,7.53125,6.65625,23150800
1996-06-14,6.9375,7.125,6.625,5804800
1996-06-21,7.1875,7.21875,6.75,4638800
1996-06-28,7.53125,7.53125,7.15625,3585200
1996-07-05,7.8125,8.15625,7.4375,2382800
1996-07-12,7.8125,7.84375,7.155,4621200
1996-07-19,7.03125,7.65625,6.405,4298400
1996-07-26,6.71875,7.095,6.3125,2651200
1996-08-02,7.375,7.5625,7.0,1370800
1996-08-09,7.75,7.8125,7.375,1787200
1996-08-16,7.875,7.9375,7.71875,1930400
1996-08-23,7.0625,7.65625,7.03125,3193200
1996-08-30,7.8125,7.97,7.59375,1230000
1996-09-06,7.21875,7.8125,7.21875,2354400
1996-09-13,7.75,7.78125,7.21875,2260400
1996-09-20,7.4375,7.75,7.3125,1142800
1996-09-27,7.5,7.65625,7.1875,2730000
1996-10-04,8.21875,8.25,7.5,1725200
1996-10-11,8.25,8.3125,8.09375,2873600
1996-10-18,8.0625,8.3125,8.03,1438000
1996-10-25,7.96875,8.22,7.96875,1837600
1996-11-01,7.75,7.845,7.405,2575200
1996-11-08,7.3125,7.75,7.125,3356800
1996-11-15,7.5,7.53125,7.125,2254000
1996-11-22,7.25,7.5,7.21875,2143200
1996-11-29,6.78,7.28125,6.53125,2704400
1996-12-06,7.1875,7.47,6.595,1866400
1996-12-13,7.53,7.5625,7.155,1035200
1996-12-20,7.625,7.8125,7.405,1342800
1996-12-27,7.625,7.6875,7.53,746400
1997-01-03,7.5325,7.625,7.47,1161600
1997-01-10,7.375,7.595,7.345,1444800
1997-01-17,7.0625,7.4075,7.0,2334000
1997-01-24,7.47,7.845,7.125,3527200
1997-01-31,7.4075,7.72,7.375,2699200
1997-02-07,7.47,7.595,7.3125,1534400
1997-02-14,6.9375,7.5,6.75,2135200
1997-02-21,7.0,7.0325,6.5,3488800
1997-02-28,7.5325,7.5625,6.8125,3815200
1997-03-07,7.345,7.6875,7.2825,3657200
1997-03-14,6.97,7.3125,6.875,2876000
1997-03-21,6.875,7.095,6.7825,1108000
1997-03-28,6.845,7.0325,6.75,1103200
1997-04-04,6.7825,6.845,6.47,800800
1997-04-11,6.22,7.0325,6.095,4722400
1997-04-18,6.095,6.22,5.7825,1776000
1997-04-25,6.97,7.125,5.9375,5792000
1997-05-02,7.5,7.625,6.9075,2094800
1997-05-09,7.5325,7.6575,7.25,2806000
1997-05-16,7.6575,7.72,7.3125,1329600
1997-05-23,8.0325,8.0325,7.625,2754800
1997-05-30,8.0625,8.125,7.9375,1081200
1997-06-06,8.595,8.595,8.0325,2186400
1997-06-13,8.125,8.6875,8.095,5038000
