date,adjClose,adjHigh,adjLow,adjVolume
2019-03-29,26.75,28.936,25.26,211517
2019-04-05,25.9,27.205,23.7,349495
2019-04-12,25.825,27.8,24.32,299478
2019-04-19,28.15,28.92,25.25,201529
2019-04-26,26.5,28.2899,26.03,288727
2019-05-03,25.82,27.8,25.02,337557
2019-05-10,25.0,27.04,24.25,440024
2019-05-17,25.33,26.325,24.75,384322
2019-05-24,26.67,26.9,25.15,259865
2019-05-31,25.82,27.0,25.65,229936
2019-06-07,24.7,26.75,24.265,380097
2019-06-14,27.51,27.7,24.87,891070
2019-06-21,27.46,28.985,26.92,605524
2019-06-28,27.42,28.5,26.56,3060256
2019-07-05,26.64,27.575,26.17,662146
2019-07-12,26.24,27.29,25.14,829766
2019-07-19,23.08,26.37,22.79,486318
2019-07-26,23.06,23.55,22.34,389083
2019-08-02,20.01,23.1,18.75,1347809
2019-08-09,23.56,23.98,19.0,752774
2019-08-16,24.15,24.43,22.46,827013
2019-08-23,23.9,25.0,23.315,373398
2019-08-30,23.2,24.27,22.7322,433573
2019-09-06,24.24,25.0,22.88,370053
2019-09-13,26.83,27.31,23.75,930376
2019-09-20,25.54,26.76,25.33,1223669
2019-09-27,26.55,27.29,24.51,959592
2019-10-04,27.13,27.94,25.01,1249706
2019-10-11,27.44,28.31,26.54,843546
2019-10-18,27.99,28.336,26.69,884454
2019-10-25,28.39,28.88,27.48,739264
2019-11-01,27.15,28.895,26.5,931645
2019-11-08,25.2,27.35,24.81,1118744
2019-11-15,26.05,26.65,24.97,970048
2019-11-22,25.93,26.64,25.52,706216
2019-11-29,27.05,27.5,26.0,842108
2019-12-06,26.47,27.39,25.81,950561
2019-12-13,26.81,27.97,26.11,1048738
2019-12-20,26.02,27.22,25.67,1406055
2019-12-27,25.25,26.17,25.22,411266
2020-01-03,25.7,25.88,24.83,488347
2020-01-10,25.25,26.35,23.85,431022
2020-01-17,25.68,26.4998,24.81,562693
