date,adjClose,adjHigh,adjLow,adjVolume
2015-08-07,26.5,28.82,22.99,506800
2015-08-14,25.19,26.6,24.56,697900
2015-08-21,25.18,27.09,24.35,11811515
2015-08-28,24.86,26.25,23.0,9995228
2015-09-04,25.07,26.2,24.01,5397081
2015-09-11,25.87,26.1,24.7,4756365
2015-09-18,28.07,28.54,25.75,7672622
2015-09-25,27.9,28.51,26.88,4544137
2015-10-02,26.56,28.335,25.67,6713635
2015-10-09,33.45,33.52,26.42,7481486
2015-10-16,30.45,33.62,30.13,5638382
2015-10-23,29.99,31.7,29.11,4364942
2015-10-30,27.69,30.24,26.39,6683887
2015-11-06,25.48,30.25,24.83,16503621
2015-11-13,23.27,25.92,23.11,5577410
2015-11-20,25.29,25.8,23.16,4168942
2015-11-27,24.55,25.33,23.85,2315565
2015-12-04,24.66,25.25,23.59,4767874
2015-12-11,23.28,25.19,23.0,6412146
2015-12-18,24.61,25.59,22.8,6704777
2015-12-25,24.41,25.06,23.36,3038847
2016-01-01,23.48,24.82,23.48,2456659
2016-01-08,22.1,23.33,21.35,6081589
2016-01-15,20.83,23.0,19.83,10799568
2016-01-22,20.18,21.06,18.8501,9752357
2016-01-29,20.5,20.74,19.15,6949431
2016-02-05,16.92,20.51,16.71,10014072
2016-02-12,17.81,18.78,15.36,21268045
2016-02-19,20.31,20.48,17.21,8278103
2016-02-26,21.01,22.14,19.27,10867645
2016-03-04,23.28,24.16,20.97,9810358
2016-03-11,23.08,24.64,21.86,6666789
2016-03-18,22.32,23.02,21.62,4463441
2016-03-25,22.53,24.5,22.0125,5593560
2016-04-01,23.45,23.995,22.04,5637441
2016-04-08,21.09,23.43,20.05,8961802
2016-04-15,21.85,21.98,19.63,4271300
2016-04-22,24.85,25.05,21.37,6009397
2016-04-29,24.04,26.27,23.33,6914449
2016-05-06,26.63,29.7,23.42,17825943
2016-05-13,27.65,28.27,26.02,3883666
2016-05-20,27.79,29.42,26.15,9944120
2016-05-27,28.6,29.3699,27.585,4873263
2016-06-03,29.33,29.45,27.76,5934679
2016-06-10,32.22,33.25,29.4,10220188
2016-06-17,34.05,34.36,31.85,11398211
2016-06-24,34.58,35.5,33.9,9329805
2016-07-01,35.56,36.4,32.71,7809068
2016-07-08,36.16,36.19,34.51,3717373
2016-07-15,37.28,37.53,36.0,4794330
2016-07-22,38.03,38.75,37.06,5127699
2016-07-29,39.25,39.59,37.35,7583711
2016-08-05,37.4,39.88,36.25,9366222
2016-08-12,35.2,37.77,34.61,8221005
2016-08-19,34.91,36.01,32.88,7369628
2016-08-26,34.27,35.73,33.72,4678809
2016-09-02,34.76,34.92,33.03,4561301
2016-09-09,33.43,35.24,33.19,4161887
2016-09-16,33.73,33.91,32.65,4593874
2016-09-23,35.22,35.92,33.39,4152579
2016-09-30,34.65,36.51,34.3,4654570
2016-10-07,33.17,35.08,33.09,5103605
2016-10-14,32.68,33.77,31.22,7118713
2016-10-21,33.86,34.0,32.35,5170987
2016-10-28,32.42,34.6,31.51,4834008
2016-11-04,34.45,36.7499,32.18,14805925
2016-11-11,35.45,37.14,33.86,7561903
2016-11-18,36.29,36.94,34.8,6901558
2016-11-25,36.43,37.54,35.48,3554448
2016-12-02,33.87,36.54,33.43,7195118
2016-12-09,36.91,37.99,33.61,18681013
2016-12-16,37.63,39.05,36.1592,8621107
2016-12-23,37.23,39.0,36.3,6621657
2016-12-30,36.47,37.75,36.33,2547918
2017-01-06,36.7,37.46,35.88,6303391
2017-01-13,37.57,37.73,35.67,8259927
2017-01-20,36.77,37.569,36.19,4851248
2017-01-27,36.36,37.44,36.11,5065948
2017-02-03,35.93,36.275,34.735,5988002
2017-02-10,34.42,38.05,32.9,17022530
2017-02-17,35.39,37.02,34.52,8485392
2017-02-24,35.17,36.37,34.75,5050038
2017-03-03,34.85,35.45,33.84,6402874
2017-03-10,35.3,35.63,34.4,3421852
2017-03-17,36.36,36.97,35.42,3532088
2017-03-24,33.71,36.51,33.25,7822494
2017-03-31,33.67,34.0,32.56,5144926
2017-04-07,34.12,34.25,33.3,4642342
2017-04-14,34.62,35.0,33.95,3213634
2017-04-21,36.61,36.64,34.52,3507713
2017-04-28,39.0,40.29,36.51,7702240
2017-05-05,43.97,44.0,38.93,12248434
2017-05-12,42.87,43.969,42.2,6602027
2017-05-19,41.04,44.49,40.98,8173882
2017-05-26,43.34,43.92,41.07,7635880
2017-06-02,45.06,45.31,42.86,4236047
2017-06-09,44.44,45.85,43.36,7976731
2017-06-16,45.65,46.059,43.1,6659720
2017-06-23,51.04,51.12,45.725,8637440
2017-06-30,49.01,51.23,47.23,7110931
2017-07-07,46.5,49.36,46.39,4663159
2017-07-14,46.52,47.5,43.39,15108480
2017-07-21,44.43,47.36,44.17,7845211
2017-07-28,45.22,46.01,44.2,4164452
2017-08-04,45.24,45.95,44.36,3783841
2017-08-11,40.97,48.73,40.06,15996096
2017-08-18,38.64,42.12,38.24,6703653
2017-08-25,37.92,39.01,37.84,6181850
2017-09-01,39.67,39.95,37.69,4022770
2017-09-08,37.8,39.78,37.68,2369503
2017-09-15,40.34,40.945,38.0,9064265
2017-09-22,39.1,40.981,39.1,4900465
2017-09-29,40.21,40.89,38.25,7922695
2017-10-06,42.12,42.41,39.9,5483807
2017-10-13,41.55,42.98,41.23,3891633
2017-10-20,41.25,42.0,40.51,3031504
2017-10-27,41.14,41.8,40.23,3272697
2017-11-03,40.48,41.46,39.16,5425321
2017-11-10,39.54,42.45,38.76,8836619
2017-11-17,40.89,41.26,38.63,4568526
2017-11-24,42.03,42.15,40.63,2956543
2017-12-01,40.81,42.86,39.78,3854734
2017-12-08,40.18,41.73,39.84,3204619
2017-12-15,41.22,41.99,40.27,3016809
2017-12-22,42.34,43.43,41.13,3079146
2017-12-29,40.92,42.88,40.83,2049915
2018-01-05,42.61,43.35,40.89,2619919
2018-01-12,44.53,46.31,41.5,5473412
2018-01-19,42.58,45.52,42.04,4927058
2018-01-26,46.04,46.13,42.2,4553955
2018-02-02,44.16,46.31,43.915,3986819
2018-02-09,45.12,47.2599,42.42,11821240
2018-02-16,46.85,48.235,43.0,7676668
2018-02-23,46.69,48.485,46.17,5040560
2018-03-02,49.21,49.34,45.8,6418146
2018-03-09,55.19,55.3,48.76,8032616
2018-03-16,58.61,59.99,55.0,7879462
2018-03-23,54.22,58.7,54.13,6286595
2018-03-30,53.8,56.19,52.13,5096277
2018-04-06,52.68,54.39,51.22,8881031
2018-04-13,50.1,54.05,48.0,18383217
2018-04-20,47.18,51.02,46.68,12488273
2018-04-27,47.26,48.94,46.25,7989511
2018-05-04,52.85,53.14,47.29,11534229
2018-05-11,54.91,57.22,51.21,20109457
2018-05-18,51.67,55.8,51.01,8133872
2018-05-25,56.15,56.53,51.07,12264016
2018-06-01,59.03,59.89,54.11,9361482
2018-06-08,62.43,62.67,58.55,6810699
2018-06-15,65.57,65.7,62.25,8008446
2018-06-22,61.46,65.11,60.655,7866728
2018-06-29,59.06,61.95,57.05,13658189
2018-07-06,62.33,62.4,58.15,4283231
2018-07-13,62.81,63.44,59.2721,5615158
2018-07-20,61.96,63.86,61.86,3728083
2018-07-27,57.78,63.19,57.12,7084702
2018-08-03,57.57,57.77,54.75,7776934
2018-08-10,48.98,58.75,47.83,34466916
2018-08-17,46.27,49.122,45.51,10496369
2018-08-24,46.97,49.1,46.0,8293195
2018-08-31,48.65,48.82,47.16,8146768
2018-09-07,44.92,48.9,43.87,8699444
2018-09-14,46.54,48.245,44.6,6239525
2018-09-21,42.81,46.32,42.54,12219395
2018-09-28,44.25,44.81,41.749,8751106
2018-10-05,41.82,44.56,40.81,10458190
2018-10-12,38.56,41.9,37.35,13120671
2018-10-19,39.22,41.94,38.0,9436703
2018-10-26,38.3,41.83,37.81,10309403
2018-11-02,41.58,42.85,36.52,12984087
2018-11-09,30.25,41.93,28.85,43588258
2018-11-16,28.91,31.89,27.0,20038311
2018-11-23,29.39,29.8,26.38,15955054
2018-11-30,36.55,37.47,30.0,28050600
2018-12-07,36.1,37.9969,34.17,12342901
2018-12-14,32.38,37.45,32.0,14237484
2018-12-21,28.22,32.42,27.935,14436881
2018-12-28,31.51,32.53,27.7123,6488361
2019-01-04,30.8,32.07,29.26,12141592
2019-01-11,34.33,34.92,29.94,11729397
2019-01-18,34.0,34.72,32.97,7905666
2019-01-25,32.55,33.9,30.3,8465530
2019-02-01,34.24,35.36,31.27,10443244
2019-02-08,35.44,35.66,32.66,10718014
2019-02-15,37.18,37.435,34.02,11262894
2019-02-22,44.28,44.39,33.68,37907588
2019-03-01,40.36,45.29,39.59,24537087
2019-03-08,38.39,40.67,36.97,13581617
2019-03-15,37.7,40.64,36.6988,13402861
2019-03-22,35.71,38.23,35.05,11517432
2019-03-29,34.74,36.66,33.805,12565680
2019-04-05,37.27,37.97,34.82,11151150
2019-04-12,37.42,38.94,36.34,9910646
2019-04-19,36.28,38.41,35.85,6393670
2019-04-26,34.25,36.42,33.67,12109864
2019-05-03,33.85,34.58,31.745,18936539
2019-05-10,36.0,39.8,32.64,36196575
2019-05-17,40.25,40.79,34.55,22385987
2019-05-24,41.86,42.6,39.45,19757204
2019-05-31,43.02,44.09,41.64,12588748
2019-06-07,46.54,48.67,41.63,16002402
2019-06-14,45.39,47.42,44.07,12009415
2019-06-21,45.31,47.04,44.7199,13083224
2019-06-28,46.39,46.68,42.87,13050516
2019-07-05,48.42,48.5451,46.67,7824085
2019-07-12,50.16,51.465,47.5601,13120160
2019-07-19,47.06,50.74,46.94,8525382
2019-07-26,49.19,49.86,45.5578,10159395
2019-08-02,49.16,50.86,47.41,9736540
2019-08-09,39.54,50.835,39.0,29814920
2019-08-16,35.94,39.36,33.42,17111358
2019-08-23,34.51,36.49,34.315,8286828
2019-08-30,34.43,34.91,32.01,13007526
2019-09-06,31.45,34.3195,30.855,17328192
2019-09-13,31.93,33.45,30.36,17179357
2019-09-20,30.4,32.49,30.21,11369306
2019-09-27,29.53,30.54,29.13,15693471
2019-10-04,30.105,30.33,28.465,12959248
2019-10-11,29.43,30.64,28.54,16900044
2019-10-18,32.04,32.78,28.87,16649358
2019-10-25,34.37,34.39,32.12,13961994
2019-11-01,33.69,35.31,32.355,11369627
2019-11-08,37.55,38.7,33.05,21799278
2019-11-15,39.68,39.6901,36.865,14737247
2019-11-22,41.1,41.29,37.3659,13967480
2019-11-29,39.15,41.36,38.69,8230696
2019-12-06,41.07,41.85,38.29,14409884
2019-12-13,42.27,43.3,40.03,17125014
2019-12-20,43.93,45.315,42.3102,14161853
2019-12-27,46.1,46.255,43.82,6376645
2020-01-03,44.72,46.46,44.31,7371055
2020-01-10,45.59,46.4,44.07,10633339
2020-01-17,47.96,48.105,45.6,14557467
