date,adjClose,adjHigh,adjLow,adjVolume
2014-10-17,22.0,22.85,21.21,8178604
2014-10-24,22.87,23.1,21.87,2318684
2014-10-31,23.41,23.92,22.51,1098401
2014-11-07,23.59,24.31,23.04,1206160
2014-11-14,23.82,24.2,22.62,1080339
2014-11-21,25.04,25.28,23.2512,1818123
2014-11-28,27.49,28.11,24.428,4770063
2014-12-05,26.78,27.8,25.82,2860435
2014-12-12,28.97,31.23,26.5,4516668
2014-12-19,29.2,29.785,27.06,4645516
2014-12-26,31.35,32.09,28.56,1099650
2015-01-02,30.67,32.18,30.39,1008013
2015-01-09,29.66,30.63,28.75,1822982
2015-01-16,29.89,30.67,29.16,1358138
2015-01-23,27.39,29.5,26.56,1265508
2015-01-30,27.75,28.12,27.27,1776713
2015-02-06,29.38,29.88,27.38,1316044
2015-02-13,29.23,29.58,27.03,1428758
2015-02-20,30.49,30.8,28.02,1144527
2015-02-27,29.26,30.94,28.3,942647
2015-03-06,26.26,29.69,26.01,1753890
2015-03-13,27.42,28.24,25.565,11136917
2015-03-20,28.31,28.45,26.62,3828914
2015-03-27,27.4,28.7,26.63,4174201
2015-04-03,27.68,28.14,27.19,2163188
2015-04-10,27.67,27.97,27.11,1522992
2015-04-17,27.63,28.75,27.3,3253960
2015-04-24,27.2,27.824,26.8303,1978491
2015-05-01,27.26,27.79,26.2,3649365
2015-05-08,27.82,28.16,27.04,2728149
2015-05-15,25.7,28.5,24.48,10050605
2015-05-22,26.37,27.02,25.74,3606086
2015-05-29,26.29,26.74,25.92,2862643
2015-06-05,26.13,26.49,25.71,2696455
2015-06-12,27.0,27.07,25.25,5834088
2015-06-19,28.04,28.86,26.8401,12397173
2015-06-26,27.3,28.74,27.03,11334143
2015-07-03,25.38,27.1,25.18,5029232
2015-07-10,24.38,25.31,23.91,5257612
2015-07-17,24.9,25.0,24.16,4411811
2015-07-24,26.08,26.14,24.76,3825483
2015-07-31,26.7,26.97,25.49,3632343
2015-08-07,27.52,28.22,26.64,4457813
2015-08-14,29.24,29.28,27.64,4142559
2015-08-21,27.81,29.62,27.45,2738569
2015-08-28,28.12,28.57,25.452,3443287
2015-09-04,28.4,28.53,26.8,3296702
2015-09-11,28.07,29.41,27.81,3515920
2015-09-18,28.9,29.6,27.72,5013026
2015-09-25,26.06,28.63,24.0,8884983
2015-10-02,25.16,26.07,24.65,3952642
2015-10-09,24.47,25.88,24.37,4173471
2015-10-16,25.19,25.61,24.21,3814886
2015-10-23,25.66,25.9,24.79,3303488
2015-10-30,26.53,26.81,25.52,3142287
2015-11-06,26.11,26.93,25.81,3017981
2015-11-13,22.81,26.16,22.5,10337639
2015-11-20,23.36,24.45,21.89,11626921
2015-11-27,24.04,24.47,23.0,6329911
2015-12-04,24.43,24.96,23.57,9602914
2015-12-11,26.22,26.75,24.295,15047914
2015-12-18,26.5,27.74,25.91,15042311
2015-12-25,26.45,26.73,26.08,7231671
2016-01-01,26.59,26.65,25.07,5768750
2016-01-08,25.75,27.1,25.52,8878079
2016-01-15,24.93,26.09,23.75,6331953
2016-01-22,24.61,25.29,23.67,5701372
2016-01-29,25.02,25.055,23.85,4064230
