date,adjClose,adjHigh,adjLow,adjVolume
2010-11-26,32.0,42.8,30.64,361824
2010-12-03,42.08,43.52,30.4,137673
2010-12-10,47.6,52.0,42.8,102060
2010-12-17,47.2,49.6,42.48,182874
2010-12-24,46.48,49.04,42.0,47374
2010-12-31,45.36,48.0,43.44,30986
2011-01-07,47.6,55.2,44.0,206561
2011-01-14,45.6,49.6,45.2,59899
2011-01-21,42.0,46.72,36.8,44662
2011-01-28,38.4,42.08,38.08,51087
2011-02-04,37.68,41.12,37.36,40837
2011-02-11,32.16,37.6,32.0,61049
2011-02-18,30.64,33.2,28.8,86823
2011-02-25,32.8,33.44,28.0,59086
2011-03-04,37.92,37.92,32.32,55462
2011-03-11,44.24,52.88,36.4,88374
2011-03-18,38.8,42.96,34.0,55886
2011-03-25,39.2,43.2,36.64,30561
2011-04-01,40.32,41.12,36.88,25486
2011-04-08,38.64,41.12,38.64,22362
2011-04-15,40.64,40.8,36.0,27212
2011-04-22,37.6,40.0,35.6,17924
2011-04-29,39.76,40.64,36.0,30562
2011-05-06,36.96,40.48,36.64,16212
2011-05-13,35.68,37.52,34.8,33224
2011-05-20,30.0,38.16,29.44,66150
2011-05-27,36.08,37.12,28.72,75111
2011-06-03,32.0,36.48,31.92,38524
2011-06-10,29.6,33.6728,28.32,43174
2011-06-17,30.16,31.84,28.8,37937
2011-06-24,32.0,35.36,28.8792,97587
2011-07-01,35.76,36.4,28.88,85462
2011-07-08,35.76,38.16,35.2,24386
2011-07-15,40.24,40.24,34.88,46798
2011-07-22,39.76,40.4,35.6,33236
2011-07-29,40.64,40.72,36.0,43262
2011-08-05,37.76,40.88,36.4,109036
2011-08-12,32.56,40.0,30.0,87536
2011-08-19,27.2,34.9312,26.0,76411
2011-08-26,26.64,29.68,24.8,58224
2011-09-02,27.12,31.2,26.24,32973
2011-09-09,23.04,27.76,22.64,23201
2011-09-16,16.0,25.8,15.6,930080
2011-09-23,15.84,16.88,14.8,427024
2011-09-30,14.64,17.2,14.64,298487
2011-10-07,15.2,16.0,13.44,149236
2011-10-14,16.08,16.8,14.64,98773
2011-10-21,15.2,16.32,15.04,94149
2011-10-28,16.56,17.52,15.28,272611
2011-11-04,16.8,17.6,15.2,160624
2011-11-11,14.8,17.6,13.28,173774
2011-11-18,13.76,15.2,13.28,107773
2011-11-25,12.72,14.24,12.56,47936
2011-12-02,14.72,15.28,12.4,106474
2011-12-09,13.52,14.96,12.4,92062
2011-12-16,12.08,13.68,11.2,149035
2011-12-23,13.92,14.328,10.48,149624
2011-12-30,17.76,19.44,14.24,573074
2012-01-06,22.56,24.32,17.9192,615112
2012-01-13,20.56,24.16,18.56,498411
2012-01-20,19.92,21.12,18.16,207011
2012-01-27,21.44,22.0,18.64,221961
2012-02-03,21.84,22.56,20.4,267337
2012-02-10,21.68,23.52,19.68,422399
2012-02-17,20.4,22.0,20.0,208386
2012-02-24,19.76,20.96,19.52,86325
2012-03-02,18.48,20.4,17.6,223449
2012-03-09,16.24,23.2,16.0,829248
2012-03-16,15.44,17.36,14.08,474724
2012-03-23,15.68,15.92,14.08,197036
2012-03-30,16.0,18.24,15.68,286848
2012-04-06,16.0,17.48,15.92,104174
2012-04-13,15.36,16.16,14.8,98124
2012-04-20,15.04,16.3992,14.8,91811
2012-04-27,15.04,15.68,14.8,91350
2012-05-04,15.2,16.5608,14.56,157124
2012-05-11,15.28,15.712,14.56,70886
2012-05-18,14.32,16.16,12.8,126162
2012-05-25,12.88,14.72,12.64,117125
2012-06-01,13.76,15.12,12.4,89025
2012-06-08,16.0,16.64,13.6,120437
2012-06-15,16.0,16.8,15.04,132349
2012-06-22,18.96,20.4,15.84,480748
2012-06-29,19.84,20.64,17.6,153274
2012-07-06,19.6,20.4,19.2,99849
2012-07-13,17.68,19.76,15.92,130661
2012-07-20,17.2,20.8,17.12,164423
2012-07-27,18.64,18.64,16.0,253849
2012-08-03,17.28,18.96,16.4,424199
2012-08-10,16.8,17.52,16.24,147224
2012-08-17,18.72,18.72,16.4,136724
2012-08-24,18.48,19.6,18.0,102148
2012-08-31,18.96,19.36,18.16,123249
2012-09-07,18.4,19.2,17.76,134650
2012-09-14,19.2,20.32,18.24,518499
2012-09-21,21.68,22.4,18.8,855823
2012-09-28,21.12,22.88,20.96,597123
2012-10-05,24.8,26.4,21.44,914811
2012-10-12,22.8,24.96,21.6,554323
2012-10-19,20.8,23.6,20.48,331362
2012-10-26,19.44,21.68,18.48,405786
2012-11-02,19.04,20.08,18.56,170799
2012-11-09,20.56,20.88,17.04,422262
2012-11-16,19.0512,21.92,19.04,637149
2012-11-23,20.56,20.56,19.2,245037
2012-11-30,21.12,22.48,20.08,637911
2012-12-07,18.88,21.52,18.24,821224
2012-12-14,9.68,11.52,8.88,3750999
2012-12-21,10.96,11.52,9.28,1345537
2012-12-28,10.48,11.04,9.92,349724
2013-01-04,11.9208,12.16,10.4,668937
2013-01-11,11.68,12.8,10.8,842624
2013-01-18,11.36,12.24,11.2,402786
2013-01-25,11.52,12.16,11.2,330574
2013-02-01,11.28,11.76,10.16,528224
2013-02-08,11.2,11.6,10.8,386712
2013-02-15,11.68,12.08,11.2,517685
2013-02-22,10.24,12.0,10.08,362674
2013-03-01,14.96,16.32,9.28,3499561
2013-03-08,14.24,15.92,13.6,858336
2013-03-15,15.92,16.96,14.0,1084961
2013-03-22,15.04,15.68,14.4,427199
2013-03-29,14.4,15.36,13.68,335361
2013-04-05,12.52,14.56,12.08,337605
2013-04-12,13.68,13.68,12.24,287937
2013-04-19,12.8,13.84,11.68,303712
2013-04-26,13.52,13.92,12.32,207774
2013-05-03,13.36,14.4,12.32,514860
2013-05-10,14.32,14.48,11.2,484598
2013-05-17,12.8,14.64,12.48,696349
2013-05-24,12.24,13.1192,11.44,201061
2013-05-31,11.92,12.56,11.44,166911
2013-06-07,10.88,12.16,10.0,384211
2013-06-14,11.2,11.6,10.56,165773
2013-06-21,13.12,13.992,11.12,233249
2013-06-28,13.68,16.8,12.24,849849
2013-07-05,12.4,14.4,12.16,145362
2013-07-12,12.4,13.04,12.0,184786
2013-07-19,12.88,13.2,12.08,183962
2013-07-26,12.72,12.96,12.08,145636
2013-08-02,12.56,12.88,12.08,119486
2013-08-09,12.88,14.0,12.0,692562
2013-08-16,12.64,13.44,12.24,196561
2013-08-23,12.48,12.96,12.32,108612
2013-08-30,13.6,13.84,12.24,379211
2013-09-06,15.12,15.6,13.9208,397336
2013-09-13,15.6,17.92,14.48,653686
2013-09-20,15.6,16.408,14.72,276899
2013-09-27,14.84,16.08,14.48,163624
2013-10-04,20.24,21.1992,14.08,1444961
2013-10-11,18.72,20.24,17.44,532299
2013-10-18,18.4,19.36,17.6,332962
2013-10-25,24.32,27.6,16.8,2131074
2013-11-01,23.36,27.52,22.48,1812800
2013-11-08,21.28,22.56,18.8,2222199
2013-11-15,23.6,24.4,21.1352,1491337
2013-11-22,23.04,23.76,20.92,1543762
2013-11-29,25.84,26.16,22.0,1130350
2013-12-06,26.0,27.12,24.48,850549
2013-12-13,24.16,26.64,21.6,1188586
2013-12-20,24.68,25.84,22.24,1449712
2013-12-27,27.28,28.0,24.56,795637
2014-01-03,26.96,27.84,26.08,1025587
2014-01-10,34.48,36.32,26.08,3707011
2014-01-17,34.56,36.4,33.52,1380674
2014-01-24,34.72,35.6,34.0,725886
2014-01-31,35.44,37.2,32.16,1372449
2014-02-07,34.64,35.6,31.6,1028698
2014-02-14,37.6,41.52,34.0,2144299
